date,ebitda_margin
2004-03-16,18.6099
2004-04-16,17.4727
2004-05-16,16.9625
2004-06-16,16.951
2004-07-16,16.951
2004-08-16,16.951
2004-09-16,16.951
2004-10-16,19.1662
2004-11-16,19.1503
2004-12-16,16.1785
2005-01-16,16.1811
2005-02-16,16.1186
2005-03-16,16.1115
2005-04-16,18.4166
2005-05-16,16.7967
2005-06-16,16.6902
2005-07-16,16.6902
2005-08-16,16.6902
2005-09-16,15.4982
2005-10-16,15.5034
2005-11-16,15.5034
2005-12-16,15.5034
2006-01-16,15.5034
2006-02-16,15.5034
2006-03-16,13.5551
2006-04-16,14.2636
2006-05-16,18.0465
2006-06-16,17.6653
2006-07-16,17.6698
2006-08-16,17.465
2006-09-16,13.8175
2006-10-16,13.8164
2006-11-16,19.3125
2006-12-16,19.3598
2007-01-16,19.3523
2007-02-16,19.4095
2007-03-16,19.325
2007-04-16,17.3645
2007-05-16,12.7454
2007-06-16,12.773
2007-07-16,12.7768
2007-08-16,12.92
2007-09-16,19.8089
2007-10-16,20.255
2007-11-16,12.0854
2007-12-16,12.0547
2008-01-16,12.0488
2008-02-16,12.2907
2008-03-16,12.2576
2008-04-16,12.2728
2008-05-16,23.6391
2008-06-16,23.6373
2008-07-16,23.6372
2008-08-16,31.162
2008-09-16,17.5902
2008-10-16,17.2514
2008-11-16,23.4689
2008-12-16,23.5306
2009-01-16,23.5288
2009-02-16,23.4517
2009-03-16,23.4297
2009-04-16,16.9849
2009-05-16,19.0814
2009-06-16,19.0733
2009-07-16,19.0732
2009-08-16,19.0566
2009-09-16,16.2686
2009-10-16,16.1298
2009-11-16,19.4561
2009-12-16,19.1687
2010-01-16,19.1711
2010-02-16,18.2948
2010-03-16,17.952
2010-04-16,16.9156
2010-05-16,17.3855
2010-06-16,17.3643
2010-07-16,17.3445
2010-08-16,17.1374
2010-09-16,15.6545
2010-10-16,15.6728
2010-11-16,17.4619
2010-12-16,17.4595
2011-01-16,17.4571
2011-02-16,17.6126
2011-03-16,17.3056
2011-04-16,15.6435
2011-05-16,17.8437
2011-06-16,19.7808
2011-07-16,19.7805
2011-08-16,18.2009
2011-09-16,14.0073
2011-10-16,14.4282
2011-11-16,18.1681
2011-12-16,18.0689
2012-01-16,18.0687
2012-02-16,18.3702
2012-03-16,18.3711
2012-04-16,14.4249
2012-05-16,15.0989
2012-06-16,15.0995
2012-07-16,15.0957
2012-08-16,14.9807
2012-09-16,12.2311
2012-10-16,12.2202
2012-11-16,14.8375
2012-12-16,14.8376
2013-01-16,14.8376
2013-02-16,14.8656
2013-03-16,14.6028
2013-04-16,13.0451
2013-05-16,15.7149
2013-06-16,15.7149
2013-07-16,15.7149
2013-08-16,15.8182
2013-09-16,11.8659
2013-10-16,11.9633
2013-11-16,16.0193
2013-12-16,16.0193
2014-01-16,16.0193
2014-02-16,16.0476
2014-03-16,16.0476
2014-04-16,12.8222
2014-05-16,11.2985
2014-06-16,11.2873
2014-07-16,11.2874
2014-08-16,11.3072
2014-09-16,11.7934
2014-10-16,11.7246
