date,ev_ebit
2004-01-16,18.7573
2004-02-16,18.7473
2004-03-16,19.0058
2004-04-16,16.5864
2004-05-16,23.6704
2004-06-16,23.7311
2004-07-16,23.5844
2004-08-16,23.5844
2004-09-16,14.3432
2004-10-16,14.3136
2004-11-16,14.4267
2004-12-16,14.4267
2005-01-16,14.4267
2005-02-16,11.8045
2005-03-16,12.045
2005-04-16,13.1973
2005-05-16,12.5958
2005-06-16,12.7403
2005-07-16,12.7405
2005-08-16,12.7405
2005-09-16,11.1947
2005-10-16,11.193
2005-11-16,11.6497
2005-12-16,9.8188
2006-01-16,9.8183
2006-02-16,9.8312
2006-03-16,9.934
2006-04-16,10.6428
2006-05-16,10.644
2006-06-16,11.3403
2006-07-16,11.3361
2006-08-16,11.4871
2006-09-16,16.07
2006-10-16,16.075
2006-11-16,12.0831
2006-12-16,12.08
2007-01-16,12.0864
2007-02-16,12.1508
2007-03-16,12.249
2007-04-16,12.9747
2007-05-16,20.0058
2007-06-16,19.8571
2007-07-16,19.8381
2007-08-16,20.0142
2007-09-16,22.2784
2007-10-16,21.1758
2007-11-16,28.2709
2007-12-16,28.3352
2008-01-16,28.3061
2008-02-16,29.2653
2008-03-16,29.4022
2008-04-16,29.4499
2008-05-16,12.8886
2008-06-16,12.8814
2008-07-16,12.8805
2008-08-16,13.0125
2008-09-16,15.0288
2008-10-16,14.9881
2008-11-16,11.9586
2008-12-16,12.0421
2009-01-16,12.048
2009-02-16,12.0397
2009-03-16,12.0558
2009-04-16,12.1494
2009-05-16,14.8874
2009-06-16,14.8841
2009-07-16,14.8805
2009-08-16,14.9409
2009-09-16,19.0109
2009-10-16,18.7104
2009-11-16,16.5125
2009-12-16,16.6722
2010-01-16,16.675
2010-02-16,16.8299
2010-03-16,16.8695
2010-04-16,16.8385
2010-05-16,15.1401
2010-06-16,15.1421
2010-07-16,15.1304
2010-08-16,15.3848
2010-09-16,10.7174
2010-10-16,10.5302
2010-11-16,9.2489
2010-12-16,9.248
2011-01-16,9.2479
2011-02-16,9.4615
2011-03-16,9.5015
2011-04-16,9.1291
2011-05-16,9.0936
2011-06-16,9.3788
2011-07-16,9.3756
2011-08-16,9.4113
2011-09-16,8.4862
2011-10-16,8.3124
2011-11-16,6.6207
2011-12-16,6.7753
2012-01-16,6.775
2012-02-16,6.8726
2012-03-16,6.8817
2012-04-16,5.5096
2012-05-16,6.2134
2012-06-16,6.2139
2012-07-16,6.2166
2012-08-16,6.363
2012-09-16,6.2225
2012-10-16,6.2109
2012-11-16,5.9376
2012-12-16,5.9421
2013-01-16,5.9419
2013-02-16,5.9677
2013-03-16,5.9752
2013-04-16,6.2837
2013-05-16,6.0689
2013-06-16,6.0699
2013-07-16,6.0699
2013-08-16,6.1198
2013-09-16,5.7788
2013-10-16,5.707
2013-11-16,6.0555
2013-12-16,6.0552
2014-01-16,6.0552
2014-02-16,6.0789
2014-03-16,6.0839
2014-04-16,6.1227
2014-05-16,5.9413
2014-06-16,5.9416
2014-07-16,5.9473
2014-08-16,5.9611
2014-09-16,5.7781
2014-10-16,5.7455
2014-11-16,7.5192
2014-12-16,7.5192
2015-01-16,7.5192
2015-02-16,7.5255
2015-03-16,7.5255
2015-04-16,7.5169
2015-05-16,13.5758
2015-06-16,13.5766
2015-07-16,13.5766
2015-08-16,13.5409
2015-09-16,16.5384
2015-10-16,16.5408
2015-11-16,12.763
2015-12-16,12.7609
2016-01-16,12.7621
2016-02-16,12.808
2016-03-16,12.8247
2016-04-16,12.8941
2016-05-16,14.211
2016-06-16,14.2263
2016-07-16,14.2263
2016-08-16,14.2881
2016-09-16,15.4239
2016-10-16,15.309
2016-11-16,15.6058
2016-12-16,15.5855
2017-01-16,15.5867
2017-02-16,15.6016
2017-03-16,15.6046
2017-04-16,15.6689
2017-05-16,16.3654
2017-06-16,16.3868
2017-07-16,16.392
2017-08-16,16.4417
2017-09-16,16.4846
2017-10-16,16.5314
2017-11-16,16.4335
2017-12-16,16.6522
2018-01-16,16.6522
2018-02-16,16.7
2018-03-16,16.7102
2018-04-16,16.8446
2018-05-16,15.1762
2018-06-16,15.2585
2018-07-16,15.2712
2018-08-16,15.4466
2018-09-16,13.8883
2018-10-16,13.8513
2018-11-16,13.6546
2018-12-16,13.6703
2019-01-16,13.6703
2019-02-16,13.6671
2019-03-16,13.6673
2019-04-16,13.6831
2019-05-16,14.9816
2019-06-16,14.9816
2019-07-16,14.9845
2019-08-16,15.0603
2019-09-16,15.2703
2019-10-16,15.1822
2019-11-16,14.9676
2019-12-16,14.9979
2020-01-16,14.9979
2020-02-16,15.0754
2020-03-16,15.0439
2020-04-16,14.8806
2020-05-16,14.9498
2020-06-16,15.0131
2020-07-16,15.0244
2020-08-16,15.1003
2020-09-16,16.9097
2020-10-16,16.6132
2020-11-16,17.2812
2020-12-16,17.2812
2021-01-16,17.2812
2021-02-16,17.3654
2021-03-16,17.3654
2021-04-16,17.3613
2021-05-16,16.4778
2021-06-16,16.4766
2021-07-16,16.4766
2021-08-16,16.6033
2021-09-16,15.7255
2021-10-16,15.6702
2021-11-16,16.182
2021-12-16,16.1815
2022-01-16,16.1774
2022-02-16,16.1986
2022-03-16,16.1986
2022-04-16,16.1916
2022-05-16,15.2851
2022-06-16,15.3426
2022-07-16,15.4557
2022-08-16,15.4754
2022-09-16,15.3849
2022-10-16,15.527
2022-11-16,14.8496
2022-12-16,14.9118
2023-01-16,14.3386
2023-02-16,14.3633
2023-03-16,14.3633
2023-04-16,15.0478
2023-05-16,16.1405
2023-06-16,16.1399
2023-07-16,16.1399
2023-08-16,16.1844
2023-09-16,16.7658
2023-10-16,16.4974
2023-11-16,16.982
2023-12-16,16.9749
2024-01-16,16.9772
2024-02-16,17.0148
2024-03-16,17.03
2024-04-16,17.0596
2024-05-16,17.8284
2024-06-16,17.8197
2024-07-16,17.8197
2024-08-16,17.8311
2024-09-16,17.9623
2024-10-16,17.9477
2024-11-16,19.6347
2024-12-16,19.6346
2025-01-16,19.6346
2025-02-16,19.6452
2025-03-16,19.6453
2025-04-16,19.6446
2025-05-16,20.0194
2025-06-16,20.0191
2025-07-16,20.0187
2025-08-16,20.0917
2025-09-16,20.8068
2025-10-16,20.3909
2025-11-16,22.3332
2025-12-16,22.3314
2026-01-16,22.3314
2026-02-16,22.364
2026-03-16,22.364
2026-04-16,20.4563
