date,ev_ebitda
2004-03-16,10.5889
2004-04-16,10.2003
2004-05-16,13.4635
2004-06-16,13.4912
2004-07-16,13.4078
2004-08-16,13.4078
2004-09-16,13.4078
2004-10-16,8.2673
2004-11-16,8.3362
2004-12-16,8.3362
2005-01-16,8.3362
2005-02-16,8.3621
2005-03-16,8.4732
2005-04-16,8.2503
2005-05-16,7.6038
2005-06-16,7.6885
2005-07-16,7.6886
2005-08-16,7.6886
2005-09-16,6.7157
2005-10-16,6.7158
2005-11-16,6.9898
2005-12-16,6.9227
2006-01-16,6.9227
2006-02-16,6.9227
2006-03-16,6.9103
2006-04-16,7.0092
2006-05-16,6.0931
2006-06-16,5.8616
2006-07-16,5.8592
2006-08-16,5.9677
2006-09-16,9.2113
2006-10-16,9.2144
2006-11-16,6.8048
2006-12-16,6.801
2007-01-16,6.803
2007-02-16,6.8208
2007-03-16,6.8856
2007-04-16,7.4756
2007-05-16,18.8889
2007-06-16,18.7789
2007-07-16,18.7789
2007-08-16,18.7816
2007-09-16,14.1745
2007-10-16,13.5469
2007-11-16,31.7361
2007-12-16,31.8107
2008-01-16,31.8107
2008-02-16,31.9031
2008-03-16,31.9035
2008-04-16,31.9033
2008-05-16,10.5903
2008-06-16,10.5897
2008-07-16,10.5903
2008-08-16,8.0377
2008-09-16,10.9481
2008-10-16,10.702
2008-11-16,6.0693
2008-12-16,6.0691
2009-01-16,6.0691
2009-02-16,6.0585
2009-03-16,6.0585
2009-04-16,8.2013
2009-05-16,7.3329
2009-06-16,7.3328
2009-07-16,7.3328
2009-08-16,7.3091
2009-09-16,11.8886
2009-10-16,11.7237
2009-11-16,9.1164
2009-12-16,9.1288
2010-01-16,9.1278
2010-02-16,9.597
2010-03-16,9.7841
2010-04-16,10.3343
2010-05-16,10.0186
2010-06-16,10.0287
2010-07-16,10.0268
2010-08-16,10.2563
2010-09-16,7.8727
2010-10-16,7.7494
2010-11-16,6.4557
2010-12-16,6.4548
2011-01-16,6.4549
2011-02-16,6.5108
2011-03-16,6.6267
2011-04-16,7.3578
2011-05-16,6.1337
2011-06-16,6.1327
2011-07-16,6.1327
2011-08-16,6.6746
2011-09-16,7.1261
2011-10-16,6.7359
2011-11-16,4.6236
2011-12-16,4.6378
2012-01-16,4.6378
2012-02-16,4.6378
2012-03-16,4.6378
2012-04-16,4.4402
2012-05-16,4.3271
2012-06-16,4.3269
2012-07-16,4.3276
2012-08-16,4.4795
2012-09-16,5.2642
2012-10-16,5.2483
2012-11-16,4.0499
2012-12-16,4.0519
2013-01-16,4.0519
2013-02-16,4.0525
2013-03-16,4.1297
2013-04-16,5.1991
2013-05-16,4.0571
2013-06-16,4.0571
2013-07-16,4.0571
2013-08-16,4.0571
2013-09-16,4.9522
2013-10-16,4.9029
2013-11-16,4.0144
2013-12-16,4.0135
2014-01-16,4.0135
2014-02-16,4.0135
2014-03-16,4.0135
2014-04-16,5.0254
2014-05-16,5.456
2014-06-16,5.4613
2014-07-16,5.4658
2014-08-16,5.4658
2014-09-16,5.1723
2014-10-16,5.1617
2014-11-16,6.9183
2014-12-16,6.9183
2015-01-16,6.9183
2015-02-16,6.9183
2015-03-16,6.9183
2015-04-16,6.0825
2015-05-16,12.1286
2015-06-16,12.1295
2015-07-16,12.1295
2015-08-16,12.1295
2015-09-16,15.5757
2015-10-16,15.5635
2015-11-16,9.1661
2015-12-16,9.166
2016-01-16,9.166
2016-02-16,9.166
2016-03-16,9.166
2016-04-16,10.1283
2016-05-16,9.289
2016-06-16,9.2891
2016-07-16,9.2891
2016-08-16,9.2891
2016-09-16,13.1733
2016-10-16,13.0961
2016-11-16,9.727
2016-12-16,9.7268
2017-01-16,9.7268
2017-02-16,9.7268
2017-03-16,9.7268
2017-04-16,11.4355
2017-05-16,15.4363
2017-06-16,15.4561
2017-07-16,15.4561
2017-08-16,15.4561
2017-09-16,13.4654
2017-10-16,13.48
2017-11-16,14.6034
2017-12-16,14.6036
2018-01-16,14.6036
2018-02-16,14.6036
2018-03-16,14.6059
2018-04-16,12.3029
2018-05-16,13.1355
2018-06-16,13.1854
2018-07-16,13.1957
2018-08-16,13.1977
2018-09-16,11.3929
2018-10-16,11.3822
2018-11-16,9.6436
2018-12-16,9.6465
2019-01-16,9.6465
2019-02-16,9.6465
2019-03-16,9.6465
2019-04-16,10.0962
2019-05-16,10.1444
2019-06-16,10.1444
2019-07-16,10.1441
2019-08-16,10.1441
2019-09-16,12.0595
2019-10-16,11.9899
2019-11-16,10.4119
2019-12-16,10.4118
2020-01-16,10.4118
2020-02-16,10.5206
2020-03-16,10.5241
2020-04-16,10.8416
2020-05-16,9.8964
2020-06-16,9.8947
2020-07-16,9.8936
2020-08-16,10.4325
2020-09-16,14.076
2020-10-16,13.9575
2020-11-16,13.0987
2020-12-16,13.1005
2021-01-16,13.1005
2021-02-16,13.234
2021-03-16,13.2373
2021-04-16,13.4395
2021-05-16,14.0845
2021-06-16,14.0853
2021-07-16,14.0853
2021-08-16,14.1148
2021-09-16,14.1536
2021-10-16,14.0933
2021-11-16,14.9586
2021-12-16,14.9584
2022-01-16,14.958
2022-02-16,14.989
2022-03-16,15.0022
2022-04-16,14.0577
2022-05-16,12.1499
2022-06-16,12.1846
2022-07-16,12.1834
2022-08-16,12.2626
2022-09-16,13.6451
2022-10-16,13.6602
2022-11-16,11.5885
2022-12-16,11.5898
2023-01-16,11.5898
2023-02-16,11.6168
2023-03-16,11.6291
2023-04-16,11.6702
2023-05-16,12.9977
2023-06-16,14.3047
2023-07-16,14.3047
2023-08-16,14.3944
2023-09-16,14.1601
2023-10-16,13.9481
2023-11-16,12.2947
2023-12-16,13.22
2024-01-16,13.22
2024-02-16,13.2538
