date,gross_margin
2004-04-20,19.0883
2004-05-20,19.7443
2004-06-20,19.7447
2004-07-20,19.7447
2004-08-20,19.7447
2004-09-20,19.7447
2004-10-20,19.7447
2004-11-20,19.7447
2004-12-20,19.7447
2005-01-20,19.7447
2005-02-20,19.7447
2005-03-20,19.7447
2005-04-20,18.9497
2005-05-20,18.1619
2005-06-20,18.0588
2005-07-20,18.0588
2005-08-20,18.0588
2005-09-20,16.7834
2005-10-20,16.7894
2005-11-20,16.7894
2005-12-20,16.7894
2006-01-20,16.7894
2006-02-20,16.7894
2006-03-20,14.6542
2006-04-20,15.5392
2006-05-20,17.2168
2006-06-20,15.9612
2006-07-20,15.9586
2006-08-20,16.0815
2006-09-20,15.7227
2006-10-20,15.7042
2006-11-20,14.7457
2006-12-20,14.7735
2007-01-20,14.7721
2007-02-20,14.829
2007-03-20,14.8991
2007-04-20,14.5206
2007-05-20,14.5206
2007-06-20,22.9869
2007-07-20,22.9939
2007-08-20,23.2368
2007-09-20,23.2368
2007-10-20,23.2368
2007-11-20,23.2368
2007-12-20,23.2368
2008-01-20,23.2368
2008-02-20,23.2368
2008-03-20,23.2368
2008-04-20,23.2368
2008-05-20,23.2368
2008-06-20,23.2368
2008-07-20,23.2368
2008-08-20,23.2368
2008-09-20,23.2368
2008-10-20,23.2368
2008-11-20,23.2368
2008-12-20,23.2368
2009-01-20,23.2368
2009-02-20,23.2368
2009-03-20,23.2368
2009-04-20,23.149
2009-05-20,22.8536
2009-06-20,22.9383
2009-07-20,22.9381
2009-08-20,22.9138
2009-09-20,22.9138
2009-10-20,19.4768
2009-11-20,20.2586
2009-12-20,19.984
2010-01-20,19.9844
2010-02-20,20.0333
2010-03-20,20.0249
2010-04-20,19.6489
2010-05-20,19.9973
2010-06-20,19.9932
2010-07-20,19.9725
2010-08-20,19.9414
2010-09-20,21.608
2010-10-20,20.1961
2010-11-20,31.0138
2010-12-20,31.0052
2011-01-20,31.0016
2011-02-20,31.5486
2011-03-20,19.2276
2011-04-20,22.7795
2011-05-20,18.9657
2011-06-20,17.4907
2011-07-20,17.4893
2011-08-20,17.352
2011-09-20,17.9691
2011-10-20,15.3724
2011-11-20,25.4443
2011-12-20,25.3053
2012-01-20,25.3051
2012-02-20,25.7273
2012-03-20,25.7286
2012-04-20,20.178
2012-05-20,18.557
2012-06-20,18.557
2012-07-20,18.5353
2012-08-20,18.3281
2012-09-20,17.5003
2012-10-20,17.5795
2012-11-20,17.7637
2012-12-20,17.7895
2013-01-20,17.7895
2013-02-20,17.7398
2013-03-20,17.7536
2013-04-20,18.8937
2013-05-20,17.9704
2013-06-20,17.9704
2013-07-20,17.9704
2013-08-20,18.0011
2013-09-20,17.205
2013-10-20,17.325
2013-11-20,16.9503
2013-12-20,16.9565
2014-01-20,16.9565
2014-02-20,16.9747
2014-03-20,16.9557
2014-04-20,16.8709
2014-05-20,16.6447
2014-06-20,16.6496
2014-07-20,16.649
2014-08-20,16.6234
2014-09-20,17.9451
2014-10-20,16.6378
2014-11-20,15.6976
2014-12-20,15.6976
2015-01-20,15.6976
2015-02-20,15.6969
2015-03-20,15.6969
2015-04-20,17.834
2015-05-20,16.2241
2015-06-20,16.2246
2015-07-20,16.2246
2015-08-20,16.2186
2015-09-20,16.8612
2015-10-20,16.8665
2015-11-20,16.2915
2015-12-20,16.291
2016-01-20,16.2929
2016-02-20,16.2582
2016-03-20,16.2438
2016-04-20,17.5077
2016-05-20,16.3745
2016-06-20,16.3632
2016-07-20,16.3632
2016-08-20,16.4501
2016-09-20,17.5297
2016-10-20,16.6188
2016-11-20,16.9906
2016-12-20,16.9507
2017-01-20,16.951
2017-02-20,16.9418
2017-03-20,16.9642
2017-04-20,17.6745
2017-05-20,17.0437
2017-06-20,17.0514
2017-07-20,17.057
2017-08-20,17.0844
2017-09-20,17.5103
2017-10-20,17.4604
2017-11-20,18.12
2017-12-20,17.8929
2018-01-20,17.8929
2018-02-20,17.9109
2018-03-20,17.8967
2018-04-20,20.3174
2018-05-20,18.9348
2018-06-20,19.2928
2018-07-20,19.2832
2018-08-20,19.2279
2018-09-20,19.3726
2018-10-20,19.3732
2018-11-20,20.3318
2018-12-20,20.3257
2019-01-20,20.3257
2019-02-20,20.3581
2019-03-20,20.3581
2019-04-20,21.0599
2019-05-20,19.5422
2019-06-20,19.5422
2019-07-20,19.5442
2019-08-20,19.4846
2019-09-20,20.6726
2019-10-20,20.679
2019-11-20,18.954
2019-12-20,18.9584
2020-01-20,18.9584
2020-02-20,19.0068
2020-03-20,18.9818
2020-04-20,20.0584
2020-05-20,17.4491
2020-06-20,17.4163
2020-07-20,17.415
2020-08-20,17.3597
2020-09-20,16.2066
2020-10-20,16.1939
2020-11-20,16.1007
2020-12-20,16.0996
2021-01-20,16.0996
2021-02-20,16.1478
2021-03-20,16.1478
2021-04-20,17.4282
2021-05-20,17.1144
2021-06-20,17.1181
2021-07-20,17.1181
2021-08-20,17.0924
2021-09-20,17.6279
2021-10-20,16.6611
2021-11-20,16.1307
2021-12-20,16.1267
2022-01-20,16.1331
2022-02-20,16.1047
2022-03-20,16.1047
2022-04-20,16.9154
2022-05-20,15.2425
2022-06-20,15.9498
2022-07-20,15.985
2022-08-20,15.9438
2022-09-20,17.1612
2022-10-20,16.0993
2022-11-20,16.0752
2022-12-20,16.0128
2023-01-20,16.9374
2023-02-20,16.9367
2023-03-20,16.9367
2023-04-20,16.8188
2023-05-20,16.4002
2023-06-20,16.4003
2023-07-20,16.4003
2023-08-20,16.3537
2023-09-20,16.2187
2023-10-20,16.1352
2023-11-20,16.6672
2023-12-20,16.6685
2024-01-20,16.6667
2024-02-20,16.6262
2024-03-20,16.624
2024-04-20,16.6853
2024-05-20,16.0624
2024-06-20,16.0628
2024-07-20,16.0628
2024-08-20,16.0553
2024-09-20,16.5404
2024-10-20,16.5496
2024-11-20,16.4762
2024-12-20,16.477
2025-01-20,16.477
2025-02-20,16.4695
2025-03-20,16.4695
2025-04-20,17.6542
2025-05-20,16.5126
2025-06-20,16.5139
2025-07-20,16.5137
2025-08-20,16.5293
2025-09-20,16.8901
2025-10-20,16.9054
2025-11-20,16.0297
2025-12-20,15.9923
2026-01-20,15.9923
2026-02-20,16.0198
2026-03-20,16.0198
2026-04-20,18.3578
