date,oper_margin
2004-01-20,10.2604
2004-02-20,10.2811
2004-03-20,10.3684
2004-04-20,10.7454
2004-05-20,9.6481
2004-06-20,9.6367
2004-07-20,9.6367
2004-08-20,9.6367
2004-09-20,11.0893
2004-10-20,11.0701
2004-11-20,11.0657
2004-12-20,9.3485
2005-01-20,9.35
2005-02-20,11.4182
2005-03-20,11.3337
2005-04-20,11.5132
2005-05-20,10.1398
2005-06-20,10.0721
2005-07-20,10.0721
2005-08-20,10.0721
2005-09-20,9.2974
2005-10-20,9.302
2005-11-20,9.302
2005-12-20,10.9306
2006-01-20,10.9311
2006-02-20,10.9167
2006-03-20,9.4291
2006-04-20,9.3938
2006-05-20,10.3307
2006-06-20,9.1309
2006-07-20,9.1328
2006-08-20,9.0733
2006-09-20,7.9201
2006-10-20,7.9197
2006-11-20,10.8762
2006-12-20,10.8995
2007-01-20,10.8927
2007-02-20,10.8955
2007-03-20,10.8633
2007-04-20,10.0049
2007-05-20,12.0339
2007-06-20,12.0795
2007-07-20,12.0947
2007-08-20,12.1243
2007-09-20,12.6033
2007-10-20,12.9579
2007-11-20,13.5668
2007-12-20,13.5332
2008-01-20,13.5406
2008-02-20,13.3985
2008-03-20,13.3004
2008-04-20,13.2953
2008-05-20,19.4236
2008-06-20,19.4319
2008-07-20,19.4344
2008-08-20,19.2484
2008-09-20,12.8139
2008-10-20,12.318
2008-11-20,11.911
2008-12-20,11.8591
2009-01-20,11.8524
2009-02-20,11.8011
2009-03-20,11.7744
2009-04-20,11.4655
2009-05-20,9.3987
2009-06-20,9.3966
2009-07-20,9.3989
2009-08-20,9.3225
2009-09-20,10.1737
2009-10-20,10.1067
2009-11-20,10.7415
2009-12-20,10.4958
2010-01-20,10.4942
2010-02-20,10.4323
2010-03-20,10.4119
2010-04-20,10.3816
2010-05-20,11.5044
2010-06-20,11.5005
2010-07-20,11.4941
2010-08-20,11.4246
2010-09-20,11.4994
2010-10-20,11.5339
2010-11-20,12.1882
2010-12-20,12.1862
2011-01-20,12.1849
2011-02-20,12.1199
2011-03-20,12.0696
2011-04-20,12.6083
2011-05-20,12.0356
2011-06-20,12.9346
2011-07-20,12.9388
2011-08-20,12.9084
2011-09-20,11.7623
2011-10-20,11.6917
2011-11-20,12.6878
2011-12-20,12.3684
2012-01-20,12.3689
2012-02-20,12.3967
2012-03-20,12.3808
2012-04-20,11.6249
2012-05-20,10.5151
2012-06-20,10.5141
2012-07-20,10.5086
2012-08-20,10.5462
2012-09-20,10.3475
2012-10-20,10.3262
2012-11-20,10.1203
2012-12-20,10.1177
2013-01-20,10.118
2013-02-20,10.0947
2013-03-20,10.0927
2013-04-20,10.7935
2013-05-20,10.5055
2013-06-20,10.5037
2013-07-20,10.5037
2013-08-20,10.4866
2013-09-20,10.1687
2013-10-20,10.2777
2013-11-20,10.6198
2013-12-20,10.6177
2014-01-20,10.6177
2014-02-20,10.5951
2014-03-20,10.5864
2014-04-20,10.5242
2014-05-20,10.3754
2014-06-20,10.375
2014-07-20,10.3734
2014-08-20,10.3676
2014-09-20,10.557
2014-10-20,10.5332
2014-11-20,10.5489
2014-12-20,10.5489
2015-01-20,10.5489
2015-02-20,10.5479
2015-03-20,10.5479
2015-04-20,10.5845
2015-05-20,10.5305
2015-06-20,10.5304
2015-07-20,10.5304
2015-08-20,10.6121
2015-09-20,10.8851
2015-10-20,10.8578
2015-11-20,10.7703
2015-12-20,10.7705
2016-01-20,10.7708
2016-02-20,10.7565
2016-03-20,10.7537
2016-04-20,10.7332
2016-05-20,10.2024
2016-06-20,10.1916
2016-07-20,10.1916
2016-08-20,10.2669
2016-09-20,10.0673
2016-10-20,10.157
2016-11-20,10.2626
2016-12-20,10.2758
2017-01-20,10.2752
2017-02-20,10.2725
2017-03-20,10.273
2017-04-20,10.2556
2017-05-20,10.3313
2017-06-20,10.3186
2017-07-20,10.3187
2017-08-20,10.3896
2017-09-20,10.0929
2017-10-20,10.0653
2017-11-20,10.2515
2017-12-20,10.1192
2018-01-20,10.1192
2018-02-20,10.1196
2018-03-20,10.1203
2018-04-20,10.1218
2018-05-20,10.6581
2018-06-20,10.6285
2018-07-20,10.621
2018-08-20,10.559
2018-09-20,10.5946
2018-10-20,10.6116
2018-11-20,10.5693
2018-12-20,10.5603
2019-01-20,10.5603
2019-02-20,10.5797
2019-03-20,10.5795
2019-04-20,10.5774
2019-05-20,9.9619
2019-06-20,9.9619
2019-07-20,9.9607
2019-08-20,9.9401
2019-09-20,9.8836
2019-10-20,9.8966
2019-11-20,9.7788
2019-12-20,9.7589
2020-01-20,9.7589
2020-02-20,9.7336
2020-03-20,9.7539
2020-04-20,9.8804
2020-05-20,9.5638
2020-06-20,9.5302
2020-07-20,9.5252
2020-08-20,9.5041
2020-09-20,8.9955
2020-10-20,9.1004
2020-11-20,9.5054
2020-12-20,9.5054
2021-01-20,9.5054
2021-02-20,9.4876
2021-03-20,9.4876
2021-04-20,9.4899
2021-05-20,10.1341
2021-06-20,10.1348
2021-07-20,10.1348
2021-08-20,10.0959
2021-09-20,10.4102
2021-10-20,10.4491
2021-11-20,10.2048
2021-12-20,10.2095
2022-01-20,10.2119
2022-02-20,10.2256
2022-03-20,10.2256
2022-04-20,10.2274
2022-05-20,9.8034
2022-06-20,9.7945
2022-07-20,9.7375
2022-08-20,9.7442
2022-09-20,9.8699
2022-10-20,9.7826
2022-11-20,9.5571
2022-12-20,9.5421
2023-01-20,9.9236
2023-02-20,9.9065
2023-03-20,9.9065
2023-04-20,9.4361
2023-05-20,9.3635
2023-06-20,9.3639
2023-07-20,9.3639
2023-08-20,9.3545
2023-09-20,8.873
2023-10-20,8.8803
2023-11-20,8.8598
2023-12-20,8.8637
2024-01-20,8.8625
2024-02-20,8.8631
2024-03-20,8.8552
2024-04-20,8.8412
2024-05-20,8.8471
2024-06-20,8.8515
2024-07-20,8.8515
2024-08-20,8.8529
2024-09-20,9.0805
2024-10-20,9.086
2024-11-20,9.3451
2024-12-20,9.3452
2025-01-20,9.3452
2025-02-20,9.3379
2025-03-20,9.3378
2025-04-20,9.338
2025-05-20,9.4304
2025-06-20,9.431
2025-07-20,9.431
2025-08-20,9.4033
2025-09-20,9.4567
2025-10-20,9.4904
2025-11-20,9.8452
2025-12-20,9.8461
2026-01-20,9.8461
2026-02-20,9.8486
2026-03-20,9.8486
2026-04-20,10.8991
