date,pb
2004-01-20,2.7565
2004-02-20,2.929
2004-03-20,3.0832
2004-04-20,3.2073
2004-05-20,2.7355
2004-06-20,2.6403
2004-07-20,2.3745
2004-08-20,2.3526
2004-09-20,2.2554
2004-10-20,2.347
2004-11-20,2.173
2004-12-20,2.2066
2005-01-20,2.0844
2005-02-20,1.9615
2005-03-20,2.1494
2005-04-20,1.9442
2005-05-20,1.8269
2005-06-20,1.6705
2005-07-20,1.7023
2005-08-20,1.7056
2005-09-20,1.8315
2005-10-20,1.8201
2005-11-20,1.6788
2005-12-20,1.6726
2006-01-20,1.7666
2006-02-20,1.9142
2006-03-20,1.9766
2006-04-20,1.9729
2006-05-20,2.0219
2006-06-20,2.2792
2006-07-20,2.3221
2006-08-20,2.2374
2006-09-20,2.2074
2006-10-20,2.3326
2006-11-20,2.276
2006-12-20,2.5996
2007-01-20,3.3131
2007-02-20,3.4546
2007-03-20,3.572
2007-04-20,3.9518
2007-05-20,4.6079
2007-06-20,4.9247
2007-07-20,4.5785
2007-08-20,5.4261
2007-09-20,6.1045
2007-10-20,6.3611
2007-11-20,6.3182
2007-12-20,5.164
2008-01-20,5.5771
2008-02-20,4.7952
2008-03-20,4.758
2008-04-20,3.7998
2008-05-20,4.2498
2008-06-20,3.9509
2008-07-20,3.1489
2008-08-20,3.2231
2008-09-20,2.8209
2008-10-20,2.686
2008-11-20,1.9457
2008-12-20,2.1318
2009-01-20,2.0744
2009-02-20,2.2811
2009-03-20,2.3868
2009-04-20,2.7195
2009-05-20,2.6434
2009-06-20,2.8092
2009-07-20,3.1575
2009-08-20,3.6846
2009-09-20,2.8607
2009-10-20,2.979
2009-11-20,3.0884
2009-12-20,3.319
2010-01-20,3.404
2010-02-20,3.1306
2010-03-20,3.1962
2010-04-20,3.256
2010-05-20,2.7336
2010-06-20,2.4685
2010-07-20,2.2806
2010-08-20,2.5394
2010-09-20,2.4831
2010-10-20,2.4944
2010-11-20,2.6283
2010-12-20,2.4959
2011-01-20,2.4852
2011-02-20,2.5207
2011-03-20,2.624
2011-04-20,2.3659
2011-05-20,2.4093
2011-06-20,2.2699
2011-07-20,2.2853
2011-08-20,2.2408
2011-09-20,2.0995
2011-10-20,1.9256
2011-11-20,1.9535
2011-12-20,1.8463
2012-01-20,1.7403
2012-02-20,1.8431
2012-03-20,1.9523
2012-04-20,1.695
2012-05-20,1.7957
2012-06-20,1.7777
2012-07-20,1.6677
2012-08-20,1.5764
2012-09-20,1.5322
2012-10-20,1.5611
2012-11-20,1.5091
2012-12-20,1.4444
2013-01-20,1.6552
2013-02-20,1.7401
2013-03-20,1.7256
2013-04-20,1.5308
2013-05-20,1.4818
2013-06-20,1.5652
2013-07-20,1.3466
2013-08-20,1.3565
2013-09-20,1.4395
2013-10-20,1.4919
2013-11-20,1.4233
2013-12-20,1.4757
2014-01-20,1.4062
2014-02-20,1.3511
2014-03-20,1.3665
2014-04-20,1.3512
2014-05-20,1.2817
2014-06-20,1.2898
2014-07-20,1.2956
2014-08-20,1.3925
2014-09-20,1.3955
2014-10-20,1.4878
2014-11-20,1.489
2014-12-20,1.6506
2015-01-20,1.9901
2015-02-20,1.9752
2015-03-20,2.0366
2015-04-20,2.3059
2015-05-20,2.5747
2015-06-20,2.6734
2015-07-20,2.4795
2015-08-20,2.1239
2015-09-20,1.8507
2015-10-20,1.7669
2015-11-20,1.9428
2015-12-20,1.9788
2016-01-20,2.0327
2016-02-20,1.5723
2016-03-20,1.5438
2016-04-20,1.7253
2016-05-20,1.6273
2016-06-20,1.6153
2016-07-20,1.6224
2016-08-20,1.6611
2016-09-20,1.7158
2016-10-20,1.6717
2016-11-20,1.6876
2016-12-20,1.7699
2017-01-20,1.6902
2017-02-20,1.7236
2017-03-20,1.7686
2017-04-20,1.7581
2017-05-20,1.6889
2017-06-20,1.6697
2017-07-20,1.71
2017-08-20,1.7677
2017-09-20,1.8221
2017-10-20,1.8225
2017-11-20,1.8112
2017-12-20,1.7696
2018-01-20,1.7642
2018-02-20,1.8632
2018-03-20,1.7447
2018-04-20,1.6962
2018-05-20,1.6123
2018-06-20,1.6186
2018-07-20,1.4893
2018-08-20,1.5162
2018-09-20,1.4423
2018-10-20,1.4901
2018-11-20,1.3472
2018-12-20,1.3395
