date,pe
2004-01-16,30.7064
2004-02-16,32.6089
2004-03-16,34.676
2004-04-16,32.4461
2004-05-16,34.8123
2004-06-16,34.0404
2004-07-16,30.6111
2004-08-16,30.3276
2004-09-16,21.4581
2004-10-16,22.462
2004-11-16,21.4348
2004-12-16,19.7308
2005-01-16,18.6651
2005-02-16,17.5644
2005-03-16,19.3828
2005-04-16,18.286
2005-05-16,18.1418
2005-06-16,16.7276
2005-07-16,17.0461
2005-08-16,17.0791
2005-09-16,17.7082
2005-10-16,17.5966
2005-11-16,16.5618
2005-12-16,16.42
2006-01-16,17.3431
2006-02-16,18.7918
2006-03-16,17.3869
2006-04-16,17.7505
2006-05-16,16.8708
2006-06-16,21.1586
2006-07-16,21.5284
2006-08-16,20.8551
2006-09-16,22.8217
2006-10-16,24.3001
2006-11-16,20.7521
2006-12-16,23.7093
2007-01-16,30.2219
2007-02-16,31.7557
2007-03-16,32.9699
2007-04-16,36.0997
2007-05-16,37.916
2007-06-16,40.5313
2007-07-16,37.5637
2007-08-16,44.4926
2007-09-16,43.672
2007-10-16,46.4764
2007-11-16,44.1192
2007-12-16,35.8233
2008-01-16,38.6272
2008-02-16,32.5272
2008-03-16,32.1638
2008-04-16,26.6414
2008-05-16,18.1111
2008-06-16,16.8353
2008-07-16,13.4271
2008-08-16,13.702
2008-09-16,17.9984
2008-10-16,17.1737
2008-11-16,13.1421
2008-12-16,14.248
2009-01-16,13.8733
2009-02-16,15.2032
2009-03-16,15.9547
2009-04-16,18.8038
2009-05-16,25.3479
2009-06-16,26.9415
2009-07-16,30.2736
2009-08-16,35.1073
2009-09-16,27.5937
2009-10-16,28.3378
2009-11-16,29.1341
2009-12-16,31.4855
2010-01-16,32.3241
2010-02-16,29.7055
2010-03-16,30.3536
2010-04-16,30.3727
2010-05-16,20.92
2010-06-16,18.8916
2010-07-16,17.4806
2010-08-16,19.4866
2010-09-16,2.5575
2010-10-16,2.574
2010-11-16,2.9778
2010-12-16,2.8186
2011-01-16,2.806
2011-02-16,2.7987
2011-03-16,2.917
2011-04-16,16.0884
2011-05-16,16.0884
2011-06-16,16.0884
2011-07-16,16.0884
2011-08-16,16.0884
2011-09-16,16.0884
2011-10-16,16.0884
2011-11-16,16.0884
2011-12-16,16.0884
2012-01-16,16.0884
2012-02-16,16.0884
2012-03-16,16.0884
2012-04-16,11.7764
2012-05-16,12.9386
2012-06-16,12.8091
2012-07-16,12.019
2012-08-16,11.5958
2012-09-16,11.487
2012-10-16,11.7429
2012-11-16,11.7613
2012-12-16,11.2567
2013-01-16,12.901
2013-02-16,13.6115
2013-03-16,13.4973
2013-04-16,11.7999
2013-05-16,11.7816
2013-06-16,12.4453
2013-07-16,10.7067
2013-08-16,10.8494
2013-09-16,11.1766
2013-10-16,11.6343
2013-11-16,10.9812
2013-12-16,11.3847
2014-01-16,10.8488
2014-02-16,10.4229
2014-03-16,10.5389
2014-04-16,10.4265
2014-05-16,10.1884
2014-06-16,10.2534
2014-07-16,10.3018
2014-08-16,11.0987
2014-09-16,10.8241
2014-10-16,11.5495
2014-11-16,11.7474
2014-12-16,13.0223
2015-01-16,15.7009
2015-02-16,15.5979
2015-03-16,16.0835
2015-04-16,18.2366
2015-05-16,22.6839
2015-06-16,23.5525
