date,profit_margin
2004-01-16,6.0693
2004-02-16,6.0804
2004-03-16,6.1559
2004-04-16,6.3449
2004-05-16,5.4293
2004-06-16,5.4144
2004-07-16,5.4144
2004-08-16,5.4144
2004-09-16,6.3189
2004-10-16,6.273
2004-11-16,6.2667
2004-12-16,5.7882
2005-01-16,5.7806
2005-02-16,5.7766
2005-03-16,5.8224
2005-04-16,6.2424
2005-05-16,5.8574
2005-06-16,5.7885
2005-07-16,5.7885
2005-08-16,5.7885
2005-09-16,5.3577
2005-10-16,5.3614
2005-11-16,5.3609
2005-12-16,5.9813
2006-01-16,5.9802
2006-02-16,5.9743
2006-03-16,5.1714
2006-04-16,5.3885
2006-05-16,6.3286
2006-06-16,5.3251
2006-07-16,5.3247
2006-08-16,5.3414
2006-09-16,4.6268
2006-10-16,4.6279
2006-11-16,5.9954
2006-12-16,6.0059
2007-01-16,6.0025
2007-02-16,5.989
2007-03-16,5.9799
2007-04-16,5.9417
2007-05-16,7.5802
2007-06-16,7.6103
2007-07-16,7.6141
2007-08-16,7.6179
2007-09-16,8.9131
2007-10-16,8.8849
2007-11-16,9.3038
2007-12-16,9.3346
2008-01-16,9.33
2008-02-16,9.2279
2008-03-16,9.1791
2008-04-16,9.0903
2008-05-16,15.6121
2008-06-16,15.5636
2008-07-16,15.5632
2008-08-16,15.4186
2008-09-16,9.7486
2008-10-16,9.4955
2008-11-16,9.2213
2008-12-16,9.2085
2009-01-16,9.2091
2009-02-16,9.136
2009-03-16,9.12
2009-04-16,8.9091
2009-05-16,6.73
2009-06-16,6.7266
2009-07-16,6.7295
2009-08-16,6.662
2009-09-16,6.8184
2009-10-16,6.7766
2009-11-16,7.3432
2009-12-16,7.153
2010-01-16,7.156
2010-02-16,7.1333
2010-03-16,7.1342
2010-04-16,7.0989
2010-05-16,8.3314
2010-06-16,8.3299
2010-07-16,8.3225
2010-08-16,8.2995
2010-09-16,8.316
2010-10-16,8.2891
2010-11-16,8.7391
2010-12-16,8.738
2011-01-16,8.7386
2011-02-16,8.7002
2011-03-16,8.6954
2011-04-16,9.3451
2011-05-16,8.8191
2011-06-16,9.7762
2011-07-16,9.776
2011-08-16,9.7707
2011-09-16,8.7298
2011-10-16,8.6868
2011-11-16,9.4259
2011-12-16,9.3624
2012-01-16,9.3622
2012-02-16,9.4045
2012-03-16,9.4041
2012-04-16,8.4029
2012-05-16,7.6602
2012-06-16,7.6602
2012-07-16,7.6591
2012-08-16,7.6998
2012-09-16,7.4363
2012-10-16,7.4123
2012-11-16,7.252
