date,roa
2004-01-20,3.0264
2004-02-20,3.0274
2004-03-20,2.9991
2004-04-20,3.4231
2004-05-20,2.5136
2004-06-20,2.4922
2004-07-20,2.4919
2004-08-20,2.4919
2004-09-20,3.2197
2004-10-20,3.2072
2004-11-20,3.112
2004-12-20,3.4024
2005-01-20,3.3974
2005-02-20,3.3976
2005-03-20,3.3812
2005-04-20,3.2568
2005-05-20,2.8614
2005-06-20,2.8044
2005-07-20,2.8043
2005-08-20,2.8043
2005-09-20,2.6444
2005-10-20,2.6452
2005-11-20,2.6351
2005-12-20,2.8841
2006-01-20,2.8836
2006-02-20,2.8807
2006-03-20,2.8571
2006-04-20,2.7932
2006-05-20,3.0625
2006-06-20,2.736
2006-07-20,2.7362
2006-08-20,2.7232
2006-09-20,2.3268
2006-10-20,2.3271
2006-11-20,1.9313
2006-12-20,1.9311
2007-01-20,1.9302
2007-02-20,1.9182
2007-03-20,1.9064
2007-04-20,1.9447
2007-05-20,1.6781
2007-06-20,1.6776
2007-07-20,1.6779
2007-08-20,1.6601
2007-09-20,1.8626
2007-10-20,1.8351
2007-11-20,1.9253
2007-12-20,1.9311
2008-01-20,1.931
2008-02-20,1.8722
2008-03-20,1.8677
2008-04-20,1.8475
2008-05-20,3.7849
2008-06-20,3.7734
2008-07-20,3.7736
2008-08-20,3.7355
2008-09-20,2.4124
2008-10-20,2.3997
2008-11-20,2.3603
2008-12-20,2.3551
2009-01-20,2.3554
2009-02-20,2.3444
2009-03-20,2.3425
2009-04-20,2.3319
2009-05-20,1.5585
2009-06-20,1.5584
2009-07-20,1.5591
2009-08-20,1.5448
2009-09-20,1.4444
2009-10-20,1.4434
2009-11-20,1.5642
2009-12-20,1.5457
2010-01-20,1.5463
2010-02-20,1.5362
2010-03-20,1.5358
2010-04-20,1.5355
2010-05-20,1.9252
2010-06-20,1.9252
2010-07-20,1.9303
2010-08-20,1.9046
2010-09-20,2.0049
2010-10-20,1.9967
2010-11-20,1.8188
