date,roc
2004-01-20,4.9483
2004-02-20,4.9499
2004-03-20,4.9009
2004-04-20,5.5844
2004-05-20,4.3102
2004-06-20,4.2558
2004-07-20,4.2618
2004-08-20,4.2619
2004-09-20,5.7451
2004-10-20,5.7246
2004-11-20,5.6165
2004-12-20,6.1422
2005-01-20,6.1332
2005-02-20,6.1337
2005-03-20,6.104
2005-04-20,5.8802
2005-05-20,5.3081
2005-06-20,5.2284
2005-07-20,5.2282
2005-08-20,5.2282
2005-09-20,5.2196
2005-10-20,5.2214
2005-11-20,5.1844
2005-12-20,5.7537
2006-01-20,5.7526
2006-02-20,5.7469
2006-03-20,5.6998
2006-04-20,5.5749
2006-05-20,6.2091
2006-06-20,5.594
2006-07-20,5.5944
2006-08-20,5.5724
2006-09-20,4.6937
2006-10-20,4.6938
2006-11-20,5.2949
2006-12-20,5.2942
2007-01-20,5.2917
2007-02-20,5.2574
2007-03-20,5.2232
2007-04-20,5.3252
2007-05-20,5.9116
2007-06-20,5.9186
2007-07-20,5.9197
2007-08-20,5.8598
2007-09-20,5.9914
2007-10-20,5.9972
2007-11-20,5.9441
2007-12-20,5.9259
2008-01-20,5.9259
2008-02-20,5.8369
2008-03-20,5.8256
2008-04-20,5.752
2008-05-20,10.9343
2008-06-20,10.9011
2008-07-20,10.9013
2008-08-20,10.8289
2008-09-20,6.978
2008-10-20,7.114
2008-11-20,7.1636
2008-12-20,7.1787
2009-01-20,7.1797
2009-02-20,7.1461
2009-03-20,7.1402
2009-04-20,7.1081
2009-05-20,4.7535
2009-06-20,4.7531
2009-07-20,4.7552
2009-08-20,4.7116
2009-09-20,4.4606
2009-10-20,4.5532
2009-11-20,4.8466
2009-12-20,4.8024
2010-01-20,4.8043
2010-02-20,4.7731
2010-03-20,4.7719
2010-04-20,4.7709
2010-05-20,5.6492
2010-06-20,5.6494
2010-07-20,5.6499
2010-08-20,5.5763
2010-09-20,5.8781
2010-10-20,5.9075
2010-11-20,6.0944
2010-12-20,6.0954
2011-01-20,6.0965
2011-02-20,6.1018
2011-03-20,6.0981
2011-04-20,6.4661
2011-05-20,6.1025
2011-06-20,6.1025
2011-07-20,6.1025
2011-08-20,6.0904
2011-09-20,6.1465
2011-10-20,6.1811
2011-11-20,6.2656
2011-12-20,6.2377
2012-01-20,6.2376
2012-02-20,6.1629
2012-03-20,6.1624
2012-04-20,5.8415
2012-05-20,5.3515
2012-06-20,5.3514
2012-07-20,5.3512
2012-08-20,5.2371
2012-09-20,4.9998
2012-10-20,4.9968
2012-11-20,4.9036
2012-12-20,4.903
2013-01-20,4.903
2013-02-20,4.8843
2013-03-20,4.8807
2013-04-20,5.4385
2013-05-20,4.7737
2013-06-20,4.7737
2013-07-20,4.7737
2013-08-20,4.7453
2013-09-20,4.7762
2013-10-20,4.7816
2013-11-20,4.9487
2013-12-20,4.9489
2014-01-20,4.9489
2014-02-20,4.9489
2014-03-20,4.9489
2014-04-20,4.9479
2014-05-20,4.7626
2014-06-20,4.7626
2014-07-20,4.7595
2014-08-20,4.7486
2014-09-20,4.728
2014-10-20,4.7383
2014-11-20,4.7262
2014-12-20,4.7262
2015-01-20,4.7262
2015-02-20,4.7222
2015-03-20,4.7222
2015-04-20,4.715
2015-05-20,4.2577
2015-06-20,4.2579
2015-07-20,4.2579
2015-08-20,4.2537
2015-09-20,3.9666
2015-10-20,3.9602
2015-11-20,3.7967
2015-12-20,3.7973
2016-01-20,3.797
2016-02-20,3.7817
2016-03-20,3.7776
2016-04-20,3.768
2016-05-20,3.518
2016-06-20,3.518
2016-07-20,3.518
2016-08-20,3.4988
2016-09-20,3.226
2016-10-20,3.2225
2016-11-20,3.3091
2016-12-20,3.3096
2017-01-20,3.3092
2017-02-20,3.3063
2017-03-20,3.3068
2017-04-20,3.2873
2017-05-20,3.3835
2017-06-20,3.3816
2017-07-20,3.3806
2017-08-20,3.3686
2017-09-20,3.4186
2017-10-20,3.423
2017-11-20,3.5555
2017-12-20,3.5533
2018-01-20,3.5533
2018-02-20,3.5397
2018-03-20,3.5376
2018-04-20,3.5177
2018-05-20,3.6991
2018-06-20,3.7078
2018-07-20,3.7049
2018-08-20,3.6727
2018-09-20,3.8088
2018-10-20,3.8167
2018-11-20,3.794
2018-12-20,3.7924
2019-01-20,3.7924
2019-02-20,3.7958
2019-03-20,3.7958
2019-04-20,3.7933
2019-05-20,3.6059
2019-06-20,3.6059
2019-07-20,3.6051
2019-08-20,3.59
2019-09-20,3.4656
2019-10-20,3.4779
2019-11-20,3.4875
2019-12-20,3.4876
2020-01-20,3.4876
2020-02-20,3.4701
2020-03-20,3.4701
2020-04-20,3.463
2020-05-20,3.1749
2020-06-20,3.1787
2020-07-20,3.1766
2020-08-20,3.1579
2020-09-20,2.969
2020-10-20,2.9844
2020-11-20,3.1161
2020-12-20,3.1161
2021-01-20,3.1161
2021-02-20,3.0994
2021-03-20,3.0994
2021-04-20,3.0994
2021-05-20,3.4207
2021-06-20,3.4206
2021-07-20,3.4206
2021-08-20,3.3918
2021-09-20,3.7366
2021-10-20,3.7357
2021-11-20,3.6628
2021-12-20,3.6564
2022-01-20,3.6564
2022-02-20,3.6571
2022-03-20,3.6571
2022-04-20,3.6561
2022-05-20,3.5112
2022-06-20,3.501
2022-07-20,3.5004
2022-08-20,3.5004
2022-09-20,3.5883
2022-10-20,3.5866
2022-11-20,3.4843
2022-12-20,3.4769
2023-01-20,3.4771
2023-02-20,3.477
2023-03-20,3.477
2023-04-20,3.4764
2023-05-20,3.2617
2023-06-20,3.262
2023-07-20,3.262
2023-08-20,3.2521
2023-09-20,3.2421
2023-10-20,3.2801
2023-11-20,3.1731
2023-12-20,3.1736
2024-01-20,3.1736
2024-02-20,3.1651
2024-03-20,3.1648
2024-04-20,3.1626
2024-05-20,2.8919
2024-06-20,2.8919
2024-07-20,2.8919
2024-08-20,2.89
2024-09-20,2.9426
2024-10-20,2.9433
2024-11-20,2.8433
2024-12-20,2.8433
2025-01-20,2.8433
2025-02-20,2.8418
2025-03-20,2.8418
2025-04-20,2.8419
2025-05-20,2.7906
2025-06-20,2.7907
2025-07-20,2.7907
2025-08-20,2.7743
2025-09-20,2.7364
2025-10-20,2.7692
2025-11-20,2.6942
2025-12-20,2.6942
2026-01-20,2.6942
2026-02-20,2.6885
2026-03-20,2.6885
2026-04-20,2.6705
