date,roce
2004-01-20,8.9789
2004-02-20,8.9818
2004-03-20,8.8901
2004-04-20,10.1317
2004-05-20,7.9063
2004-06-20,7.8037
2004-07-20,7.8044
2004-08-20,7.8044
2004-09-20,10.5557
2004-10-20,10.5163
2004-11-20,10.194
2004-12-20,11.1554
2005-01-20,11.139
2005-02-20,11.1397
2005-03-20,11.0842
2005-04-20,10.6711
2005-05-20,9.9836
2005-06-20,9.8979
2005-07-20,9.8977
2005-08-20,9.8977
2005-09-20,10.3845
2005-10-20,10.3871
2005-11-20,10.3269
2005-12-20,11.4351
2006-01-20,11.433
2006-02-20,11.423
2006-03-20,11.3251
2006-04-20,11.0532
2006-05-20,12.1159
2006-06-20,10.8001
2006-07-20,10.8009
2006-08-20,10.7439
2006-09-20,9.405
2006-10-20,9.4075
2006-11-20,10.7751
2006-12-20,10.7736
2007-01-20,10.7685
2007-02-20,10.6967
2007-03-20,10.6229
2007-04-20,10.8295
2007-05-20,11.9154
2007-06-20,11.9246
2007-07-20,11.9269
2007-08-20,11.9512
2007-09-20,14.1287
2007-10-20,13.822
2007-11-20,14.192
2007-12-20,14.2613
2008-01-20,14.261
2008-02-20,14.2706
2008-03-20,14.2362
2008-04-20,14.0813
2008-05-20,23.885
2008-06-20,23.8131
2008-07-20,23.8152
2008-08-20,23.7856
2008-09-20,15.53
2008-10-20,15.3912
2008-11-20,14.9192
2008-12-20,15.0418
2009-01-20,15.0438
2009-02-20,15.0604
2009-03-20,15.0481
2009-04-20,14.9803
2009-05-20,10.5223
2009-06-20,10.5214
2009-07-20,10.526
2009-08-20,10.556
2009-09-20,10.2908
2009-10-20,10.2814
2009-11-20,10.7459
2009-12-20,10.6917
2010-01-20,10.696
2010-02-20,10.7139
2010-03-20,10.7111
2010-04-20,10.7122
2010-05-20,13.2242
2010-06-20,13.2245
2010-07-20,13.2053
2010-08-20,13.1934
2010-09-20,13.894
2010-10-20,13.8701
2010-11-20,14.2707
2010-12-20,14.3166
2011-01-20,14.3192
2011-02-20,14.2982
2011-03-20,14.2894
2011-04-20,14.7919
2011-05-20,14.7188
2011-06-20,14.7155
2011-07-20,14.7155
2011-08-20,14.7221
2011-09-20,15.304
2011-10-20,15.2754
2011-11-20,15.2529
2011-12-20,15.2296
2012-01-20,15.2294
2012-02-20,15.288
2012-03-20,15.2866
2012-04-20,14.6583
2012-05-20,14.1618
2012-06-20,14.1617
2012-07-20,14.161
2012-08-20,13.8591
2012-09-20,13.6197
2012-10-20,13.6186
2012-11-20,13.1442
2012-12-20,13.1445
2013-01-20,13.1445
2013-02-20,13.0953
2013-03-20,13.0855
2013-04-20,13.389
2013-05-20,12.6952
2013-06-20,12.6952
2013-07-20,12.6952
2013-08-20,12.6197
2013-09-20,13.034
2013-10-20,13.0347
2013-11-20,13.197
2013-12-20,13.1959
2014-01-20,13.1959
2014-02-20,13.1959
2014-03-20,13.1959
2014-04-20,13.1933
2014-05-20,12.8967
2014-06-20,12.8969
2014-07-20,12.8907
2014-08-20,12.8612
2014-09-20,13.1346
2014-10-20,13.1342
2014-11-20,12.978
2014-12-20,12.978
2015-01-20,12.978
2015-02-20,12.9671
2015-03-20,12.9671
2015-04-20,12.9473
2015-05-20,11.7517
2015-06-20,11.7525
2015-07-20,11.7525
2015-08-20,11.7407
2015-09-20,11.6678
2015-10-20,11.699
2015-11-20,11.1031
2015-12-20,11.1047
2016-01-20,11.1039
2016-02-20,11.0592
2016-03-20,11.0471
2016-04-20,11.0191
2016-05-20,10.0838
2016-06-20,10.0838
2016-07-20,10.0838
2016-08-20,10.0962
2016-09-20,9.647
2016-10-20,9.6649
2016-11-20,9.7546
2016-12-20,9.7595
2017-01-20,9.7583
2017-02-20,9.7675
2017-03-20,9.7688
2017-04-20,9.7117
2017-05-20,10.1608
2017-06-20,10.16
2017-07-20,10.157
2017-08-20,10.2041
2017-09-20,10.2622
2017-10-20,10.3003
2017-11-20,10.6677
2017-12-20,10.6593
2018-01-20,10.6593
2018-02-20,10.6548
2018-03-20,10.6486
2018-04-20,10.5893
2018-05-20,10.7337
2018-06-20,10.7214
2018-07-20,10.7148
2018-08-20,10.7026
2018-09-20,11.1506
2018-10-20,11.1376
2018-11-20,10.8865
2018-12-20,10.8852
2019-01-20,10.8852
2019-02-20,10.9136
2019-03-20,10.9136
2019-04-20,10.9064
2019-05-20,10.2946
2019-06-20,10.2946
2019-07-20,10.2925
2019-08-20,10.2488
2019-09-20,10.2453
2019-10-20,10.2543
2019-11-20,10.182
2019-12-20,10.1839
2020-01-20,10.1839
2020-02-20,10.1321
2020-03-20,10.1321
2020-04-20,10.1115
2020-05-20,9.4053
2020-06-20,9.4299
2020-07-20,9.4222
2020-08-20,9.366
2020-09-20,8.7054
2020-10-20,8.7076
2020-11-20,9.2048
