date,ebitda_margin
2004-01-16,17.8557
2004-02-16,18.0733
2004-03-16,18.8358
2004-04-16,19.1734
2004-05-16,19.3105
2004-06-16,18.8985
2004-07-16,18.288
2004-08-16,18.3706
2004-09-16,18.6688
2004-10-16,18.422
2004-11-16,18.414
2004-12-16,19.0008
2005-01-16,18.458
2005-02-16,18.4476
2005-03-16,18.4184
2005-04-16,19.3105
2005-05-16,19.1477
2005-06-16,18.8534
2005-07-16,18.6088
2005-08-16,18.6347
2005-09-16,19.1695
2005-10-16,18.7642
2005-11-16,18.6789
2005-12-16,18.9568
2006-01-16,18.7057
2006-02-16,18.6394
2006-03-16,20.0506
2006-04-16,20.0211
2006-05-16,20.0022
2006-06-16,19.6713
2006-07-16,19.6609
2006-08-16,19.6587
2006-09-16,20.0825
2006-10-16,20.0831
2006-11-16,20.0878
2006-12-16,20.6495
2007-01-16,20.6525
2007-02-16,20.6318
2007-03-16,20.7052
2007-04-16,21.0214
2007-05-16,21.0182
2007-06-16,20.944
2007-07-16,20.9228
2007-08-16,20.9647
2007-09-16,21.2568
2007-10-16,21.2571
2007-11-16,21.2584
2007-12-16,21.1399
2008-01-16,21.146
2008-02-16,21.1235
2008-03-16,20.4907
2008-04-16,20.4879
2008-05-16,20.4898
2008-06-16,20.0815
2008-07-16,20.0823
2008-08-16,19.9459
2008-09-16,18.7468
2008-10-16,18.7485
2008-11-16,18.6074
2008-12-16,18.389
2009-01-16,18.3459
2009-02-16,18.2424
2009-03-16,16.8469
2009-04-16,16.8045
2009-05-16,16.5987
2009-06-16,15.9635
2009-07-16,15.957
2009-08-16,15.9209
2009-09-16,16.0645
2009-10-16,16.071
2009-11-16,16.0514
2009-12-16,15.5351
2010-01-16,15.5068
2010-02-16,15.4735
2010-03-16,16.0762
2010-04-16,16.1277
2010-05-16,16.1331
2010-06-16,17.2718
2010-07-16,17.2725
2010-08-16,17.2655
2010-09-16,17.7992
2010-10-16,17.8001
2010-11-16,17.7984
2010-12-16,17.8713
2011-01-16,17.8713
2011-02-16,17.8683
2011-03-16,18.3668
2011-04-16,18.3699
2011-05-16,18.3667
2011-06-16,18.4989
2011-07-16,18.4979
2011-08-16,18.4752
2011-09-16,18.4803
2011-10-16,18.4776
2011-11-16,18.4748
2011-12-16,18.1576
2012-01-16,18.1543
2012-02-16,18.1476
2012-03-16,17.9993
2012-04-16,17.9789
2012-05-16,17.9764
2012-06-16,18.0339
2012-07-16,18.028
2012-08-16,18.0267
2012-09-16,17.7751
2012-10-16,17.7769
2012-11-16,17.7765
2012-12-16,17.6962
2013-01-16,17.6946
2013-02-16,17.3537
2013-03-16,17.0932
2013-04-16,17.3724
2013-05-16,17.3704
2013-06-16,17.3976
2013-07-16,17.3926
2013-08-16,17.396
2013-09-16,17.445
2013-10-16,17.4423
2013-11-16,17.4432
2013-12-16,17.5524
2014-01-16,17.6025
2014-02-16,17.5929
2014-03-16,18.3638
2014-04-16,18.5737
2014-05-16,18.5684
2014-06-16,18.7092
2014-07-16,18.7072
2014-08-16,18.6957
2014-09-16,18.7393
2014-10-16,18.7274
2014-11-16,18.7259
2014-12-16,18.9046
2015-01-16,18.9069
2015-02-16,18.9063
2015-03-16,18.3145
2015-04-16,18.3069
2015-05-16,18.3051
2015-06-16,18.0464
2015-07-16,18.0239
2015-08-16,18.024
2015-09-16,17.7891
2015-10-16,17.776
2015-11-16,17.7715
2015-12-16,17.4974
2016-01-16,17.4672
2016-02-16,17.3261
2016-03-16,17.2224
2016-04-16,17.2035
2016-05-16,17.2043
2016-06-16,17.138
2016-07-16,17.1248
2016-08-16,17.1436
2016-09-16,17.2169
2016-10-16,17.1963
2016-11-16,17.1976
2016-12-16,17.6331
2017-01-16,17.6064
2017-02-16,17.6121
2017-03-16,18.3673
2017-04-16,18.3676
2017-05-16,18.3701
2017-06-16,18.6505
2017-07-16,18.6304
2017-08-16,18.6261
2017-09-16,18.9088
2017-10-16,18.8879
2017-11-16,18.8817
2017-12-16,19.0996
2018-01-16,19.0463
2018-02-16,19.0444
2018-03-16,19.0291
2018-04-16,18.9496
2018-05-16,18.9442
2018-06-16,19.2254
2018-07-16,19.1954
2018-08-16,19.1884
2018-09-16,19.2298
2018-10-16,19.2019
2018-11-16,19.2005
2018-12-16,19.1908
2019-01-16,19.1533
2019-02-16,19.2167
2019-03-16,18.7925
2019-04-16,18.7344
2019-05-16,18.747
2019-06-16,18.9998
2019-07-16,19.0047
2019-08-16,18.9952
2019-09-16,19.164
2019-10-16,19.1724
2019-11-16,19.1692
2019-12-16,19.2344
2020-01-16,19.225
2020-02-16,19.2125
2020-03-16,19.9189
2020-04-16,20.0197
2020-05-16,20.027
2020-06-16,18.382
2020-07-16,18.3656
2020-08-16,18.336
2020-09-16,17.5979
2020-10-16,17.6062
2020-11-16,17.6097
2020-12-16,17.4417
2021-01-16,17.407
2021-02-16,17.4061
2021-03-16,17.2235
2021-04-16,17.3074
2021-05-16,17.3047
2021-06-16,18.8774
2021-07-16,18.8799
2021-08-16,18.8726
2021-09-16,19.9622
2021-10-16,19.9596
2021-11-16,19.961
2021-12-16,20.4959
2022-01-16,20.4927
2022-02-16,20.4906
2022-03-16,21.4016
2022-04-16,21.4635
2022-05-16,21.4646
2022-06-16,20.761
2022-07-16,20.7599
2022-08-16,20.759
2022-09-16,20.2959
2022-10-16,20.2951
2022-11-16,20.3257
2022-12-16,19.8195
2023-01-16,19.8073
2023-02-16,19.7982
2023-03-16,19.5318
2023-04-16,19.5565
2023-05-16,19.5531
2023-06-16,18.9028
2023-07-16,18.8969
2023-08-16,18.897
2023-09-16,19.0882
2023-10-16,19.0809
2023-11-16,19.0833
2023-12-16,19.398
2024-01-16,19.3766
2024-02-16,19.3681
2024-03-16,20.1804
2024-04-16,20.2059
2024-05-16,20.2215
2024-06-16,19.6752
2024-07-16,19.6729
2024-08-16,19.647
2024-09-16,19.9485
2024-10-16,19.9398
2024-11-16,19.9607
2024-12-16,20.2921
2025-01-16,20.2517
2025-02-16,20.2498
2025-03-16,20.9569
2025-04-16,20.9775
2025-05-16,20.9879
2025-06-16,20.8116
2025-07-16,20.7715
2025-08-16,20.7715
2025-09-16,20.78
2025-10-16,20.7707
2025-11-16,20.7761
2025-12-16,21.1578
2026-01-16,21.067
2026-02-16,21.067
2026-03-16,21.6284
2026-04-16,21.6891
