date,ev_ebit
2004-01-16,20.2364
2004-02-16,20.2878
2004-03-16,19.1039
2004-04-16,19.7344
2004-05-16,19.6768
2004-06-16,19.0458
2004-07-16,19.2597
2004-08-16,19.2058
2004-09-16,19.0979
2004-10-16,19.481
2004-11-16,19.4526
2004-12-16,18.9163
2005-01-16,18.9117
2005-02-16,18.8953
2005-03-16,17.6071
2005-04-16,18.0071
2005-05-16,17.9907
2005-06-16,17.6171
2005-07-16,17.5089
2005-08-16,17.524
2005-09-16,17.6058
2005-10-16,17.0535
2005-11-16,17.0516
2005-12-16,16.6319
2006-01-16,16.6089
2006-02-16,16.7886
2006-03-16,16.4545
2006-04-16,16.2249
2006-05-16,16.2081
2006-06-16,17.0501
2006-07-16,17.0495
2006-08-16,17.0615
2006-09-16,16.44
2006-10-16,16.4398
2006-11-16,16.4345
2006-12-16,16.1943
2007-01-16,16.2009
2007-02-16,16.2078
2007-03-16,15.5718
2007-04-16,16.2814
2007-05-16,16.2799
2007-06-16,16.7801
2007-07-16,16.8052
2007-08-16,16.859
2007-09-16,17.6332
2007-10-16,17.6353
2007-11-16,17.6638
2007-12-16,18.434
2008-01-16,18.4359
2008-02-16,18.46
2008-03-16,19.6451
2008-04-16,19.6588
2008-05-16,19.6603
2008-06-16,19.7615
2008-07-16,19.7547
2008-08-16,19.8357
2008-09-16,20.1281
2008-10-16,20.1274
2008-11-16,20.2205
2008-12-16,16.474
2009-01-16,16.433
2009-02-16,16.5292
2009-03-16,14.3002
2009-04-16,14.8603
2009-05-16,15.0291
2009-06-16,14.2313
2009-07-16,14.2379
2009-08-16,14.2489
2009-09-16,16.724
2009-10-16,16.6847
2009-11-16,16.6968
2009-12-16,18.7271
2010-01-16,18.7822
2010-02-16,18.8545
2010-03-16,16.4398
2010-04-16,16.5712
2010-05-16,16.5557
2010-06-16,15.3657
2010-07-16,15.3636
2010-08-16,15.3412
2010-09-16,12.7559
2010-10-16,12.7554
2010-11-16,12.7377
2010-12-16,12.9959
2011-01-16,12.9969
2011-02-16,12.9749
2011-03-16,13.1354
2011-04-16,13.1363
2011-05-16,13.1211
2011-06-16,13.1016
2011-07-16,13.1028
2011-08-16,13.0938
2011-09-16,12.4799
2011-10-16,12.4832
2011-11-16,12.4801
2011-12-16,10.4103
2012-01-16,10.4153
2012-02-16,10.4126
2012-03-16,11.3256
2012-04-16,11.3408
2012-05-16,11.3365
2012-06-16,12.3063
2012-07-16,12.3077
2012-08-16,12.3019
2012-09-16,12.0037
2012-10-16,12.0047
2012-11-16,12.0
2012-12-16,12.7266
2013-01-16,12.7281
2013-02-16,12.6844
2013-03-16,12.6079
2013-04-16,12.5834
2013-05-16,12.5844
2013-06-16,13.4314
2013-07-16,13.432
2013-08-16,13.4247
2013-09-16,13.4862
2013-10-16,13.4892
2013-11-16,13.4859
2013-12-16,13.5423
2014-01-16,13.5528
2014-02-16,13.5511
2014-03-16,13.9532
2014-04-16,13.7258
2014-05-16,13.7235
2014-06-16,13.7637
2014-07-16,13.7679
2014-08-16,13.7595
2014-09-16,14.0908
2014-10-16,14.0661
2014-11-16,14.0649
2014-12-16,13.8696
2015-01-16,13.8788
2015-02-16,13.8783
2015-03-16,14.8621
2015-04-16,14.9446
2015-05-16,14.9396
2015-06-16,15.5564
2015-07-16,15.5825
2015-08-16,15.5785
2015-09-16,16.2167
2015-10-16,16.2448
2015-11-16,16.2458
2015-12-16,15.8267
2016-01-16,15.8736
2016-02-16,15.8113
2016-03-16,17.155
2016-04-16,17.2327
2016-05-16,17.2261
2016-06-16,17.6022
2016-07-16,17.6434
2016-08-16,17.6155
2016-09-16,17.9262
2016-10-16,17.9852
2016-11-16,17.9815
2016-12-16,17.8699
2017-01-16,17.9593
2017-02-16,17.95
2017-03-16,17.5815
2017-04-16,17.6313
2017-05-16,17.6379
2017-06-16,17.603
2017-07-16,17.629
2017-08-16,17.6244
2017-09-16,17.47
2017-10-16,17.5143
2017-11-16,17.5142
2017-12-16,17.8202
2018-01-16,17.8924
2018-02-16,17.8897
2018-03-16,18.423
2018-04-16,18.5383
2018-05-16,18.5253
2018-06-16,17.8561
2018-07-16,17.891
2018-08-16,17.8744
2018-09-16,17.8406
2018-10-16,17.8679
2018-11-16,17.8662
2018-12-16,18.2776
2019-01-16,18.3549
2019-02-16,18.3289
2019-03-16,16.3684
2019-04-16,16.4855
2019-05-16,16.4865
2019-06-16,18.2685
2019-07-16,18.3193
2019-08-16,18.3348
2019-09-16,18.7622
2019-10-16,18.8032
2019-11-16,18.802
2019-12-16,18.9458
2020-01-16,19.0867
2020-02-16,19.1228
2020-03-16,19.6302
2020-04-16,19.7374
2020-05-16,19.7425
2020-06-16,18.0888
2020-07-16,18.2324
2020-08-16,18.129
2020-09-16,23.306
2020-10-16,23.3453
2020-11-16,23.347
2020-12-16,25.3354
2021-01-16,25.6025
2021-02-16,25.6016
2021-03-16,29.9871
2021-04-16,30.3104
2021-05-16,30.3049
2021-06-16,24.91
2021-07-16,24.9553
2021-08-16,24.9592
2021-09-16,22.1809
2021-10-16,22.2067
2021-11-16,22.2072
2021-12-16,20.2832
2022-01-16,20.3715
2022-02-16,20.3651
2022-03-16,20.1334
2022-04-16,20.2183
2022-05-16,20.2174
2022-06-16,18.994
2022-07-16,19.0082
2022-08-16,18.9701
2022-09-16,16.5219
2022-10-16,16.5387
