date,ev_ebitda
2004-01-20,13.2325
2004-02-20,13.0534
2004-03-20,12.032
2004-04-20,12.3937
2004-05-20,12.3333
2004-06-20,12.734
2004-07-20,13.0168
2004-08-20,12.9789
2004-09-20,12.9798
2004-10-20,13.3517
2004-11-20,13.3427
2004-12-20,12.71
2005-01-20,12.8525
2005-02-20,12.8556
2005-03-20,12.507
2005-04-20,11.9529
2005-05-20,11.954
2005-06-20,12.063
2005-07-20,12.1052
2005-08-20,12.118
2005-09-20,12.0502
2005-10-20,11.7471
2005-11-20,11.7502
2005-12-20,11.4536
2006-01-20,11.4846
2006-02-20,11.4186
2006-03-20,10.6708
2006-04-20,10.7967
2006-05-20,10.7862
2006-06-20,11.2707
2006-07-20,11.2757
2006-08-20,11.2804
2006-09-20,10.7615
2006-10-20,10.76
2006-11-20,10.7536
2006-12-20,10.5748
2007-01-20,10.5745
2007-02-20,10.5874
2007-03-20,10.3691
2007-04-20,10.5138
2007-05-20,10.5099
2007-06-20,10.9332
2007-07-20,10.9309
2007-08-20,10.9639
2007-09-20,11.3475
2007-10-20,11.3478
2007-11-20,11.3439
2007-12-20,11.5258
2008-01-20,11.5233
2008-02-20,11.5175
2008-03-20,11.118
2008-04-20,11.1238
2008-05-20,11.1219
2008-06-20,10.6775
2008-07-20,10.6728
2008-08-20,10.7476
2008-09-20,10.6427
2008-10-20,10.642
2008-11-20,10.7241
2008-12-20,9.1232
2009-01-20,9.1007
2009-02-20,9.1705
2009-03-20,8.0221
2009-04-20,8.0852
2009-05-20,8.1772
2009-06-20,7.8236
2009-07-20,7.8244
2009-08-20,7.8402
2009-09-20,9.0031
2009-10-20,8.9926
2009-11-20,8.9983
2009-12-20,10.4753
2010-01-20,10.4928
2010-02-20,10.4992
2010-03-20,10.2672
2010-04-20,10.2715
2010-05-20,10.2467
2010-06-20,10.1056
2010-07-20,10.1036
2010-08-20,10.0866
2010-09-20,8.5721
2010-10-20,8.5719
2010-11-20,8.5552
2010-12-20,9.0575
2011-01-20,9.0579
2011-02-20,9.0397
2011-03-20,9.2212
2011-04-20,9.2163
2011-05-20,9.1985
2011-06-20,9.2615
2011-07-20,9.2621
2011-08-20,9.2603
2011-09-20,8.8467
2011-10-20,8.8483
2011-11-20,8.8461
2011-12-20,7.611
2012-01-20,7.6138
2012-02-20,7.6107
2012-03-20,8.2316
2012-04-20,8.2422
2012-05-20,8.2398
2012-06-20,8.8292
2012-07-20,8.8314
2012-08-20,8.8229
2012-09-20,8.7214
2012-10-20,8.7215
2012-11-20,8.7187
2012-12-20,9.1977
2013-01-20,9.1999
2013-02-20,9.174
2013-03-20,9.1706
2013-04-20,9.0053
2013-05-20,9.0054
2013-06-20,9.611
2013-07-20,9.6125
2013-08-20,9.609
2013-09-20,9.6602
2013-10-20,9.662
2013-11-20,9.6599
2013-12-20,9.6972
2014-01-20,9.7033
2014-02-20,9.7089
2014-03-20,10.2295
2014-04-20,10.0117
2014-05-20,10.0113
2014-06-20,10.0115
2014-07-20,10.0139
2014-08-20,10.0096
2014-09-20,10.2911
2014-10-20,10.2634
2014-11-20,10.2625
2014-12-20,10.1387
2015-01-20,10.1375
2015-02-20,10.1373
2015-03-20,10.7739
2015-04-20,10.8156
2015-05-20,10.8118
2015-06-20,11.1584
2015-07-20,11.1701
2015-08-20,11.1679
2015-09-20,11.4299
2015-10-20,11.4433
2015-11-20,11.4451
