date,gross_margin
2004-01-20,34.18
2004-02-20,34.0821
2004-03-20,34.2122
2004-04-20,35.7597
2004-05-20,36.189
2004-06-20,34.5733
2004-07-20,34.7729
2004-08-20,35.0882
2004-09-20,34.247
2004-10-20,34.8057
2004-11-20,34.8615
2004-12-20,34.396
2005-01-20,34.9531
2005-02-20,34.6256
2005-03-20,34.9471
2005-04-20,33.6431
2005-05-20,33.8348
2005-06-20,33.2962
2005-07-20,33.8335
2005-08-20,33.917
2005-09-20,33.6497
2005-10-20,33.94
2005-11-20,33.8187
2005-12-20,32.9596
2006-01-20,33.0232
2006-02-20,32.994
2006-03-20,32.655
2006-04-20,32.8946
2006-05-20,33.0102
2006-06-20,32.6634
2006-07-20,32.9788
2006-08-20,32.9881
2006-09-20,32.8988
2006-10-20,33.0739
2006-11-20,33.0727
2006-12-20,32.721
2007-01-20,32.9373
2007-02-20,33.043
2007-03-20,33.0846
2007-04-20,33.4529
2007-05-20,33.4132
2007-06-20,32.4116
2007-07-20,32.57
2007-08-20,32.6746
2007-09-20,32.6466
2007-10-20,32.8796
2007-11-20,32.8243
2007-12-20,31.6374
2008-01-20,31.848
2008-02-20,31.9591
2008-03-20,31.2046
2008-04-20,31.48
2008-05-20,31.4817
2008-06-20,31.0475
2008-07-20,31.2164
2008-08-20,31.2222
2008-09-20,29.8741
2008-10-20,30.1407
2008-11-20,30.144
2008-12-20,31.4626
2009-01-20,31.7269
2009-02-20,31.7651
2009-03-20,30.5046
2009-04-20,30.8881
2009-05-20,30.9031
2009-06-20,29.9978
2009-07-20,30.1465
2009-08-20,30.1162
2009-09-20,31.6403
2009-10-20,31.9251
2009-11-20,31.8799
2009-12-20,32.7763
2010-01-20,33.1171
2010-02-20,33.0306
2010-03-20,32.701
2010-04-20,32.85
2010-05-20,32.8834
2010-06-20,33.4897
2010-07-20,33.4859
2010-08-20,33.5048
2010-09-20,33.7633
2010-10-20,33.762
2010-11-20,33.7656
2010-12-20,33.5632
2011-01-20,33.5686
2011-02-20,33.5741
2011-03-20,33.8968
2011-04-20,33.9509
2011-05-20,33.9678
2011-06-20,33.7869
2011-07-20,33.7847
2011-08-20,33.7695
2011-09-20,33.4031
2011-10-20,33.3957
2011-11-20,33.4174
2011-12-20,32.6018
2012-01-20,32.5994
2012-02-20,32.5896
2012-03-20,33.2664
2012-04-20,33.2679
2012-05-20,33.2844
2012-06-20,33.1297
2012-07-20,33.1011
2012-08-20,33.101
2012-09-20,33.19
2012-10-20,33.1868
2012-11-20,33.212
