date,oper_margin
2004-01-20,11.6776
2004-02-20,11.6302
2004-03-20,11.8689
2004-04-20,12.0417
2004-05-20,12.104
2004-06-20,12.636
2004-07-20,12.3605
2004-08-20,12.4149
2004-09-20,12.6875
2004-10-20,12.6255
2004-11-20,12.6299
2004-12-20,12.7654
2005-01-20,12.5429
2005-02-20,12.5496
2005-03-20,13.0889
2005-04-20,12.8142
2005-05-20,12.719
2005-06-20,12.9051
2005-07-20,12.8613
2005-08-20,12.8818
2005-09-20,13.1154
2005-10-20,12.9203
2005-11-20,12.8664
2005-12-20,13.0492
2006-01-20,12.9292
2006-02-20,12.6723
2006-03-20,12.9983
2006-04-20,13.3178
2006-05-20,13.3061
2006-06-20,12.9983
2006-07-20,12.9976
2006-08-20,12.9925
2006-09-20,13.141
2006-10-20,13.1398
2006-11-20,13.1392
2006-12-20,13.4782
2007-01-20,13.4743
2007-02-20,13.4715
2007-03-20,13.7814
2007-04-20,13.5685
2007-05-20,13.5626
2007-06-20,13.6398
2007-07-20,13.6028
2007-08-20,13.6276
2007-09-20,13.6741
2007-10-20,13.6729
2007-11-20,13.647
2007-12-20,13.2128
2008-01-20,13.2123
2008-02-20,13.1744
2008-03-20,11.5977
2008-04-20,11.5941
2008-05-20,11.5923
2008-06-20,10.8465
2008-07-20,10.8459
2008-08-20,10.8036
2008-09-20,9.909
2008-10-20,9.9096
2008-11-20,9.8653
2008-12-20,10.1795
2009-01-20,10.1558
2009-02-20,10.1167
2009-03-20,9.446
2009-04-20,9.1385
2009-05-20,9.0267
2009-06-20,8.7725
2009-07-20,8.7657
2009-08-20,8.7568
2009-09-20,8.6457
2009-10-20,8.6595
2009-11-20,8.6481
2009-12-20,8.6879
2010-01-20,8.6611
2010-02-20,8.6146
2010-03-20,10.0384
2010-04-20,9.9949
2010-05-20,9.9835
2010-06-20,11.3563
2010-07-20,11.356
2010-08-20,11.3488
2010-09-20,11.9569
2010-10-20,11.9578
2010-11-20,11.9499
2010-12-20,12.4521
2011-01-20,12.4517
2011-02-20,12.4456
2011-03-20,12.8907
2011-04-20,12.8852
2011-05-20,12.8729
2011-06-20,13.0742
2011-07-20,13.0732
2011-08-20,13.0636
2011-09-20,13.0965
2011-10-20,13.0934
2011-11-20,13.0914
2011-12-20,13.2717
2012-01-20,13.2677
2012-02-20,13.261
2012-03-20,13.0793
2012-04-20,13.0638
2012-05-20,13.063
2012-06-20,12.9354
2012-07-20,12.933
2012-08-20,12.9258
2012-09-20,12.9119
2012-10-20,12.9123
2012-11-20,12.913
2012-12-20,12.7874
2013-01-20,12.7873
2013-02-20,12.5488
2013-03-20,12.4309
2013-04-20,12.4304
2013-05-20,12.4281
2013-06-20,12.4472
2013-07-20,12.445
2013-08-20,12.4496
2013-09-20,12.4941
2013-10-20,12.4918
2013-11-20,12.4927
2013-12-20,12.5675
2014-01-20,12.6015
2014-02-20,12.6035
2014-03-20,13.4624
2014-04-20,13.5472
2014-05-20,13.5449
2014-06-20,13.6078
2014-07-20,13.6056
2014-08-20,13.5996
2014-09-20,13.6852
2014-10-20,13.6636
2014-11-20,13.6624
2014-12-20,13.8186
2015-01-20,13.8093
2015-02-20,13.8092
2015-03-20,13.2739
2015-04-20,13.2464
2015-05-20,13.2448
2015-06-20,12.9417
2015-07-20,12.9174
2015-08-20,12.9183
2015-09-20,12.5357
2015-10-20,12.5196
2015-11-20,12.5177
2015-12-20,12.2212
2016-01-20,12.1875
2016-02-20,12.2572
2016-03-20,12.0481
2016-04-20,11.9979
2016-05-20,11.9984
2016-06-20,11.8434
2016-07-20,11.8232
2016-08-20,11.8401
2016-09-20,11.9136
2016-10-20,11.883
2016-11-20,11.8834
2016-12-20,12.2712
2017-01-20,12.2132
2017-02-20,12.223
2017-03-20,12.6771
2017-04-20,12.6469
2017-05-20,12.643
2017-06-20,13.0023
2017-07-20,12.9808
2017-08-20,12.9778
2017-09-20,13.2812
2017-10-20,13.2642
2017-11-20,13.2592
2017-12-20,13.3423
2018-01-20,13.2898
2018-02-20,13.2894
2018-03-20,13.3105
2018-04-20,13.2282
2018-05-20,13.226
2018-06-20,13.3244
2018-07-20,13.277
2018-08-20,13.2768
2018-09-20,13.3812
2018-10-20,13.3396
2018-11-20,13.3394
2018-12-20,13.4919
2019-01-20,13.4319
2019-02-20,13.4424
2019-03-20,13.2518
2019-04-20,13.19
2019-05-20,13.19
2019-06-20,13.3596
2019-07-20,13.3337
2019-08-20,13.3219
2019-09-20,13.2253
2019-10-20,13.2082
2019-11-20,13.2059
2019-12-20,13.0896
2020-01-20,13.0016
2020-02-20,12.9732
2020-03-20,13.3958
2020-04-20,13.3538
2020-05-20,13.3489
2020-06-20,11.9379
2020-07-20,11.8579
2020-08-20,11.8771
2020-09-20,10.8419
2020-10-20,10.8301
2020-11-20,10.8291
2020-12-20,10.8248
2021-01-20,10.7188
2021-02-20,10.719
2021-03-20,10.1613
2021-04-20,10.0674
2021-05-20,10.0663
2021-06-20,12.5541
2021-07-20,12.5323
2021-08-20,12.5267
2021-09-20,14.3809
2021-10-20,14.3628
2021-11-20,14.3611
2021-12-20,15.1369
2022-01-20,15.0761
2022-02-20,15.0673
2022-03-20,16.1096
2022-04-20,16.0604
2022-05-20,16.0604
2022-06-20,15.7648
2022-07-20,15.7554
2022-08-20,15.7597
2022-09-20,15.1675
2022-10-20,15.155
2022-11-20,15.1623
2022-12-20,14.5936
2023-01-20,14.549
2023-02-20,14.5435
2023-03-20,13.6085
2023-04-20,13.5411
2023-05-20,13.5387
2023-06-20,13.4435
2023-07-20,13.424
2023-08-20,13.4288
2023-09-20,13.419
2023-10-20,13.4083
2023-11-20,13.4078
2023-12-20,13.5411
