date,pb
2004-01-16,3.2132
2004-02-16,3.2718
2004-03-16,3.387
2004-04-16,3.1271
2004-05-16,3.0684
2004-06-16,2.9957
2004-07-16,3.0589
2004-08-16,2.9555
2004-09-16,2.8832
2004-10-16,2.9086
2004-11-16,2.9529
2004-12-16,2.9685
2005-01-16,3.0619
2005-02-16,2.985
2005-03-16,3.1234
2005-04-16,2.8937
2005-05-16,2.8299
2005-06-16,2.8686
2005-07-16,2.8665
2005-08-16,2.9711
2005-09-16,2.8772
2005-10-16,2.8931
2005-11-16,2.8433
2005-12-16,2.8621
2006-01-16,2.8538
2006-02-16,2.9294
2006-03-16,2.8811
2006-04-16,2.863
2006-05-16,2.9018
2006-06-16,2.7462
2006-07-16,2.7452
2006-08-16,2.7607
2006-09-16,2.7727
2006-10-16,2.8405
2006-11-16,2.9297
2006-12-16,2.8865
2007-01-16,2.9224
2007-02-16,2.9637
2007-03-16,2.8065
2007-04-16,2.8523
2007-05-16,2.9761
2007-06-16,3.0209
2007-07-16,2.9686
2007-08-16,2.8899
2007-09-16,2.8675
2007-10-16,2.9685
2007-11-16,3.0111
2007-12-16,2.8427
2008-01-16,2.8197
2008-02-16,2.6469
2008-03-16,2.5285
2008-04-16,2.517
2008-05-16,2.6364
2008-06-16,2.6577
2008-07-16,2.429
2008-08-16,2.4251
2008-09-16,2.4256
2008-10-16,2.2055
2008-11-16,1.8467
2008-12-16,1.7798
2009-01-16,1.7932
2009-02-16,1.6587
2009-03-16,1.6647
2009-04-16,1.8313
2009-05-16,2.0185
2009-06-16,2.0939
2009-07-16,2.0957
2009-08-16,2.2506
2009-09-16,2.1365
2009-10-16,2.2134
2009-11-16,2.1685
2009-12-16,2.2255
2010-01-16,2.2647
2010-02-16,2.1791
2010-03-16,2.1626
2010-04-16,2.3
2010-05-16,2.3312
2010-06-16,2.0694
2010-07-16,1.958
2010-08-16,2.0901
2010-09-16,1.9637
2010-10-16,2.1361
2010-11-16,2.2117
2010-12-16,2.1094
2011-01-16,2.247
2011-02-16,2.2944
2011-03-16,2.3232
2011-04-16,2.3219
2011-05-16,2.3855
2011-06-16,2.2807
2011-07-16,2.239
2011-08-16,2.1887
2011-09-16,2.0032
2011-10-16,1.8598
2011-11-16,2.0602
2011-12-16,2.0519
2012-01-16,2.0702
2012-02-16,2.1592
2012-03-16,2.2411
2012-04-16,2.3121
2012-05-16,2.2946
2012-06-16,2.0879
2012-07-16,2.1706
2012-08-16,2.1975
2012-09-16,2.2015
2012-10-16,2.2554
2012-11-16,2.2107
2012-12-16,2.1516
2013-01-16,2.1673
2013-02-16,2.2765
2013-03-16,2.3053
2013-04-16,2.3658
2013-05-16,2.4083
2013-06-16,2.4139
2013-07-16,2.3772
2013-08-16,2.4961
2013-09-16,2.4181
2013-10-16,2.4896
2013-11-16,2.6005
2013-12-16,2.6199
2014-01-16,2.6763
2014-02-16,2.581
2014-03-16,2.6121
2014-04-16,2.6281
2014-05-16,2.6443
2014-06-16,2.6902
2014-07-16,2.7422
2014-08-16,2.6995
2014-09-16,2.7419
2014-10-16,2.6996
2014-11-16,2.762
2014-12-16,2.8166
2015-01-16,2.8054
2015-02-16,2.7184
2015-03-16,2.9016
2015-04-16,2.8543
2015-05-16,2.8783
2015-06-16,2.9022
2015-07-16,2.835
2015-08-16,2.8902
2015-09-16,2.6914
2015-10-16,2.6199
2015-11-16,2.8396
2015-12-16,2.8302
2016-01-16,2.7821
2016-02-16,2.641
2016-03-16,2.6436
2016-04-16,2.8211
2016-05-16,2.8284
