date,pe
2004-01-20,23.7304
2004-02-20,22.728
2004-03-20,20.8734
2004-04-20,20.6392
2004-05-20,20.3128
2004-06-20,19.2633
2004-07-20,19.6749
2004-08-20,19.0116
2004-09-20,18.2034
2004-10-20,18.2692
2004-11-20,18.546
2004-12-20,18.7058
2005-01-20,19.2949
2005-02-20,18.8029
2005-03-20,18.1381
2005-04-20,18.2378
2005-05-20,17.88
2005-06-20,17.8012
2005-07-20,17.917
2005-08-20,18.5944
2005-09-20,17.6381
2005-10-20,17.7777
2005-11-20,17.457
2005-12-20,17.2388
2006-01-20,17.2811
2006-02-20,17.9605
2006-03-20,16.2154
2006-04-20,16.7206
2006-05-20,16.9242
2006-06-20,15.3188
2006-07-20,15.86
2006-08-20,15.9512
2006-09-20,15.6453
2006-10-20,16.0273
2006-11-20,16.5295
2006-12-20,15.787
2007-01-20,16.0313
2007-02-20,16.2584
2007-03-20,15.8489
2007-04-20,16.0331
2007-05-20,16.714
2007-06-20,16.9217
2007-07-20,16.6168
2007-08-20,16.1071
2007-09-20,15.9393
2007-10-20,16.5129
2007-11-20,16.7628
2007-12-20,16.1395
2008-01-20,15.9803
2008-02-20,15.0141
2008-03-20,15.3319
2008-04-20,15.2352
2008-05-20,15.9546
2008-06-20,16.882
2008-07-20,15.4275
2008-08-20,15.2909
2008-09-20,16.6899
2008-10-20,15.1594
2008-11-20,12.6044
2008-12-20,11.5969
2009-01-20,11.6826
2009-02-20,10.7039
2009-03-20,10.6867
2009-04-20,11.7461
2009-05-20,12.8606
2009-06-20,14.4242
2009-07-20,14.4291
2009-08-20,15.5648
2009-09-20,17.693
2009-10-20,18.3164
2009-11-20,17.927
2009-12-20,20.0975
2010-01-20,20.4783
2010-02-20,19.7385
2010-03-20,17.0054
2010-04-20,18.0064
2010-05-20,18.2359
2010-06-20,16.3148
2010-07-20,15.4338
2010-08-20,16.4577
2010-09-20,14.3712
2010-10-20,15.63
2010-11-20,16.1677
2010-12-20,14.8254
2011-01-20,15.7931
2011-02-20,16.1079
2011-03-20,15.6724
2011-04-20,15.839
2011-05-20,16.2575
2011-06-20,15.2347
2011-07-20,14.9549
2011-08-20,14.6196
2011-09-20,13.6421
2011-10-20,12.6637
2011-11-20,14.0263
2011-12-20,13.6986
2012-01-20,13.8174
2012-02-20,14.412
2012-03-20,14.3257
2012-04-20,14.7732
2012-05-20,14.6541
2012-06-20,13.4368
2012-07-20,13.968
2012-08-20,14.1396
2012-09-20,14.238
2012-10-20,14.5836
2012-11-20,14.2892
2012-12-20,14.2431
2013-01-20,14.3447
2013-02-20,14.9828
2013-03-20,14.8997
2013-04-20,15.4345
2013-05-20,15.7125
2013-06-20,15.8384
2013-07-20,15.6025
2013-08-20,16.3624
2013-09-20,14.9196
2013-10-20,15.3612
2013-11-20,16.0426
2013-12-20,16.1098
2014-01-20,16.48
2014-02-20,15.8914
2014-03-20,17.4174
2014-04-20,17.285
2014-05-20,17.3858
2014-06-20,17.5865
2014-07-20,17.9193
2014-08-20,17.6391
2014-09-20,17.8414
2014-10-20,17.5653
2014-11-20,17.9714
2014-12-20,17.9276
2015-01-20,17.8643
2015-02-20,17.3094
2015-03-20,18.2716
2015-04-20,17.9534
2015-05-20,18.1028
2015-06-20,18.1944
2015-07-20,17.8336
2015-08-20,18.1805
2015-09-20,17.1286
2015-10-20,16.6758
2015-11-20,18.0689
2015-12-20,18.3458
2016-01-20,18.0479
2016-02-20,17.0939
2016-03-20,17.0366
2016-04-20,18.1701
2016-05-20,18.215
2016-06-20,19.1126
2016-07-20,19.1398
2016-08-20,19.8049
2016-09-20,19.991
2016-10-20,19.9767
2016-11-20,19.5848
2016-12-20,20.0809
2017-01-20,20.57
2017-02-20,20.9436
2017-03-20,21.4323
2017-04-20,21.4496
2017-05-20,21.6474
2017-06-20,21.0245
2017-07-20,21.1529
2017-08-20,21.5584
2017-09-20,20.6701
2017-10-20,21.0922
2017-11-20,21.5587
2017-12-20,21.6658
2018-01-20,21.9924
2018-02-20,23.2249
2018-03-20,21.8291
2018-04-20,21.2788
2018-05-20,21.3248
2018-06-20,20.2769
2018-07-20,20.3393
2018-08-20,21.0599
2018-09-20,20.6813
2018-10-20,20.7621
2018-11-20,19.3187
2018-12-20,18.4528
2019-01-20,16.7177
2019-02-20,18.025
2019-03-20,18.0266
2019-04-20,18.4253
2019-05-20,19.1454
2019-06-20,17.7669
2019-07-20,19.0215
2019-08-20,19.2901
2019-09-20,18.794
2019-10-20,19.1395
2019-11-20,19.5289
2019-12-20,20.4333
2020-01-20,21.1349
2020-02-20,21.1175
2020-03-20,19.0103
2020-04-20,16.6627
2020-05-20,18.7753
2020-06-20,20.8744
2020-07-20,21.3214
2020-08-20,22.3586
2020-09-20,26.371
2020-10-20,25.3584
2020-11-20,24.6564
2020-12-20,27.5658
2021-01-20,28.804
2021-02-20,28.4823
2021-03-20,30.0471
2021-04-20,31.2698
2021-05-20,32.9021
2021-06-20,29.0502
2021-07-20,29.7346
2021-08-20,30.4206
2021-09-20,26.7682
2021-10-20,25.5025
2021-11-20,27.2641
2021-12-20,24.7911
2022-01-20,25.9775
2022-02-20,24.6089
2022-03-20,22.072
2022-04-20,22.9178
2022-05-20,20.9003
2022-06-20,20.2658
2022-07-20,18.5699
2022-08-20,20.2299
2022-09-20,18.8655
2022-10-20,17.1111
2022-11-20,18.474
2022-12-20,19.3234
2023-01-20,18.2362
2023-02-20,19.3589
2023-03-20,18.912
2023-04-20,19.6237
2023-05-20,19.9064
2023-06-20,20.0158
2023-07-20,21.3229
2023-08-20,21.951
2023-09-20,21.8906
2023-10-20,20.8204
2023-11-20,20.3411
2023-12-20,21.7217
2024-01-20,22.7357
2024-02-20,23.0946
2024-03-20,24.1472
2024-04-20,24.9169
2024-05-20,23.879
2024-06-20,24.4274
2024-07-20,25.3226
2024-08-20,25.5783
2024-09-20,25.6708
2024-10-20,26.2249
2024-11-20,25.9658
2024-12-20,26.9599
2025-01-20,26.4603
2025-02-20,27.1722
2025-03-20,25.4256
2025-04-20,23.9713
2025-05-20,23.7878
2025-06-20,25.0385
2025-07-20,26.2946
