date,profit_margin
2004-01-16,6.2773
2004-02-16,6.24
2004-03-16,7.1278
2004-04-16,7.0
2004-05-16,6.9474
2004-06-16,7.4941
2004-07-16,7.2955
2004-08-16,7.3094
2004-09-16,7.7543
2004-10-16,7.6665
2004-11-16,7.6703
2004-12-16,7.697
2005-01-16,7.5211
2005-02-16,7.5196
2005-03-16,8.0871
2005-04-16,7.405
2005-05-16,7.342
2005-06-16,7.6174
2005-07-16,7.4997
2005-08-16,7.5169
2005-09-16,7.899
2005-10-16,7.7295
2005-11-16,7.699
2005-12-16,8.081
2006-01-16,8.0064
2006-02-16,7.7841
2006-03-16,8.4227
2006-04-16,8.3306
2006-05-16,8.3082
2006-06-16,8.3663
2006-07-16,8.3697
2006-08-16,8.3665
2006-09-16,8.4101
2006-10-16,8.4088
2006-11-16,8.4091
2006-12-16,8.6458
2007-01-16,8.6434
2007-02-16,8.6445
2007-03-16,9.2343
2007-04-16,9.0574
2007-05-16,9.053
2007-06-16,9.0569
2007-07-16,9.0394
2007-08-16,9.0603
2007-09-16,9.041
2007-10-16,9.0377
2007-11-16,9.0397
2007-12-16,8.3977
2008-01-16,8.3806
2008-02-16,8.3414
2008-03-16,6.9293
2008-04-16,6.911
2008-05-16,6.9105
2008-06-16,6.348
2008-07-16,6.3397
2008-08-16,6.3275
2008-09-16,5.4048
2008-10-16,5.4062
2008-11-16,5.3939
2008-12-16,5.6513
2009-01-16,5.6568
2009-02-16,5.6389
2009-03-16,3.7508
2009-04-16,3.4849
2009-05-16,3.5974
2009-06-16,3.247
2009-07-16,3.2408
2009-08-16,3.3222
2009-09-16,3.3352
2009-10-16,3.3348
2009-11-16,3.4022
2009-12-16,3.5414
2010-01-16,3.5245
2010-02-16,3.5811
2010-03-16,6.586
2010-04-16,6.5697
2010-05-16,6.5773
2010-06-16,7.5154
2010-07-16,7.516
2010-08-16,7.5148
2010-09-16,7.93
2010-10-16,7.931
2010-11-16,7.9295
2010-12-16,8.3508
2011-01-16,8.3558
2011-02-16,8.3566
2011-03-16,8.488
2011-04-16,8.4872
2011-05-16,8.4839
2011-06-16,8.6771
2011-07-16,8.6765
2011-08-16,8.6696
2011-09-16,8.7717
2011-10-16,8.7699
2011-11-16,8.769
2011-12-16,8.8403
2012-01-16,8.838
2012-02-16,8.8338
2012-03-16,8.7879
2012-04-16,8.7788
2012-05-16,8.7773
2012-06-16,8.6945
2012-07-16,8.6948
2012-08-16,8.6903
2012-09-16,8.6505
2012-10-16,8.6512
2012-11-16,8.6515
2012-12-16,8.6085
2013-01-16,8.6086
2013-02-16,8.4654
2013-03-16,8.2553
2013-04-16,8.2526
2013-05-16,8.25
2013-06-16,8.3493
2013-07-16,8.347
