date,roa
2004-01-20,1.9895
2004-02-20,1.9832
2004-03-20,2.4578
2004-04-20,2.2729
2004-05-20,2.2523
2004-06-20,2.3914
2004-07-20,2.3646
2004-08-20,2.3667
2004-09-20,2.4985
2004-10-20,2.4149
2004-11-20,2.4223
2004-12-20,2.4052
2005-01-20,2.3974
2005-02-20,2.3986
2005-03-20,2.7882
2005-04-20,2.5402
2005-05-20,2.5426
2005-06-20,2.504
2005-07-20,2.4905
2005-08-20,2.4912
2005-09-20,2.5762
2005-10-20,2.5763
2005-11-20,2.5784
2005-12-20,2.6987
2006-01-20,2.703
2006-02-20,2.6437
2006-03-20,2.9167
2006-04-20,2.7833
2006-05-20,2.7831
2006-06-20,2.8041
2006-07-20,2.8134
2006-08-20,2.8116
2006-09-20,2.7669
2006-10-20,2.7732
2006-11-20,2.7747
2006-12-20,2.8617
2007-01-20,2.8723
2007-02-20,2.8728
2007-03-20,3.0011
2007-04-20,2.948
2007-05-20,2.95
2007-06-20,2.9195
2007-07-20,2.9237
2007-08-20,2.9216
2007-09-20,2.7992
2007-10-20,2.7995
2007-11-20,2.8125
2007-12-20,2.5888
2008-01-20,2.5866
2008-02-20,2.5786
2008-03-20,2.1433
2008-04-20,2.1436
2008-05-20,2.1437
2008-06-20,1.9691
2008-07-20,1.9701
2008-08-20,1.966
2008-09-20,1.7285
2008-10-20,1.7303
2008-11-20,1.7267
2008-12-20,2.0491
2009-01-20,2.0546
2009-02-20,2.044
2009-03-20,1.4393
2009-04-20,1.2884
2009-05-20,1.3298
2009-06-20,1.1857
2009-07-20,1.1871
2009-08-20,1.2181
2009-09-20,1.1484
2009-10-20,1.1492
2009-11-20,1.1747
2009-12-20,1.1915
2010-01-20,1.1861
2010-02-20,1.2078
2010-03-20,2.2304
2010-04-20,2.2169
2010-05-20,2.2251
2010-06-20,2.4913
2010-07-20,2.4971
2010-08-20,2.5034
2010-09-20,2.7033
2010-10-20,2.7062
2010-11-20,2.714
2010-12-20,2.8066
2011-01-20,2.8091
2011-02-20,2.8166
2011-03-20,2.857
2011-04-20,2.8751
2011-05-20,2.8812
2011-06-20,2.9533
2011-07-20,2.963
2011-08-20,2.9662
2011-09-20,3.0104
2011-10-20,3.0125
2011-11-20,3.0203
2011-12-20,3.142
2012-01-20,3.1432
2012-02-20,3.1444
2012-03-20,3.1145
2012-04-20,3.1207
2012-05-20,3.1214
2012-06-20,3.1007
2012-07-20,3.1068
2012-08-20,3.1084
2012-09-20,3.0421
2012-10-20,3.0446
2012-11-20,3.055
2012-12-20,2.9601
2013-01-20,2.9612
2013-02-20,2.978
2013-03-20,2.9233
2013-04-20,2.8619
2013-05-20,2.8618
2013-06-20,2.8921
2013-07-20,2.8954
2013-08-20,2.9015
2013-09-20,3.0228
2013-10-20,3.0219
2013-11-20,3.0253
2013-12-20,3.0807
2014-01-20,3.0789
2014-02-20,3.0792
2014-03-20,3.2148
2014-04-20,3.2455
2014-05-20,3.2488
2014-06-20,3.214
2014-07-20,3.2182
2014-08-20,3.2203
2014-09-20,3.2045
2014-10-20,3.2082
2014-11-20,3.2084
2014-12-20,3.2745
2015-01-20,3.2776
2015-02-20,3.2777
2015-03-20,3.1077
2015-04-20,3.1077
2015-05-20,3.1084
2015-06-20,2.968
2015-07-20,2.9745
2015-08-20,2.9756
2015-09-20,2.8177
2015-10-20,2.8166
2015-11-20,2.8185
2015-12-20,2.6957
2016-01-20,2.694
2016-02-20,2.7066
2016-03-20,2.6127
2016-04-20,2.6261
2016-05-20,2.6268
2016-06-20,2.5555
2016-07-20,2.5562
2016-08-20,2.5603
2016-09-20,2.5289
2016-10-20,2.541
2016-11-20,2.5441
2016-12-20,2.5851
2017-01-20,2.5872
2017-02-20,2.5882
2017-03-20,2.7079
2017-04-20,2.7308
2017-05-20,2.7343
2017-06-20,2.8213
2017-07-20,2.8233
2017-08-20,2.824
2017-09-20,2.8856
2017-10-20,2.8806
2017-11-20,2.8887
2017-12-20,2.8694
2018-01-20,2.878
2018-02-20,2.8781
2018-03-20,2.8509
2018-04-20,2.8818
2018-05-20,2.8839
2018-06-20,2.9381
2018-07-20,2.9578
2018-08-20,2.9604
2018-09-20,3.1382
2018-10-20,3.1463
2018-11-20,3.1479
2018-12-20,3.334
2019-01-20,3.3389
2019-02-20,3.3427
2019-03-20,3.3752
2019-04-20,3.4109
2019-05-20,3.4111
2019-06-20,3.3568
2019-07-20,3.3569
2019-08-20,3.3509
2019-09-20,3.3561
2019-10-20,3.3559
2019-11-20,3.359
2019-12-20,3.2371
2020-01-20,3.2459
2020-02-20,3.2364
2020-03-20,3.3502
2020-04-20,3.3626
2020-05-20,3.3621
2020-06-20,2.6575
2020-07-20,2.6429
2020-08-20,2.663
2020-09-20,2.2374
2020-10-20,2.2529
2020-11-20,2.253
2020-12-20,2.2241
2021-01-20,2.2361
2021-02-20,2.2361
2021-03-20,2.1186
2021-04-20,2.1206
2021-05-20,2.1212
2021-06-20,2.7311
2021-07-20,2.732
2021-08-20,2.7327
2021-09-20,3.3459
2021-10-20,3.3642
2021-11-20,3.3643
2021-12-20,3.668
2022-01-20,3.6871
2022-02-20,3.6865
2022-03-20,4.0896
2022-04-20,4.1243
2022-05-20,4.1246
2022-06-20,4.0625
2022-07-20,4.0637
2022-08-20,4.0728
2022-09-20,3.9364
2022-10-20,3.9652
2022-11-20,3.9661
2022-12-20,3.8467
2023-01-20,3.8643
2023-02-20,3.865
2023-03-20,3.5185
2023-04-20,3.5363
2023-05-20,3.5373
2023-06-20,3.5459
2023-07-20,3.5447
2023-08-20,3.5517
2023-09-20,3.6379
2023-10-20,3.6604
2023-11-20,3.6604
2023-12-20,3.7597
2024-01-20,3.7887
2024-02-20,3.789
2024-03-20,3.8725
2024-04-20,3.8641
2024-05-20,3.8643
2024-06-20,3.7926
2024-07-20,3.7825
2024-08-20,3.7867
2024-09-20,3.879
2024-10-20,3.866
2024-11-20,3.8664
2024-12-20,3.7965
2025-01-20,3.8507
2025-02-20,3.8505
2025-03-20,4.0628
2025-04-20,4.0538
2025-05-20,4.0539
2025-06-20,4.0634
2025-07-20,4.0626
2025-08-20,4.0626
2025-09-20,4.0402
2025-10-20,4.068
2025-11-20,4.0689
2025-12-20,4.1217
2026-01-20,4.2241
2026-02-20,4.2239
2026-03-20,4.2664
2026-04-20,4.2742
