date,roc
2004-01-16,3.6174
2004-02-16,3.6047
2004-03-16,4.7329
2004-04-16,4.349
2004-05-16,4.3031
2004-06-16,4.442
2004-07-16,4.3892
2004-08-16,4.393
2004-09-16,4.4486
2004-10-16,4.3327
2004-11-16,4.3457
2004-12-16,4.2803
2005-01-16,4.2659
2005-02-16,4.2676
2005-03-16,5.3118
2005-04-16,4.7237
2005-05-16,4.7211
2005-06-16,4.701
2005-07-16,4.6793
2005-08-16,4.6805
2005-09-16,4.7965
2005-10-16,4.8329
2005-11-16,4.8365
2005-12-16,4.8891
2006-01-16,4.9093
2006-02-16,4.8185
2006-03-16,5.4806
2006-04-16,5.2456
2006-05-16,5.2422
2006-06-16,5.2371
2006-07-16,5.2545
2006-08-16,5.2511
2006-09-16,5.1954
2006-10-16,5.2121
2006-11-16,5.2148
2006-12-16,5.3874
2007-01-16,5.4075
2007-02-16,5.4088
2007-03-16,5.6798
2007-04-16,5.5197
2007-05-16,5.5218
2007-06-16,5.3175
2007-07-16,5.3244
2007-08-16,5.3203
2007-09-16,4.9802
2007-10-16,4.9797
2007-11-16,5.0058
2007-12-16,4.6528
2008-01-16,4.6485
2008-02-16,4.6341
2008-03-16,3.9292
2008-04-16,3.9264
2008-05-16,3.9263
2008-06-16,3.5949
2008-07-16,3.5966
2008-08-16,3.589
2008-09-16,3.1649
2008-10-16,3.1679
2008-11-16,3.1614
2008-12-16,3.9762
2009-01-16,3.9864
2009-02-16,3.9659
2009-03-16,2.8443
2009-04-16,2.6148
2009-05-16,2.7069
2009-06-16,2.389
2009-07-16,2.3788
2009-08-16,2.441
2009-09-16,2.2767
2009-10-16,2.2784
2009-11-16,2.329
2009-12-16,2.3744
2010-01-16,2.3636
2010-02-16,2.4068
2010-03-16,4.6171
2010-04-16,4.4823
2010-05-16,4.4989
2010-06-16,4.8522
2010-07-16,4.8621
2010-08-16,4.8744
2010-09-16,5.2983
2010-10-16,5.3036
2010-11-16,5.3192
2010-12-16,5.5157
2011-01-16,5.5208
2011-02-16,5.5356
2011-03-16,5.8158
2011-04-16,5.8115
2011-05-16,5.8239
2011-06-16,5.8513
2011-07-16,5.8729
2011-08-16,5.8792
2011-09-16,6.0293
2011-10-16,6.0329
2011-11-16,6.0481
2011-12-16,6.3974
2012-01-16,6.4001
2012-02-16,6.4025
2012-03-16,6.5719
2012-04-16,6.5811
2012-05-16,6.5827
2012-06-16,6.4132
2012-07-16,6.4156
2012-08-16,6.4187
2012-09-16,6.3083
2012-10-16,6.3098
2012-11-16,6.3311
2012-12-16,6.1667
2013-01-16,6.1684
2013-02-16,6.2023
2013-03-16,6.3717
2013-04-16,6.1543
2013-05-16,6.1539
2013-06-16,6.194
2013-07-16,6.2005
2013-08-16,6.2121
2013-09-16,6.4708
2013-10-16,6.4702
2013-11-16,6.4778
2013-12-16,6.6273
2014-01-16,6.6194
2014-02-16,6.6201
2014-03-16,6.9037
2014-04-16,6.9426
2014-05-16,6.945
2014-06-16,6.8655
2014-07-16,6.8666
2014-08-16,6.8727
2014-09-16,6.7634
2014-10-16,6.8547
2014-11-16,6.8552
2014-12-16,6.9931
2015-01-16,6.9989
2015-02-16,6.9991
2015-03-16,6.9193
2015-04-16,6.746
2015-05-16,6.7486
2015-06-16,6.4387
2015-07-16,6.4326
2015-08-16,6.435
2015-09-16,6.024
2015-10-16,6.0257
2015-11-16,6.0301
2015-12-16,5.7577
2016-01-16,5.7533
2016-02-16,5.7803
2016-03-16,5.6197
2016-04-16,5.6344
2016-05-16,5.6359
2016-06-16,5.4716
2016-07-16,5.468
2016-08-16,5.4766
2016-09-16,5.4351
2016-10-16,5.4365
2016-11-16,5.4436
2016-12-16,5.5293
2017-01-16,5.527
2017-02-16,5.5292
2017-03-16,5.8563
2017-04-16,5.8828
2017-05-16,5.8904
2017-06-16,6.0451
2017-07-16,6.0479
2017-08-16,6.0494
2017-09-16,6.1326
2017-10-16,6.1212
2017-11-16,6.1384
2017-12-16,6.0682
2018-01-16,6.0805
2018-02-16,6.0808
2018-03-16,6.0627
2018-04-16,6.0985
2018-05-16,6.1027
2018-06-16,6.2065
2018-07-16,6.2446
2018-08-16,6.2502
2018-09-16,6.6345
2018-10-16,6.65
2018-11-16,6.654
2018-12-16,7.0787
2019-01-16,7.0534
2019-02-16,7.0615
2019-03-16,7.1984
2019-04-16,7.2406
2019-05-16,7.2395
2019-06-16,6.9673
2019-07-16,6.96
2019-08-16,6.9475
2019-09-16,6.9388
2019-10-16,6.9352
2019-11-16,6.9421
2019-12-16,6.692
2020-01-16,6.6904
2020-02-16,6.6709
2020-03-16,6.9826
2020-04-16,6.9745
2020-05-16,6.9716
2020-06-16,5.6911
2020-07-16,5.6524
2020-08-16,5.6669
2020-09-16,4.8073
2020-10-16,4.8336
2020-11-16,4.8367
2020-12-16,4.8221
2021-01-16,4.8342
2021-02-16,4.8344
2021-03-16,4.6715
2021-04-16,4.6593
2021-05-16,4.6602
2021-06-16,6.0162
2021-07-16,6.0151
2021-08-16,6.0169
2021-09-16,7.3958
2021-10-16,7.4286
2021-11-16,7.4328
2021-12-16,8.1798
2022-01-16,8.2032
2022-02-16,8.2018
2022-03-16,9.1854
2022-04-16,9.226
2022-05-16,9.2264
2022-06-16,9.1819
2022-07-16,9.1794
2022-08-16,9.2001
2022-09-16,8.7571
2022-10-16,8.81
2022-11-16,8.8208
2022-12-16,8.5491
2023-01-16,8.5711
2023-02-16,8.5726
2023-03-16,7.7201
2023-04-16,7.734
2023-05-16,7.7359
2023-06-16,7.4928
2023-07-16,7.4865
2023-08-16,7.5014
2023-09-16,7.6672
2023-10-16,7.7058
2023-11-16,7.7129
2023-12-16,7.8209
2024-01-16,7.8625
2024-02-16,7.8631
2024-03-16,8.0464
2024-04-16,7.9964
2024-05-16,7.997
2024-06-16,7.8301
2024-07-16,7.7979
2024-08-16,7.8066
2024-09-16,7.849
2024-10-16,7.8143
2024-11-16,7.8149
2024-12-16,7.7262
2025-01-16,7.7962
2025-02-16,7.7957
2025-03-16,8.2754
2025-04-16,8.2427
2025-05-16,8.2427
2025-06-16,8.187
2025-07-16,8.181
2025-08-16,8.181
2025-09-16,8.0934
2025-10-16,8.1394
2025-11-16,8.1409
2025-12-16,8.2993
2026-01-16,8.467
2026-02-16,8.4665
2026-03-16,8.5535
2026-04-16,8.5475
