date,roce
2004-01-16,12.475
2004-02-16,12.408
2004-03-16,14.396
2004-04-16,13.5356
2004-05-16,13.3768
2004-06-16,14.2281
2004-07-16,13.99
2004-08-16,13.995
2004-09-16,14.763
2004-10-16,14.6476
2004-11-16,14.6739
2004-12-16,14.5777
2005-01-16,14.4041
2005-02-16,14.4012
2005-03-16,15.9592
2005-04-16,14.3845
2005-05-16,14.3363
2005-06-16,14.5836
2005-07-16,14.4487
2005-08-16,14.4481
2005-09-16,15.1219
2005-10-16,14.9122
2005-11-16,14.9225
2005-12-16,15.6558
2006-01-16,15.5794
2006-02-16,15.3109
2006-03-16,16.3411
2006-04-16,15.9896
2006-05-16,16.0095
2006-06-16,16.2247
2006-07-16,16.224
2006-08-16,16.2224
2006-09-16,16.1837
2006-10-16,16.1803
2006-11-16,16.1831
2006-12-16,16.5891
2007-01-16,16.5793
2007-02-16,16.576
2007-03-16,17.0476
2007-04-16,17.0877
2007-05-16,17.0908
2007-06-16,17.0549
2007-07-16,17.0481
2007-08-16,17.1261
2007-09-16,17.2183
2007-10-16,17.2025
2007-11-16,17.2012
2007-12-16,16.1512
2008-01-16,16.1278
2008-02-16,16.0753
2008-03-16,13.4752
2008-04-16,13.4445
2008-05-16,13.4437
2008-06-16,12.588
2008-07-16,12.5708
2008-08-16,12.6483
2008-09-16,10.779
2008-10-16,10.7837
2008-11-16,10.8439
2008-12-16,11.5528
2009-01-16,11.5823
2009-02-16,11.6558
2009-03-16,8.4193
2009-04-16,7.8902
2009-05-16,8.2111
2009-06-16,6.8865
2009-07-16,6.8765
2009-08-16,7.0627
2009-09-16,5.8629
2009-10-16,5.8631
2009-11-16,5.9964
2009-12-16,5.7017
2010-01-16,5.6712
2010-02-16,5.7759
2010-03-16,10.594
2010-04-16,10.6067
2010-05-16,10.6344
2010-06-16,12.0394
2010-07-16,12.0413
2010-08-16,12.0566
2010-09-16,13.0026
2010-10-16,13.0069
2010-11-16,13.0198
2010-12-16,13.4375
2011-01-16,13.4451
2011-02-16,13.4609
2011-03-16,13.8007
2011-04-16,13.8054
2011-05-16,13.8197
2011-06-16,14.0603
2011-07-16,14.0606
2011-08-16,14.0599
2011-09-16,14.1463
2011-10-16,14.1475
2011-11-16,14.1499
2011-12-16,14.7221
2012-01-16,14.7244
2012-02-16,14.7217
2012-03-16,14.7465
2012-04-16,14.7353
2012-05-16,14.7373
2012-06-16,14.6352
2012-07-16,14.635
2012-08-16,14.6394
2012-09-16,14.296
2012-10-16,14.3001
2012-11-16,14.3053
2012-12-16,13.7366
2013-01-16,13.7398
2013-02-16,13.8157
2013-03-16,13.5606
2013-04-16,13.4194
2013-05-16,13.4162
2013-06-16,13.4893
2013-07-16,13.4826
2013-08-16,13.5016
2013-09-16,14.0678
2013-10-16,14.0625
2013-11-16,14.0655
2013-12-16,14.2874
2014-01-16,14.2592
2014-02-16,14.2605
2014-03-16,14.6973
2014-04-16,14.6915
2014-05-16,14.6936
2014-06-16,14.639
2014-07-16,14.6406
2014-08-16,14.6432
2014-09-16,14.51
2014-10-16,14.5118
2014-11-16,14.5115
2014-12-16,14.8353
2015-01-16,14.8381
2015-02-16,14.8387
2015-03-16,14.4371
2015-04-16,14.3987
2015-05-16,14.4004
2015-06-16,13.9404
2015-07-16,13.8873
2015-08-16,13.8889
2015-09-16,13.097
2015-10-16,13.0911
2015-11-16,13.0983
2015-12-16,12.5301
2016-01-16,12.5077
2016-02-16,12.5597
2016-03-16,12.2529
2016-04-16,12.2602
2016-05-16,12.262
2016-06-16,12.0934
2016-07-16,12.0689
2016-08-16,12.0795
2016-09-16,11.998
2016-10-16,12.0067
2016-11-16,12.0074
2016-12-16,12.2076
2017-01-16,12.1848
2017-02-16,12.193
2017-03-16,13.0374
2017-04-16,13.0186
2017-05-16,13.0211
2017-06-16,13.4047
2017-07-16,13.4042
2017-08-16,13.4084
2017-09-16,13.688
2017-10-16,13.666
2017-11-16,13.6687
2017-12-16,13.5413
2018-01-16,13.5372
2018-02-16,13.5352
2018-03-16,13.5329
2018-04-16,13.5822
2018-05-16,13.5923
2018-06-16,13.938
2018-07-16,13.999
2018-08-16,14.0102
2018-09-16,14.7403
2018-10-16,14.7596
2018-11-16,14.7585
2018-12-16,15.6591
