date,div_yield
2004-01-16,2.5569
2004-02-16,2.5548
2004-03-16,2.6098
2004-04-16,2.6094
2004-05-16,2.785
2004-06-16,2.7852
2004-07-16,2.8512
2004-08-16,2.9582
2004-09-16,2.807
2004-10-16,2.7453
2004-11-16,2.6731
2004-12-16,2.6947
2005-01-16,2.6835
2005-02-16,2.5817
2005-03-16,2.6446
2005-04-16,2.6746
2005-05-16,2.888
2005-06-16,2.887
2005-07-16,2.8036
2005-08-16,2.7148
2005-09-16,2.6762
2005-10-16,2.7222
2005-11-16,2.6833
2005-12-16,2.5924
2006-01-16,2.5541
2006-02-16,2.4823
2006-03-16,2.4514
2006-04-16,2.5064
2006-05-16,2.7225
2006-06-16,3.0379
2006-07-16,3.0145
2006-08-16,2.8572
2006-09-16,2.833
2006-10-16,2.6896
2006-11-16,2.6548
2006-12-16,2.6325
2007-01-16,2.6129
2007-02-16,2.5394
2007-03-16,2.7121
2007-04-16,2.5579
2007-05-16,2.6833
2007-06-16,2.7326
2007-07-16,2.7534
2007-08-16,3.1507
2007-09-16,3.0134
2007-10-16,2.8805
2007-11-16,3.0327
2007-12-16,3.0163
2008-01-16,3.2896
2008-02-16,3.4578
2008-03-16,3.6319
2008-04-16,3.4989
2008-05-16,3.4966
2008-06-16,3.7806
2008-07-16,4.3024
2008-08-16,3.9899
2008-09-16,4.3495
2008-10-16,5.5537
2008-11-16,5.4809
2008-12-16,5.5857
2009-01-16,5.7909
2009-02-16,5.9387
2009-03-16,6.1666
2009-04-16,5.423
2009-05-16,4.7866
2009-06-16,4.3622
2009-07-16,4.2587
2009-08-16,3.8373
2009-09-16,3.4446
2009-10-16,3.3908
2009-11-16,3.3268
2009-12-16,3.2896
2010-01-16,3.2069
2010-02-16,3.3838
2010-03-16,3.1648
2010-04-16,3.1089
2010-05-16,3.4161
2010-06-16,3.3782
2010-07-16,3.432
2010-08-16,3.4041
2010-09-16,3.3136
2010-10-16,3.2629
2010-11-16,3.3094
2010-12-16,3.2008
2011-01-16,3.1143
2011-02-16,3.1073
2011-03-16,3.4555
2011-04-16,3.2967
2011-05-16,3.4578
2011-06-16,3.7377
2011-07-16,3.7729
2011-08-16,4.2931
2011-09-16,4.4156
2011-10-16,4.2159
2011-11-16,4.3787
2011-12-16,4.4943
2012-01-16,4.201
2012-02-16,3.9996
2012-03-16,3.906
2012-04-16,4.2219
2012-05-16,4.4505
2012-06-16,4.3599
2012-07-16,4.1803
2012-08-16,3.9745
2012-09-16,3.868
2012-10-16,3.8912
2012-11-16,3.9856
2012-12-16,3.8063
2013-01-16,3.6839
2013-02-16,3.6134
2013-03-16,3.5068
2013-04-16,3.6738
2013-05-16,3.4993
2013-06-16,3.6851
2013-07-16,3.5868
2013-08-16,3.5068
2013-09-16,3.4604
2013-10-16,3.4182
2013-11-16,3.3466
2013-12-16,3.4031
2014-01-16,3.2139
2014-02-16,3.2416
2014-03-16,3.6391
2014-04-16,3.6024
2014-05-16,3.5565
2014-06-16,3.5341
2014-07-16,3.6038
2014-08-16,3.7276
2014-09-16,3.5946
2014-10-16,3.9695
2014-11-16,3.691
2014-12-16,3.741
2015-01-16,3.6857
2015-02-16,3.4714
2015-03-16,3.1138
2015-04-16,3.0918
2015-05-16,3.2467
2015-06-16,3.3638
2015-07-16,3.2136
2015-08-16,3.3349
2015-09-16,3.529
2015-10-16,3.5123
2015-11-16,3.4362
2015-12-16,3.5039
2016-01-16,3.7546
2016-02-16,3.8702
2016-03-16,3.6131
2016-04-16,3.6034
2016-05-16,3.7205
2016-06-16,3.942
2016-07-16,3.6681
2016-08-16,3.5926
2016-09-16,3.6607
2016-10-16,3.5903
2016-11-16,3.6834
2016-12-16,3.4981
2017-01-16,3.4126
2017-02-16,3.3543
2017-03-16,3.2937
2017-04-16,3.311
2017-05-16,3.1588
2017-06-16,3.2822
2017-07-16,3.3086
2017-08-16,3.3225
2017-09-16,3.3591
2017-10-16,3.2456
2017-11-16,3.2838
2017-12-16,3.2775
2018-01-16,3.1704
2018-02-16,3.322
2018-03-16,3.3646
2018-04-16,3.4044
2018-05-16,3.3875
2018-06-16,3.4521
2018-07-16,3.4413
2018-08-16,3.488
2018-09-16,3.5337
2018-10-16,3.6734
2018-11-16,3.7052
2018-12-16,3.7944
2019-01-16,3.8388
2019-02-16,3.6962
2019-03-16,3.6772
2019-04-16,3.6296
2019-05-16,3.745
2019-06-16,3.7897
2019-07-16,3.6957
2019-08-16,3.9075
2019-09-16,3.7427
2019-10-16,3.7188
2019-11-16,3.6052
2019-12-16,3.5363
2020-01-16,3.4646
2020-02-16,3.3924
2020-03-16,4.8507
2020-04-16,4.1453
2020-05-16,3.6375
2020-06-16,2.8778
2020-07-16,2.6955
2020-08-16,2.6434
2020-09-16,2.6038
2020-10-16,2.5859
2020-11-16,2.4079
2020-12-16,2.3498
2021-01-16,2.3091
2021-02-16,2.3329
2021-03-16,2.3329
2021-04-16,2.327
2021-05-16,2.4078
2021-06-16,2.4162
2021-07-16,2.4862
2021-08-16,2.4483
2021-09-16,2.5783
2021-10-16,2.6552
2021-11-16,2.5842
2021-12-16,2.657
2022-01-16,2.6099
2022-02-16,2.5815
2022-03-16,2.7856
2022-04-16,2.7709
2022-05-16,3.2349
2022-06-16,3.6204
2022-07-16,3.4947
2022-08-16,3.2774
2022-09-16,3.4557
2022-10-16,3.6018
2022-11-16,3.2809
2022-12-16,3.3495
2023-01-16,3.1532
2023-02-16,3.0946
2023-03-16,3.4356
2023-04-16,3.3074
2023-05-16,3.3467
2023-06-16,3.3762
2023-07-16,3.4307
2023-08-16,3.4733
2023-09-16,3.4068
2023-10-16,3.4927
2023-11-16,3.4722
2023-12-16,3.3017
2024-01-16,3.2756
2024-02-16,3.1839
2024-03-16,3.093
2024-04-16,3.1727
2024-05-16,3.1347
2024-06-16,3.2982
2024-07-16,3.2524
2024-08-16,3.3041
2024-09-16,3.2896
2024-10-16,3.2776
2024-11-16,3.4048
2024-12-16,3.3619
2025-01-16,3.2988
2025-02-16,3.1094
2025-03-16,3.1418
2025-04-16,3.4372
2025-05-16,3.2123
2025-06-16,3.26
2025-07-16,3.2609
2025-08-16,3.2024
2025-09-16,3.2134
2025-10-16,3.1145
2025-11-16,3.1012
2025-12-16,3.0658
2026-01-16,2.9142
2026-02-16,2.916
2026-03-16,3.0352
2026-04-16,2.9724
