date,ebitda_margin
2004-01-20,17.0998
2004-02-20,16.1818
2004-03-20,16.5968
2004-04-20,17.0067
2004-05-20,16.2444
2004-06-20,16.2545
2004-07-20,16.2821
2004-08-20,16.4712
2004-09-20,16.4712
2004-10-20,17.4405
2004-11-20,17.4199
2004-12-20,17.5939
2005-01-20,17.6148
2005-02-20,16.733
2005-03-20,17.7867
2005-04-20,17.288
2005-05-20,16.4
2005-06-20,16.2653
2005-07-20,16.0534
2005-08-20,15.7048
2005-09-20,17.7938
2005-10-20,17.5073
2005-11-20,17.49
2005-12-20,17.4317
2006-01-20,17.2916
2006-02-20,16.8113
2006-03-20,17.7115
2006-04-20,17.7186
2006-05-20,16.5127
2006-06-20,16.3053
2006-07-20,17.1976
2006-08-20,16.1833
2006-09-20,17.0403
2006-10-20,16.7171
2006-11-20,16.4413
2006-12-20,17.1407
2007-01-20,17.0665
2007-02-20,17.0086
2007-03-20,16.7357
2007-04-20,17.9368
2007-05-20,17.5907
2007-06-20,17.5582
2007-07-20,18.197
2007-08-20,17.9092
2007-09-20,17.5512
2007-10-20,17.4836
2007-11-20,17.4932
2007-12-20,17.3902
2008-01-20,18.5126
2008-02-20,18.5341
2008-03-20,17.9395
2008-04-20,17.3492
2008-05-20,17.3033
2008-06-20,17.964
2008-07-20,18.0172
2008-08-20,17.9452
2008-09-20,16.6646
2008-10-20,16.5746
2008-11-20,16.6111
2008-12-20,17.0131
2009-01-20,17.2919
2009-02-20,17.3035
2009-03-20,16.7568
2009-04-20,16.5842
2009-05-20,16.762
2009-06-20,14.6788
2009-07-20,14.2802
2009-08-20,14.2566
2009-09-20,13.6182
2009-10-20,13.5981
2009-11-20,13.714
2009-12-20,14.3351
2010-01-20,14.3259
2010-02-20,14.3853
2010-03-20,13.9412
2010-04-20,14.2961
2010-05-20,14.2314
2010-06-20,15.6379
2010-07-20,15.5843
2010-08-20,15.7091
2010-09-20,15.4461
2010-10-20,15.4539
2010-11-20,15.5124
2010-12-20,16.2453
2011-01-20,16.161
2011-02-20,16.149
2011-03-20,16.0848
2011-04-20,15.7006
2011-05-20,15.6141
2011-06-20,15.9432
2011-07-20,15.795
2011-08-20,16.1555
2011-09-20,16.3683
2011-10-20,16.3512
2011-11-20,16.5047
2011-12-20,15.7189
2012-01-20,15.697
2012-02-20,15.7461
2012-03-20,16.1275
2012-04-20,15.301
2012-05-20,15.3316
2012-06-20,15.1491
2012-07-20,15.1271
2012-08-20,15.3464
2012-09-20,14.7597
2012-10-20,14.7386
2012-11-20,14.8315
2012-12-20,14.4308
2013-01-20,14.4448
2013-02-20,14.5554
2013-03-20,14.4376
2013-04-20,13.8483
2013-05-20,13.8654
2013-06-20,14.2918
2013-07-20,14.0471
2013-08-20,13.9975
2013-09-20,14.1921
2013-10-20,14.1996
2013-11-20,14.2335
2013-12-20,14.8012
2014-01-20,14.75
2014-02-20,14.6758
2014-03-20,14.4877
2014-04-20,14.2453
2014-05-20,14.2198
2014-06-20,14.5838
2014-07-20,14.3489
2014-08-20,14.2732
2014-09-20,14.4811
2014-10-20,14.4789
2014-11-20,14.4721
2014-12-20,15.0303
2015-01-20,14.9817
2015-02-20,14.9334
2015-03-20,14.1818
2015-04-20,13.6237
2015-05-20,13.5188
2015-06-20,13.8477
2015-07-20,13.8413
2015-08-20,13.7817
2015-09-20,13.8001
2015-10-20,13.7793
2015-11-20,13.7885
2015-12-20,13.926
2016-01-20,13.8962
2016-02-20,13.8053
2016-03-20,13.7844
2016-04-20,13.5267
2016-05-20,13.4536
2016-06-20,13.4235
2016-07-20,13.4132
2016-08-20,13.3733
2016-09-20,13.1192
2016-10-20,13.1256
2016-11-20,13.115
2016-12-20,14.1079
2017-01-20,14.1909
2017-02-20,14.0528
2017-03-20,14.8642
2017-04-20,14.4032
2017-05-20,14.3673
2017-06-20,15.2085
2017-07-20,15.1871
2017-08-20,15.0693
2017-09-20,15.5375
2017-10-20,15.5271
2017-11-20,15.4769
2017-12-20,16.2169
2018-01-20,16.193
2018-02-20,16.212
2018-03-20,15.7797
2018-04-20,15.5144
2018-05-20,15.4714
2018-06-20,16.1847
2018-07-20,16.2028
2018-08-20,16.0978
2018-09-20,16.0251
2018-10-20,15.985
2018-11-20,15.9859
2018-12-20,16.4303
2019-01-20,16.4586
2019-02-20,16.3237
2019-03-20,16.0588
2019-04-20,16.1176
2019-05-20,16.0298
2019-06-20,16.4216
2019-07-20,16.4211
2019-08-20,16.4136
2019-09-20,16.1096
2019-10-20,16.0981
2019-11-20,16.1077
2019-12-20,16.5122
2020-01-20,16.4727
2020-02-20,16.5766
2020-03-20,15.8391
2020-04-20,15.3086
2020-05-20,15.2492
2020-06-20,14.9404
2020-07-20,14.784
2020-08-20,14.7289
2020-09-20,14.2139
2020-10-20,14.1553
2020-11-20,14.1591
2020-12-20,13.7842
2021-01-20,13.8227
2021-02-20,13.8147
2021-03-20,14.5682
2021-04-20,14.1231
2021-05-20,14.0892
2021-06-20,15.823
2021-07-20,15.8331
2021-08-20,15.7588
2021-09-20,17.2568
2021-10-20,17.2704
2021-11-20,17.2725
2021-12-20,18.2788
2022-01-20,18.4454
2022-02-20,18.4889
2022-03-20,18.4719
2022-04-20,17.9837
2022-05-20,17.9493
2022-06-20,18.0849
2022-07-20,18.0744
2022-08-20,18.1051
2022-09-20,18.4282
2022-10-20,18.4018
2022-11-20,18.4205
2022-12-20,18.4497
2023-01-20,18.4301
2023-02-20,18.4607
2023-03-20,18.0784
2023-04-20,17.8209
2023-05-20,17.829
2023-06-20,17.825
2023-07-20,17.8356
2023-08-20,17.7613
2023-09-20,17.7117
2023-10-20,17.5767
2023-11-20,17.5949
2023-12-20,18.2745
2024-01-20,18.2305
2024-02-20,18.2443
2024-03-20,17.1702
2024-04-20,16.7726
2024-05-20,16.7524
2024-06-20,17.5407
2024-07-20,17.5366
2024-08-20,17.2994
2024-09-20,17.0947
2024-10-20,17.0839
2024-11-20,17.0733
2024-12-20,17.3734
2025-01-20,17.3412
2025-02-20,17.3597
2025-03-20,17.0326
2025-04-20,16.8297
2025-05-20,16.7893
2025-06-20,18.01
2025-07-20,17.9859
2025-08-20,17.7957
2025-09-20,17.7969
2025-10-20,17.8002
2025-11-20,17.7933
2025-12-20,18.3505
2026-01-20,18.3282
2026-02-20,18.291
2026-03-20,17.812
2026-04-20,17.5741
