date,ev_ebit
2004-01-20,27.6145
2004-02-20,23.1733
2004-03-20,23.0994
2004-04-20,21.7495
2004-05-20,21.7723
2004-06-20,21.6329
2004-07-20,22.7999
2004-08-20,20.919
2004-09-20,18.7929
2004-10-20,19.001
2004-11-20,18.9937
2004-12-20,20.1145
2005-01-20,20.0645
2005-02-20,18.7181
2005-03-20,19.0894
2005-04-20,16.9933
2005-05-20,17.0751
2005-06-20,17.283
2005-07-20,19.5389
2005-08-20,19.7008
2005-09-20,18.5141
2005-10-20,21.3836
2005-11-20,21.4974
2005-12-20,21.7133
2006-01-20,21.6615
2006-02-20,21.9479
2006-03-20,22.1938
2006-04-20,21.5031
2006-05-20,19.5493
2006-06-20,19.5103
2006-07-20,19.0401
2006-08-20,20.1111
2006-09-20,19.1179
2006-10-20,18.1953
2006-11-20,18.2311
2006-12-20,20.4561
2007-01-20,20.5216
2007-02-20,20.5377
2007-03-20,18.9067
2007-04-20,18.5695
2007-05-20,18.8758
2007-06-20,19.0656
2007-07-20,20.413
2007-08-20,20.1346
2007-09-20,19.7213
2007-10-20,19.7535
2007-11-20,19.7388
2007-12-20,19.5241
2008-01-20,21.2501
2008-02-20,21.2505
2008-03-20,21.6392
2008-04-20,20.4402
2008-05-20,20.9977
2008-06-20,19.613
2008-07-20,20.1702
2008-08-20,20.1181
2008-09-20,21.7892
2008-10-20,22.1678
2008-11-20,21.9719
2008-12-20,19.5235
2009-01-20,19.4395
2009-02-20,19.3533
2009-03-20,19.9889
2009-04-20,17.8743
2009-05-20,19.2831
2009-06-20,21.8118
2009-07-20,22.5322
2009-08-20,22.0874
2009-09-20,29.5773
2009-10-20,29.381
2009-11-20,28.0547
2009-12-20,28.0545
2010-01-20,28.1208
2010-02-20,27.758
2010-03-20,28.8839
2010-04-20,24.533
2010-05-20,24.3436
2010-06-20,21.4921
2010-07-20,21.2163
2010-08-20,21.5769
2010-09-20,19.9396
2010-10-20,19.9859
2010-11-20,20.0687
2010-12-20,19.548
2011-01-20,19.521
2011-02-20,19.6632
2011-03-20,16.9658
2011-04-20,17.0948
2011-05-20,18.2031
2011-06-20,18.5148
2011-07-20,18.5284
2011-08-20,18.2865
2011-09-20,17.1415
2011-10-20,16.9559
2011-11-20,17.014
2011-12-20,15.6392
2012-01-20,15.6862
2012-02-20,15.7185
2012-03-20,14.2438
2012-04-20,15.3728
2012-05-20,15.7844
2012-06-20,16.811
2012-07-20,16.8691
2012-08-20,17.1577
2012-09-20,16.5324
2012-10-20,16.6085
2012-11-20,16.5834
2012-12-20,18.2209
2013-01-20,18.3525
2013-02-20,18.3887
2013-03-20,15.1415
2013-04-20,18.6697
2013-05-20,18.8536
2013-06-20,19.5405
2013-07-20,19.7087
