date,ev_ebitda
2004-01-20,10.7851
2004-02-20,10.9178
2004-03-20,11.1283
2004-04-20,11.6134
2004-05-20,11.503
2004-06-20,11.4258
2004-07-20,11.5817
2004-08-20,11.6063
2004-09-20,11.6063
2004-10-20,11.0527
2004-11-20,11.0742
2004-12-20,11.2297
2005-01-20,11.2264
2005-02-20,11.2751
2005-03-20,11.3751
2005-04-20,11.231
2005-05-20,11.2466
2005-06-20,11.3403
2005-07-20,12.0009
2005-08-20,11.9999
2005-09-20,11.1939
2005-10-20,13.8088
2005-11-20,13.8242
2005-12-20,14.4439
2006-01-20,14.3203
2006-02-20,14.3339
2006-03-20,14.4491
2006-04-20,14.6342
2006-05-20,14.4399
2006-06-20,14.3966
2006-07-20,14.0884
2006-08-20,14.9102
2006-09-20,14.1224
2006-10-20,14.1379
2006-11-20,14.3265
2006-12-20,14.4494
2007-01-20,14.5078
2007-02-20,14.5555
2007-03-20,14.5849
2007-04-20,13.9625
2007-05-20,14.2201
2007-06-20,14.2577
2007-07-20,14.9639
2007-08-20,14.9829
2007-09-20,15.5444
2007-10-20,15.6486
2007-11-20,15.658
2007-12-20,15.7054
2008-01-20,15.9118
2008-02-20,15.8929
2008-03-20,16.0549
2008-04-20,15.12
2008-05-20,15.3132
2008-06-20,13.5283
2008-07-20,13.8681
2008-08-20,13.7524
2008-09-20,15.1266
2008-10-20,15.2946
2008-11-20,15.1373
2008-12-20,13.3045
2009-01-20,13.176
2009-02-20,13.0112
2009-03-20,13.0592
2009-04-20,11.4764
2009-05-20,11.9539
2009-06-20,13.1524
2009-07-20,13.5183
2009-08-20,13.1445
2009-09-20,15.2932
2009-10-20,15.1231
2009-11-20,14.4079
2009-12-20,15.0626
2010-01-20,15.0323
2010-02-20,14.6529
2010-03-20,15.0323
2010-04-20,13.9454
2010-05-20,13.774
2010-06-20,13.5219
2010-07-20,13.3824
2010-08-20,13.3534
2010-09-20,12.8366
2010-10-20,12.8469
2010-11-20,12.8506
2010-12-20,13.0561
2011-01-20,13.0817
2011-02-20,13.0739
2011-03-20,11.8275
2011-04-20,11.7
2011-05-20,12.3
2011-06-20,12.3941
2011-07-20,12.5169
2011-08-20,12.2157
2011-09-20,11.5395
2011-10-20,11.4225
2011-11-20,11.4874
2011-12-20,11.0871
2012-01-20,11.0771
2012-02-20,11.1095
2012-03-20,9.9537
2012-04-20,10.4204
2012-05-20,10.5949
2012-06-20,11.3341
2012-07-20,11.3932
2012-08-20,11.4079
2012-09-20,10.7631
2012-10-20,10.7982
2012-11-20,10.7856
2012-12-20,12.2774
2013-01-20,12.2604
2013-02-20,12.3228
2013-03-20,10.0208
2013-04-20,11.1625
2013-05-20,11.1664
2013-06-20,12.322
2013-07-20,12.4942
2013-08-20,12.5897
2013-09-20,11.4212
2013-10-20,11.4448
2013-11-20,11.4248
2013-12-20,12.1748
2014-01-20,12.1861
2014-02-20,12.2575
2014-03-20,11.5048
2014-04-20,11.6188
2014-05-20,11.7168
2014-06-20,12.5911
2014-07-20,12.7997
2014-08-20,12.8948
2014-09-20,12.5117
2014-10-20,12.531
2014-11-20,12.5503
2014-12-20,12.4525
2015-01-20,12.4577
2015-02-20,12.4899
2015-03-20,12.2422
2015-04-20,12.2975
2015-05-20,12.3189
2015-06-20,13.7731
2015-07-20,13.7742
2015-08-20,13.8832
2015-09-20,13.3335
2015-10-20,13.337
2015-11-20,13.3631
2015-12-20,12.9187
2016-01-20,12.9152
2016-02-20,12.9878
2016-03-20,12.8672
2016-04-20,13.1673
2016-05-20,13.2524
2016-06-20,13.6581
2016-07-20,13.6503
2016-08-20,13.6001
2016-09-20,13.7695
2016-10-20,13.7839
2016-11-20,13.7948
2016-12-20,13.4513
2017-01-20,13.4505
2017-02-20,13.4489
2017-03-20,12.1185
2017-04-20,11.9581
2017-05-20,12.0054
2017-06-20,12.5713
2017-07-20,12.5783
2017-08-20,12.4952
2017-09-20,11.7077
2017-10-20,11.7121
2017-11-20,11.7589
2017-12-20,11.6149
2018-01-20,11.6207
2018-02-20,11.6243
2018-03-20,11.6491
2018-04-20,11.4033
2018-05-20,11.4239
2018-06-20,11.5111
2018-07-20,11.5015
2018-08-20,11.5642
2018-09-20,11.4147
2018-10-20,11.5026
2018-11-20,11.5046
2018-12-20,11.3906
2019-01-20,11.4045
2019-02-20,11.4185
2019-03-20,10.0799
2019-04-20,10.1069
2019-05-20,10.1525
2019-06-20,11.3597
2019-07-20,11.3719
2019-08-20,11.3485
2019-09-20,11.6434
2019-10-20,11.6692
2019-11-20,11.6418
2019-12-20,11.8327
2020-01-20,11.8369
2020-02-20,11.8425
2020-03-20,11.835
2020-04-20,11.7479
2020-05-20,11.7734
2020-06-20,11.5591
2020-07-20,11.5851
2020-08-20,11.5242
2020-09-20,13.2412
2020-10-20,13.3096
2020-11-20,13.3059
2020-12-20,14.5536
2021-01-20,14.5251
2021-02-20,14.4627
2021-03-20,14.0349
2021-04-20,14.1181
2021-05-20,14.1642
2021-06-20,14.1324
2021-07-20,14.1113
2021-08-20,14.186
2021-09-20,12.3721
2021-10-20,12.3517
2021-11-20,12.3538
2021-12-20,11.8423
2022-01-20,11.8306
2022-02-20,11.8006
2022-03-20,11.4178
2022-04-20,11.1298
2022-05-20,11.1504
2022-06-20,10.6395
2022-07-20,10.6498
2022-08-20,10.5836
2022-09-20,8.9059
2022-10-20,8.9292
2022-11-20,8.9204
2022-12-20,8.6243
2023-01-20,8.6189
2023-02-20,8.6108
2023-03-20,8.6596
2023-04-20,8.7394
2023-05-20,8.7489
2023-06-20,9.6159
2023-07-20,9.6098
2023-08-20,9.6329
2023-09-20,9.468
2023-10-20,9.4595
2023-11-20,9.4648
2023-12-20,9.4411
2024-01-20,9.4507
2024-02-20,9.454
2024-03-20,9.8413
2024-04-20,10.0454
2024-05-20,9.9877
2024-06-20,11.0448
2024-07-20,11.0492
2024-08-20,11.1427
2024-09-20,10.8738
2024-10-20,10.8511
2024-11-20,10.8343
2024-12-20,11.3192
2025-01-20,11.4059
2025-02-20,11.3743
2025-03-20,10.4356
2025-04-20,10.544
2025-05-20,10.559
2025-06-20,11.1152
2025-07-20,11.1218
2025-08-20,11.2296
2025-09-20,11.3708
2025-10-20,11.3626
2025-11-20,11.3559
2025-12-20,11.5967
2026-01-20,11.6138
2026-02-20,11.6091
2026-03-20,11.9758
2026-04-20,11.8225
