date,gross_margin
2009-06-20,29.0782
2009-07-20,29.1071
2009-08-20,28.3405
2009-09-20,28.3405
2009-10-20,28.8148
2009-11-20,28.4395
2009-12-20,28.4395
2010-01-20,28.4395
2010-02-20,28.4395
2010-03-20,28.8058
2010-04-20,31.8571
2010-05-20,29.2951
2010-06-20,36.5873
2010-07-20,36.5494
2010-08-20,36.8786
2010-09-20,29.9951
2010-10-20,29.9702
2010-11-20,30.3391
2010-12-20,55451.098
2011-01-20,55309.7602
2011-02-20,55650.1331
2011-03-20,32.4044
2011-04-20,29.3451
2011-05-20,29.4412
2011-06-20,37.4237
2011-07-20,37.4529
2011-08-20,37.7674
2011-09-20,30.8672
2011-10-20,30.7329
2011-11-20,30.3182
2011-12-20,34.4421
2012-01-20,34.3675
2012-02-20,34.7265
2012-03-20,31.0736
2012-04-20,28.2604
2012-05-20,28.2147
2012-06-20,35.3688
2012-07-20,35.3683
2012-08-20,35.9786
2012-09-20,28.4341
2012-10-20,28.2309
2012-11-20,27.9127
2012-12-20,30.8049
2013-01-20,30.8223
2013-02-20,31.2162
2013-03-20,29.5685
2013-04-20,27.6034
2013-05-20,27.0974
2013-06-20,31.7833
2013-07-20,31.7682
2013-08-20,31.9285
2013-09-20,27.5546
2013-10-20,27.0804
2013-11-20,26.7709
2013-12-20,30.1361
2014-01-20,30.0713
2014-02-20,30.0989
2014-03-20,30.6781
2014-04-20,27.8399
2014-05-20,27.4599
2014-06-20,31.8777
2014-07-20,31.8953
2014-08-20,31.9812
2014-09-20,27.5983
2014-10-20,27.4716
2014-11-20,27.2449
2014-12-20,30.8789
2015-01-20,30.8012
2015-02-20,30.8056
2015-03-20,29.049
2015-04-20,27.2532
2015-05-20,26.8421
2015-06-20,32.0877
2015-07-20,32.066
2015-08-20,32.1933
2015-09-20,28.6865
2015-10-20,28.3948
2015-11-20,27.8464
2015-12-20,34.1625
2016-01-20,34.0803
2016-02-20,34.0491
2016-03-20,30.1152
2016-04-20,28.5141
2016-05-20,28.1349
2016-06-20,35.1766
2016-07-20,35.15
2016-08-20,35.1929
2016-09-20,27.7607
2016-10-20,27.6343
2016-11-20,27.7124
2016-12-20,31.1203
2017-01-20,31.3061
2017-02-20,31.0025
2017-03-20,31.6441
2017-04-20,29.1025
2017-05-20,29.0078
2017-06-20,33.5659
2017-07-20,33.5471
2017-08-20,28.8663
2017-09-20,30.3569
2017-10-20,30.3358
2017-11-20,30.3703
2017-12-20,34.5149
2018-01-20,34.4853
2018-02-20,34.5478
2018-03-20,32.934
2018-04-20,29.3461
2018-05-20,29.3749
2018-06-20,37.38
2018-07-20,37.4082
2018-08-20,30.6596
2018-09-20,31.1459
2018-10-20,30.7352
2018-11-20,30.2645
2018-12-20,34.2396
2019-01-20,34.3282
2019-02-20,34.1002
2019-03-20,31.2417
2019-04-20,30.0947
2019-05-20,30.5342
2019-06-20,37.7037
2019-07-20,37.7173
2019-08-20,30.9152
2019-09-20,30.067
2019-10-20,30.1111
2019-11-20,30.0998
2019-12-20,34.3748
2020-01-20,34.2969
2020-02-20,34.5669
2020-03-20,30.4907
2020-04-20,28.5256
2020-05-20,28.3938
2020-06-20,37.1154
2020-07-20,36.7925
2020-08-20,28.1461
2020-09-20,28.5771
2020-10-20,28.5277
2020-11-20,28.5137
2020-12-20,29.826
2021-01-20,29.842
2021-02-20,29.6966
2021-03-20,32.3578
2021-04-20,28.5587
2021-05-20,28.6239
2021-06-20,35.3058
2021-07-20,35.2735
2021-08-20,30.3976
2021-09-20,30.2541
2021-10-20,30.2205
2021-11-20,30.2361
2021-12-20,31.5068
2022-01-20,31.7803
2022-02-20,31.7746
2022-03-20,31.7925
2022-04-20,29.9727
2022-05-20,30.0649
2022-06-20,35.0845
2022-07-20,35.0945
2022-08-20,30.6119
2022-09-20,31.9339
2022-10-20,31.98
2022-11-20,32.0232
2022-12-20,36.6231
2023-01-20,36.5432
2023-02-20,36.5505
2023-03-20,32.6884
2023-04-20,32.3397
2023-05-20,32.3352
2023-06-20,38.2045
2023-07-20,38.2309
2023-08-20,32.166
2023-09-20,31.5387
2023-10-20,31.1623
2023-11-20,31.3162
2023-12-20,35.8574
2024-01-20,35.7793
2024-02-20,35.7832
2024-03-20,31.6356
2024-04-20,30.7813
2024-05-20,31.0614
2024-06-20,34.2869
2024-07-20,34.3027
2024-08-20,31.5941
2024-09-20,31.8334
2024-10-20,31.6754
2024-11-20,31.7636
2024-12-20,34.3272
2025-01-20,34.5099
2025-02-20,34.4446
2025-03-20,32.0254
2025-04-20,31.1418
2025-05-20,31.1435
2025-06-20,38.0051
2025-07-20,37.9824
2025-08-20,33.8268
2025-09-20,34.4517
2025-10-20,34.3962
2025-11-20,34.3628
2025-12-20,37.168
2026-01-20,37.1646
2026-02-20,37.0739
2026-03-20,34.1928
2026-04-20,33.4324
