date,oper_margin
2004-01-16,6.667
2004-02-16,7.6126
2004-03-16,7.9845
2004-04-16,9.0712
2004-05-16,8.5777
2004-06-16,8.5807
2004-07-16,8.267
2004-08-16,9.129
2004-09-16,10.573
2004-10-16,10.1431
2004-11-16,10.1547
2004-12-16,9.8207
2005-01-16,9.8541
2005-02-16,10.0879
2005-03-16,10.5962
2005-04-16,11.4092
2005-05-16,10.7885
2005-06-16,10.6602
2005-07-16,9.8823
2005-08-16,9.612
2005-09-16,10.7954
2005-10-16,11.3337
2005-11-16,11.275
2005-12-16,11.6259
2006-01-16,11.4403
2006-02-16,10.9887
2006-03-16,11.5365
2006-04-16,12.0373
2006-05-16,12.1906
2006-06-16,12.0256
2006-07-16,12.9106
2006-08-16,12.1775
2006-09-16,12.7618
2006-10-16,13.16
2006-11-16,13.091
2006-12-16,12.3086
2007-01-16,12.2637
2007-02-16,12.2626
2007-03-16,13.0986
2007-04-16,13.4806
2007-05-16,13.2519
2007-06-16,13.1304
2007-07-16,13.475
2007-08-16,13.3298
2007-09-16,13.8315
2007-10-16,13.847
2007-11-16,13.8734
2007-12-16,13.9855
2008-01-16,13.9962
2008-02-16,13.991
2008-03-16,13.434
2008-04-16,12.8417
2008-05-16,12.6271
2008-06-16,12.4144
2008-07-16,12.3884
2008-08-16,12.2288
2008-09-16,11.5922
2008-10-16,11.4588
2008-11-16,11.4357
2008-12-16,11.614
2009-01-16,11.7386
2009-02-16,11.6338
2009-03-16,10.8336
2009-04-16,10.6979
2009-05-16,10.3534
2009-06-16,8.8634
2009-07-16,8.5779
2009-08-16,8.5199
2009-09-16,7.0664
2009-10-16,7.0242
2009-11-16,7.1048
2009-12-16,7.7242
2010-01-16,7.6846
2010-02-16,7.6988
2010-03-16,7.3667
2010-04-16,8.1336
2010-05-16,8.1145
2010-06-16,9.8585
2010-07-16,9.8502
2010-08-16,9.7271
2010-09-16,9.9428
2010-10-16,9.9419
2010-11-16,9.9438
2010-12-16,10.8641
2011-01-16,10.8433
2011-02-16,10.7497
2011-03-16,11.2116
2011-04-16,10.7435
2011-05-16,10.5484
2011-06-16,10.6644
2011-07-16,10.662
2011-08-16,10.7849
2011-09-16,11.02
2011-10-16,11.0159
2011-11-16,11.1432
2011-12-16,11.1435
2012-01-16,11.0843
2012-02-16,11.1293
2012-03-16,11.2753
2012-04-16,10.3773
2012-05-16,10.2964
2012-06-16,10.2354
2012-07-16,10.239
2012-08-16,10.212
2012-09-16,9.616
2012-10-16,9.5894
2012-11-16,9.6531
2012-12-16,9.7306
2013-01-16,9.6551
2013-02-16,9.7588
2013-03-16,9.5397
2013-04-16,8.2815
2013-05-16,8.2139
2013-06-16,9.01
2013-07-16,8.9022
2013-08-16,8.8697
2013-09-16,8.7707
2013-10-16,8.7532
2013-11-16,8.7689
2013-12-16,9.3594
2014-01-16,9.2609
2014-02-16,9.2184
2014-03-16,9.4667
2014-04-16,8.7057
2014-05-16,8.6226
2014-06-16,8.7909
2014-07-16,8.7816
2014-08-16,8.6909
2014-09-16,8.9178
2014-10-16,8.8919
2014-11-16,8.8749
2014-12-16,9.3993
2015-01-16,9.3706
2015-02-16,9.2841
2015-03-16,8.8383
2015-04-16,8.2739
2015-05-16,8.1749
2015-06-16,8.6201
2015-07-16,8.6127
2015-08-16,8.4962
2015-09-16,8.5885
2015-10-16,8.5671
2015-11-16,8.5525
2015-12-16,8.5721
2016-01-16,8.5328
2016-02-16,8.3709
2016-03-16,8.4908
2016-04-16,8.0328
2016-05-16,7.9275
2016-06-16,8.0322
2016-07-16,8.0099
2016-08-16,7.9449
2016-09-16,7.8285
2016-10-16,7.8226
2016-11-16,7.8365
2016-12-16,8.934
2017-01-16,8.9957
2017-02-16,8.8954
2017-03-16,9.6482
2017-04-16,8.7562
2017-05-16,8.7175
2017-06-16,9.5603
2017-07-16,9.547
2017-08-16,9.4778
2017-09-16,9.905
2017-10-16,9.8855
2017-11-16,9.9005
2017-12-16,10.5272
2018-01-16,10.5221
2018-02-16,10.5426
2018-03-16,10.8392
2018-04-16,10.2493
2018-05-16,10.2167
2018-06-16,10.7909
2018-07-16,10.7879
2018-08-16,10.6493
2018-09-16,10.8113
2018-10-16,10.7773
2018-11-16,10.7695
2018-12-16,11.519
2019-01-16,11.5549
2019-02-16,11.409
2019-03-16,11.2388
2019-04-16,10.9324
2019-05-16,10.8565
2019-06-16,11.1989
2019-07-16,11.1878
2019-08-16,11.0672
2019-09-16,10.5504
2019-10-16,10.5211
2019-11-16,10.5166
2019-12-16,152.5076
2020-01-16,152.2405
2020-02-16,152.1325
2020-03-16,10.4
2020-04-16,9.5729
2020-05-16,9.5078
2020-06-16,9.2123
2020-07-16,9.0182
2020-08-16,8.8187
2020-09-16,7.3879
2020-10-16,7.3143
2020-11-16,7.3156
2020-12-16,7.3285
2021-01-16,7.3662
2021-02-16,7.3516
2021-03-16,7.8845
2021-04-16,7.185
2021-05-16,7.1219
2021-06-16,9.0507
2021-07-16,9.0777
2021-08-16,8.9578
2021-09-16,11.5164
2021-10-16,11.5375
2021-11-16,11.5329
2021-12-16,12.673
2022-01-16,12.7751
2022-02-16,12.7992
2022-03-16,13.6883
2022-04-16,12.7762
2022-05-16,12.7826
2022-06-16,12.7043
2022-07-16,12.6791
2022-08-16,12.5643
2022-09-16,12.7352
2022-10-16,12.7123
2022-11-16,12.7541
2022-12-16,12.9225
2023-01-16,12.9127
2023-02-16,12.9254
2023-03-16,12.8545
2023-04-16,12.313
2023-05-16,12.2831
2023-06-16,13.0747
2023-07-16,13.0714
2023-08-16,12.991
2023-09-16,12.9127
2023-10-16,12.7799
2023-11-16,12.7998
2023-12-16,13.4355
2024-01-16,13.4119
2024-02-16,13.4247
2024-03-16,12.2041
2024-04-16,11.7806
2024-05-16,11.7529
2024-06-16,12.2932
2024-07-16,12.2498
2024-08-16,12.0497
2024-09-16,11.9533
2024-10-16,11.9131
2024-11-16,11.9061
2024-12-16,12.4893
2025-01-16,12.4798
2025-02-16,12.4084
2025-03-16,12.4832
2025-04-16,12.2577
2025-05-16,12.2403
2025-06-16,12.7735
2025-07-16,12.7482
2025-08-16,12.5509
2025-09-16,12.5651
2025-10-16,12.5415
2025-11-16,12.5396
2025-12-16,12.9116
2026-01-16,12.9028
2026-02-16,12.8352
2026-03-16,12.7715
2026-04-16,12.411
