date,pb
2004-01-16,2.0882
2004-02-16,2.111
2004-03-16,2.1719
2004-04-16,2.1705
2004-05-16,2.1698
2004-06-16,2.1578
2004-07-16,2.1934
2004-08-16,2.1285
2004-09-16,2.0418
2004-10-16,2.0837
2004-11-16,2.1053
2004-12-16,2.1607
2005-01-16,2.201
2005-02-16,2.1998
2005-03-16,2.2624
2005-04-16,2.2187
2005-05-16,2.1655
2005-06-16,2.2656
2005-07-16,2.3544
2005-08-16,2.4319
2005-09-16,2.4278
2005-10-16,2.4027
2005-11-16,2.3438
2005-12-16,2.3394
2006-01-16,2.4198
2006-02-16,2.507
2006-03-16,2.5612
2006-04-16,2.3691
2006-05-16,2.473
2006-06-16,2.3366
2006-07-16,2.3254
2006-08-16,2.3858
2006-09-16,2.45
2006-10-16,2.4877
2006-11-16,2.5752
2006-12-16,2.5036
2007-01-16,2.5935
2007-02-16,2.6463
2007-03-16,2.5917
2007-04-16,2.4779
2007-05-16,2.5886
2007-06-16,2.6474
2007-07-16,2.5319
2007-08-16,2.4458
2007-09-16,2.4057
2007-10-16,2.4144
2007-11-16,2.4816
2007-12-16,2.3639
2008-01-16,2.3134
2008-02-16,2.0448
2008-03-16,2.0247
2008-04-16,1.8593
2008-05-16,1.9742
2008-06-16,2.0182
2008-07-16,1.8195
2008-08-16,1.7863
2008-09-16,1.8543
2008-10-16,1.6507
2008-11-16,1.4317
2008-12-16,1.3514
2009-01-16,1.2994
2009-02-16,1.2537
2009-03-16,1.1339
2009-04-16,1.2211
2009-05-16,1.4151
2009-06-16,1.4706
2009-07-16,1.4561
2009-08-16,1.6052
2009-09-16,1.6383
2009-10-16,1.6812
2009-11-16,1.684
2009-12-16,1.6518
2010-01-16,1.7556
2010-02-16,1.7428
2010-03-16,1.7334
2010-04-16,1.7275
2010-05-16,1.7409
2010-06-16,1.5663
2010-07-16,1.5518
2010-08-16,1.6459
2010-09-16,1.5325
2010-10-16,1.5803
2010-11-16,1.6422
2010-12-16,1.6301
2011-01-16,1.7165
2011-02-16,1.7621
2011-03-16,1.6825
2011-04-16,1.6265
2011-05-16,1.6808
2011-06-16,1.6617
2011-07-16,1.613
2011-08-16,1.5799
2011-09-16,1.4118
2011-10-16,1.3468
2011-11-16,1.4617
2011-12-16,1.4075
2012-01-16,1.4344
2012-02-16,1.5015
2012-03-16,1.4796
2012-04-16,1.5004
2012-05-16,1.4794
2012-06-16,1.354
2012-07-16,1.4188
2012-08-16,1.4865
2012-09-16,1.488
2012-10-16,1.501
2012-11-16,1.5217
2012-12-16,1.5255
2013-01-16,1.5494
2013-02-16,1.5991
2013-03-16,1.6124
2013-04-16,1.6468
2013-05-16,1.6713
2013-06-16,1.6637
2013-07-16,1.5811
2013-08-16,1.6731
2013-09-16,1.687
2013-10-16,1.7608
2013-11-16,1.8389
2013-12-16,1.8344
2014-01-16,1.8524
