date,pe
2004-01-20,45.3982
2004-02-20,32.0994
2004-03-20,30.8751
2004-04-20,19.1599
2004-05-20,21.3067
2004-06-20,21.9659
2004-07-20,24.9711
2004-08-20,19.1421
2004-09-20,15.1858
2004-10-20,16.2818
2004-11-20,16.4638
2004-12-20,18.6747
2005-01-20,18.9903
2005-02-20,17.1765
2005-03-20,18.0533
2005-04-20,15.7062
2005-05-20,15.9279
2005-06-20,17.0412
2005-07-20,19.1253
2005-08-20,18.5557
2005-09-20,17.29
2005-10-20,16.1915
2005-11-20,15.7977
2005-12-20,15.3626
2006-01-20,15.9879
2006-02-20,16.5747
2006-03-20,16.191
2006-04-20,15.4562
2006-05-20,15.379
2006-06-20,14.3642
2006-07-20,14.1809
2006-08-20,15.5705
2006-09-20,15.1015
2006-10-20,15.3272
2006-11-20,15.8622
2006-12-20,15.7699
2007-01-20,16.3498
2007-02-20,16.6351
2007-03-20,15.5591
2007-04-20,15.1024
2007-05-20,15.7096
2007-06-20,16.118
2007-07-20,14.8033
2007-08-20,14.0699
2007-09-20,12.9235
2007-10-20,12.9045
2007-11-20,13.3114
2007-12-20,12.5745
2008-01-20,12.6662
2008-02-20,11.1545
2008-03-20,10.9128
2008-04-20,10.9369
2008-05-20,11.6151
2008-06-20,12.1729
2008-07-20,10.9149
2008-08-20,10.629
2008-09-20,11.1906
2008-10-20,9.8094
2008-11-20,8.5144
2008-12-20,8.2776
2009-01-20,8.0326
2009-02-20,7.8852
2009-03-20,7.4908
2009-04-20,11.2431
2009-05-20,12.5496
2009-06-20,18.9029
2009-07-20,17.4737
2009-08-20,18.1869
2009-09-20,21.5801
2009-10-20,22.1619
2009-11-20,21.4154
2009-12-20,21.1409
2010-01-20,22.4918
2010-02-20,21.8292
2010-03-20,22.1807
2010-04-20,16.5934
2010-05-20,15.9154
2010-06-20,13.391
2010-07-20,13.3521
2010-08-20,14.1749
2010-09-20,12.5279
2010-10-20,12.9092
2010-11-20,13.2402
2010-12-20,12.7427
2011-01-20,13.4059
2011-02-20,13.5043
2011-03-20,13.259
2011-04-20,12.7057
2011-05-20,12.9918
2011-06-20,12.6754
2011-07-20,12.382
2011-08-20,11.9801
2011-09-20,10.7114
2011-10-20,10.2248
2011-11-20,11.0085
2011-12-20,10.8441
2012-01-20,11.0469
2012-02-20,11.629
2012-03-20,12.2531
2012-04-20,12.3633
2012-05-20,12.0595
2012-06-20,11.4025
2012-07-20,11.9664
2012-08-20,12.5811
2012-09-20,12.8886
2012-10-20,13.0127
2012-11-20,13.1699
2012-12-20,12.8322
2013-01-20,13.168
2013-02-20,13.5609
2013-03-20,14.5212
2013-04-20,14.5398
2013-05-20,14.6052
2013-06-20,14.1634
2013-07-20,13.6711
2013-08-20,14.5866
2013-09-20,15.449
2013-10-20,16.1583
2013-11-20,16.905
2013-12-20,20.4658
2014-01-20,20.6951
2014-02-20,20.5471
2014-03-20,17.2029
2014-04-20,17.1514
2014-05-20,17.4457
2014-06-20,17.5285
2014-07-20,17.4454
2014-08-20,17.3017
2014-09-20,17.031
2014-10-20,17.1038
2014-11-20,16.9299
2014-12-20,16.4907
2015-01-20,16.3111
2015-02-20,17.5722
2015-03-20,18.833
