date,profit_margin
2004-01-20,1.7917
2004-02-20,2.7452
2004-03-20,3.1763
2004-04-20,5.3101
2004-05-20,4.5729
2004-06-20,4.3996
2004-07-20,3.938
2004-08-20,5.1108
2004-09-20,6.5759
2004-10-20,6.0447
2004-11-20,6.0473
2004-12-20,5.5996
2005-01-20,5.6134
2005-02-20,5.8591
2005-03-20,6.3304
2005-04-20,6.578
2005-05-20,6.27
2005-06-20,6.1392
2005-07-20,5.7014
2005-08-20,5.9621
2005-09-20,6.867
2005-10-20,7.0287
2005-11-20,7.0445
2005-12-20,7.541
2006-01-20,7.3992
2006-02-20,7.1808
2006-03-20,7.6807
2006-04-20,8.2043
2006-05-20,7.253
2006-06-20,7.2367
2006-07-20,7.569
2006-08-20,6.8929
2006-09-20,7.7514
2006-10-20,7.7644
2006-11-20,7.7106
2006-12-20,7.4769
2007-01-20,7.427
2007-02-20,7.4415
2007-03-20,7.5306
2007-04-20,8.4749
2007-05-20,8.341
2007-06-20,8.3193
2007-07-20,9.0229
2007-08-20,8.9978
2007-09-20,9.2407
2007-10-20,9.298
2007-11-20,9.3275
2007-12-20,9.3624
2008-01-20,9.7417
2008-02-20,9.7807
2008-03-20,9.5877
2008-04-20,8.9848
2008-05-20,8.8617
2008-06-20,8.6982
2008-07-20,8.7446
2008-08-20,8.6135
2008-09-20,7.97
2008-10-20,7.9472
2008-11-20,7.9392
2008-12-20,6.9532
2009-01-20,7.126
2009-02-20,7.0574
2009-03-20,6.2651
2009-04-20,3.7921
2009-05-20,3.7232
2009-06-20,3.3563
2009-07-20,3.3303
2009-08-20,3.3158
2009-09-20,2.1092
2009-10-20,2.1102
2009-11-20,2.2883
2009-12-20,3.258
2010-01-20,3.2312
2010-02-20,3.3053
2010-03-20,2.9446
2010-04-20,4.9331
2010-05-20,4.9436
2010-06-20,6.1717
2010-07-20,6.1632
2010-08-20,6.1132
2010-09-20,6.2456
2010-10-20,6.2502
2010-11-20,6.2743
2010-12-20,7.0575
2011-01-20,7.0369
2011-02-20,7.0925
2011-03-20,7.2337
2011-04-20,7.0507
2011-05-20,7.0909
2011-06-20,7.2425
2011-07-20,7.2102
2011-08-20,7.3213
2011-09-20,7.3512
2011-10-20,7.3441
2011-11-20,7.4487
2011-12-20,7.0367
2012-01-20,6.9808
2012-02-20,6.9837
2012-03-20,6.7731
2012-04-20,6.2082
2012-05-20,6.0671
2012-06-20,5.6769
2012-07-20,5.6718
2012-08-20,5.7579
2012-09-20,5.5616
2012-10-20,5.556
2012-11-20,5.4998
2012-12-20,5.3919
2013-01-20,5.0694
2013-02-20,5.0797
2013-03-20,5.3667
2013-04-20,4.8219
2013-05-20,4.6024
2013-06-20,5.1262
2013-07-20,5.1304
2013-08-20,5.0723
2013-09-20,4.9939
2013-10-20,4.989
2013-11-20,4.9454
2013-12-20,5.9133
2014-01-20,5.8952
2014-02-20,5.812
2014-03-20,5.6691
2014-04-20,5.2665
2014-05-20,5.2523
2014-06-20,6.2696
2014-07-20,6.2691
2014-08-20,6.1805
2014-09-20,6.1696
2014-10-20,6.1586
2014-11-20,6.124
2014-12-20,5.7998
2015-01-20,5.7685
2015-02-20,5.7114
2015-03-20,6.0132
2015-04-20,5.7662
2015-05-20,5.6752
2015-06-20,5.9865
2015-07-20,5.9801
2015-08-20,5.9205
2015-09-20,5.9646
2015-10-20,5.9783
2015-11-20,5.9623
2015-12-20,5.5921
2016-01-20,5.5347
2016-02-20,5.4994
2016-03-20,5.4555
2016-04-20,5.2208
2016-05-20,5.2027
2016-06-20,4.8003
2016-07-20,4.7873
2016-08-20,4.7903
2016-09-20,4.4626
2016-10-20,4.4485
2016-11-20,4.4782
2016-12-20,5.2112
2017-01-20,5.2607
2017-02-20,5.1882
2017-03-20,5.7224
2017-04-20,5.1783
2017-05-20,5.184
2017-06-20,5.7289
2017-07-20,5.7344
2017-08-20,5.7474
2017-09-20,6.2315
2017-10-20,6.223
2017-11-20,6.2642
2017-12-20,7.0334
2018-01-20,7.0305
2018-02-20,7.0665
2018-03-20,8.2867
2018-04-20,8.0702
2018-05-20,8.0558
2018-06-20,8.1839
2018-07-20,8.1656
2018-08-20,8.2381
2018-09-20,8.2841
2018-10-20,8.2704
2018-11-20,8.2702
2018-12-20,8.0722
2019-01-20,8.0828
2019-02-20,8.0101
2019-03-20,7.4702
2019-04-20,7.5548
2019-05-20,7.5122
2019-06-20,7.6657
2019-07-20,7.6565
2019-08-20,7.5959
2019-09-20,7.2722
2019-10-20,7.276
2019-11-20,7.2695
2019-12-20,7.4697
2020-01-20,7.4229
2020-02-20,7.4556
2020-03-20,6.6441
2020-04-20,6.3905
2020-05-20,6.3508
2020-06-20,5.8067
2020-07-20,5.6352
2020-08-20,5.3916
2020-09-20,3.5671
2020-10-20,3.5262
2020-11-20,3.5265
2020-12-20,3.6627
2021-01-20,3.6741
2021-02-20,3.6666
2021-03-20,3.9731
2021-04-20,3.9172
2021-05-20,3.9662
2021-06-20,5.9003
2021-07-20,5.9211
2021-08-20,5.9065
2021-09-20,8.3433
2021-10-20,8.3885
2021-11-20,8.3795
2021-12-20,9.0064
2022-01-20,9.103
2022-02-20,9.1133
2022-03-20,9.9796
2022-04-20,10.0194
2022-05-20,10.0438
2022-06-20,9.5562
2022-07-20,9.5199
2022-08-20,9.4853
2022-09-20,9.3543
