date,roa
2004-01-16,0.4067
2004-02-16,0.6378
2004-03-16,0.7073
2004-04-16,1.2117
2004-05-16,1.0741
2004-06-16,1.0236
2004-07-16,0.9033
2004-08-16,1.1176
2004-09-16,1.3763
2004-10-16,1.3151
2004-11-16,1.3148
2004-12-16,1.189
2005-01-16,1.191
2005-02-16,1.2826
2005-03-16,1.2937
2005-04-16,1.3737
2005-05-16,1.383
2005-06-16,1.3572
2005-07-16,1.2202
2005-08-16,1.3058
2005-09-16,1.4254
2005-10-16,1.3135
2005-11-16,1.3164
2005-12-16,1.3935
2006-01-16,1.3939
2006-02-16,1.3917
2006-03-16,1.4009
2006-04-16,1.4273
2006-05-16,1.3611
2006-06-16,1.3806
2006-07-16,1.3899
2006-08-16,1.2916
2006-09-16,1.4061
2006-10-16,1.4207
2006-11-16,1.4246
2006-12-16,1.3051
2007-01-16,1.3065
2007-02-16,1.3138
2007-03-16,1.3486
2007-04-16,1.5748
2007-05-16,1.5514
2007-06-16,1.544
2007-07-16,1.5473
2007-08-16,1.5594
2007-09-16,1.5728
2007-10-16,1.5834
2007-11-16,1.5886
2007-12-16,1.6008
2008-01-16,1.5775
2008-02-16,1.5801
2008-03-16,1.5814
2008-04-16,1.5448
2008-05-16,1.5422
2008-06-16,1.4061
2008-07-16,1.4212
2008-08-16,1.4039
2008-09-16,1.3189
2008-10-16,1.3146
2008-11-16,1.3138
2008-12-16,1.1929
2009-01-16,1.2167
2009-02-16,1.1988
2009-03-16,1.0969
2009-04-16,0.6645
2009-05-16,0.6342
2009-06-16,0.5662
2009-07-16,0.5646
2009-08-16,0.5479
2009-09-16,0.3847
2009-10-16,0.3862
2009-11-16,0.4038
2009-12-16,0.5696
2010-01-16,0.5729
2010-02-16,0.577
2010-03-16,0.5164
2010-04-16,0.9304
2010-05-16,0.9244
2010-06-16,1.1026
2010-07-16,1.1047
2010-08-16,1.0865
2010-09-16,1.1097
2010-10-16,1.1109
2010-11-16,1.1028
2010-12-16,1.2241
2011-01-16,1.2256
2011-02-16,1.2285
2011-03-16,1.4777
2011-04-16,1.3739
2011-05-16,1.3378
2011-06-16,1.3513
2011-07-16,1.3511
2011-08-16,1.3616
2011-09-16,1.413
2011-10-16,1.4175
2011-11-16,1.4175
2011-12-16,1.3098
2012-01-16,1.3044
2012-02-16,1.2904
2012-03-16,1.4162
2012-04-16,1.2044
2012-05-16,1.1572
2012-06-16,1.0891
2012-07-16,1.0934
2012-08-16,1.0897
2012-09-16,1.066
2012-10-16,1.0664
2012-11-16,1.0472
2012-12-16,1.0297
2013-01-16,0.9702
2013-02-16,0.9598
2013-03-16,1.2052
2013-04-16,0.9774
2013-05-16,0.9389
2013-06-16,0.9857
2013-07-16,0.9998
2013-08-16,0.9796
2013-09-16,0.9932
2013-10-16,0.9943
2013-11-16,0.9815
2013-12-16,1.1694
2014-01-16,1.1704
2014-02-16,1.1511
2014-03-16,1.2287
2014-04-16,1.0929
2014-05-16,1.091
2014-06-16,1.2555
2014-07-16,1.2602
2014-08-16,1.2334
2014-09-16,1.2211
2014-10-16,1.2213
2014-11-16,1.2047
2014-12-16,1.1105
2015-01-16,1.1094
2015-02-16,1.0983
2015-03-16,1.2521
2015-04-16,1.1232
2015-05-16,1.1107
2015-06-16,1.0816
2015-07-16,1.0906
2015-08-16,1.0776
2015-09-16,1.1192
2015-10-16,1.1255
2015-11-16,1.1202
2015-12-16,1.0109
2016-01-16,1.0053
2016-02-16,0.9998
2016-03-16,1.0723
2016-04-16,0.9672
2016-05-16,0.9673
2016-06-16,0.8249
2016-07-16,0.8279
2016-08-16,0.8308
2016-09-16,0.7593
2016-10-16,0.7595
2016-11-16,0.7625
2016-12-16,0.8836
2017-01-16,0.8892
2017-02-16,0.8842
2017-03-16,1.0406
2017-04-16,0.9353
2017-05-16,0.9379
2017-06-16,0.9868
2017-07-16,0.9933
2017-08-16,0.9966
2017-09-16,1.1196
2017-10-16,1.12
2017-11-16,1.1258
2017-12-16,1.2515
2018-01-16,1.2535
2018-02-16,1.2588
2018-03-16,1.4972
2018-04-16,1.4819
2018-05-16,1.4868
2018-06-16,1.449
2018-07-16,1.4519
2018-08-16,1.4666
2018-09-16,1.452
2018-10-16,1.448
2018-11-16,1.4471
2018-12-16,1.4052
2019-01-16,1.4051
2019-02-16,1.4027
2019-03-16,1.3994
2019-04-16,1.3393
2019-05-16,1.3408
2019-06-16,1.3064
2019-07-16,1.3101
2019-08-16,1.3042
2019-09-16,1.2644
2019-10-16,1.2666
2019-11-16,1.2676
2019-12-16,1.2609
2020-01-16,1.257
2020-02-16,1.2527
2020-03-16,1.174
2020-04-16,1.1791
2020-05-16,1.1704
2020-06-16,0.9338
2020-07-16,0.9272
2020-08-16,0.8949
2020-09-16,0.561
2020-10-16,0.5547
2020-11-16,0.5566
2020-12-16,0.5613
2021-01-16,0.5633
2021-02-16,0.5646
2021-03-16,0.5601
2021-04-16,0.578
2021-05-16,0.5896
2021-06-16,0.8536
2021-07-16,0.8673
2021-08-16,0.8651
2021-09-16,1.2634
2021-10-16,1.2772
2021-11-16,1.276
2021-12-16,1.3707
2022-01-16,1.3749
2022-02-16,1.3767
2022-03-16,1.5551
2022-04-16,1.6272
2022-05-16,1.6368
2022-06-16,1.5444
2022-07-16,1.5538
2022-08-16,1.5549
2022-09-16,1.5514
2022-10-16,1.5577
2022-11-16,1.5636
2022-12-16,1.5955
2023-01-16,1.5937
2023-02-16,1.5898
2023-03-16,1.5362
2023-04-16,1.4946
2023-05-16,1.4981
2023-06-16,1.6643
2023-07-16,1.6853
2023-08-16,1.6867
2023-09-16,1.6914
2023-10-16,1.6956
2023-11-16,1.6964
2023-12-16,1.7064
2024-01-16,1.7039
2024-02-16,1.7122
2024-03-16,1.5551
2024-04-16,1.5265
2024-05-16,1.5194
2024-06-16,1.4552
2024-07-16,1.4659
2024-08-16,1.4477
2024-09-16,1.374
2024-10-16,1.3867
2024-11-16,1.3909
2024-12-16,1.4533
2025-01-16,1.4579
2025-02-16,1.4492
2025-03-16,1.4432
2025-04-16,1.4516
2025-05-16,1.4518
2025-06-16,1.403
2025-07-16,1.4172
2025-08-16,1.4078
2025-09-16,1.3996
2025-10-16,1.3875
2025-11-16,1.3896
2025-12-16,1.4748
2026-01-16,1.4742
2026-02-16,1.4779
2026-03-16,1.5509
2026-04-16,1.5132
