date,roc
2004-01-16,0.9057
2004-02-16,1.4532
2004-03-16,1.6115
2004-04-16,2.739
2004-05-16,2.4827
2004-06-16,2.3751
2004-07-16,2.0959
2004-08-16,2.6142
2004-09-16,3.1668
2004-10-16,3.0081
2004-11-16,3.0069
2004-12-16,2.7192
2005-01-16,2.7239
2005-02-16,2.9055
2005-03-16,2.9339
2005-04-16,3.3258
2005-05-16,3.359
2005-06-16,3.2996
2005-07-16,2.9767
2005-08-16,3.1849
2005-09-16,3.4731
2005-10-16,2.8942
2005-11-16,2.9004
2005-12-16,3.0504
2006-01-16,3.052
2006-02-16,3.0431
2006-03-16,3.0602
2006-04-16,3.2171
2006-05-16,3.101
2006-06-16,3.1463
2006-07-16,3.2729
2006-08-16,3.0205
2006-09-16,3.3086
2006-10-16,3.3767
2006-11-16,3.3793
2006-12-16,3.0938
2007-01-16,3.0943
2007-02-16,3.1109
2007-03-16,3.1927
2007-04-16,3.4706
2007-05-16,3.4602
2007-06-16,3.4505
2007-07-16,3.5254
2007-08-16,3.5526
2007-09-16,3.6186
2007-10-16,3.6366
2007-11-16,3.6422
2007-12-16,3.6694
2008-01-16,3.4861
2008-02-16,3.4875
2008-03-16,3.492
2008-04-16,3.4714
2008-05-16,3.4716
2008-06-16,3.319
2008-07-16,3.3064
2008-08-16,3.2657
2008-09-16,2.9841
2008-10-16,2.9681
2008-11-16,2.9601
2008-12-16,2.7702
2009-01-16,2.8053
2009-02-16,2.7729
2009-03-16,2.5361
2009-04-16,1.7167
2009-05-16,1.5748
2009-06-16,1.3969
2009-07-16,1.3878
2009-08-16,1.3539
2009-09-16,0.9071
2009-10-16,0.918
2009-11-16,0.9587
2009-12-16,1.3521
2010-01-16,1.3559
2010-02-16,1.3655
2010-03-16,1.2221
2010-04-16,2.2681
2010-05-16,2.2412
2010-06-16,2.6429
2010-07-16,2.6534
2010-08-16,2.6186
2010-09-16,2.6743
2010-10-16,2.6756
2010-11-16,2.6515
2010-12-16,2.9196
2011-01-16,2.9224
2011-02-16,2.9283
2011-03-16,3.2737
2011-04-16,3.3597
2011-05-16,3.2669
2011-06-16,3.2284
2011-07-16,3.228
2011-08-16,3.253
2011-09-16,3.4503
2011-10-16,3.4816
2011-11-16,3.4779
2011-12-16,3.1895
2012-01-16,3.176
2012-02-16,3.1417
2012-03-16,3.4081
2012-04-16,3.1643
2012-05-16,3.0322
2012-06-16,2.7226
2012-07-16,2.7217
2012-08-16,2.7125
2012-09-16,2.742
2012-10-16,2.7392
2012-11-16,2.6999
2012-12-16,2.5068
2013-01-16,2.3608
2013-02-16,2.3356
2013-03-16,3.023
2013-04-16,2.5601
2013-05-16,2.4418
2013-06-16,2.4787
2013-07-16,2.5167
2013-08-16,2.4657
2013-09-16,2.5917
2013-10-16,2.5889
2013-11-16,2.5618
2013-12-16,2.9122
2014-01-16,2.9148
2014-02-16,2.8696
2014-03-16,3.1603
2014-04-16,2.9673
2014-05-16,2.9184
2014-06-16,3.1189
2014-07-16,3.1313
2014-08-16,3.0641
2014-09-16,3.1661
2014-10-16,3.1615
2014-11-16,3.1242
2014-12-16,2.8347
2015-01-16,2.8312
2015-02-16,2.8027
2015-03-16,3.1817
2015-04-16,3.138
2015-05-16,3.1052
2015-06-16,2.9525
2015-07-16,2.9727
2015-08-16,2.9366
2015-09-16,3.0695
2015-10-16,3.081
2015-11-16,3.0704
2015-12-16,2.7424
2016-01-16,2.7261
2016-02-16,2.7111
2016-03-16,2.863
2016-04-16,2.7573
2016-05-16,2.7413
2016-06-16,2.2768
2016-07-16,2.2829
2016-08-16,2.2894
2016-09-16,2.1256
2016-10-16,2.1189
2016-11-16,2.1343
2016-12-16,2.3988
2017-01-16,2.4123
2017-02-16,2.399
2017-03-16,2.954
2017-04-16,2.7032
2017-05-16,2.7085
2017-06-16,2.6495
2017-07-16,2.6639
2017-08-16,2.7062
2017-09-16,3.0582
2017-10-16,3.0569
2017-11-16,3.0898
2017-12-16,3.3536
2018-01-16,3.3581
2018-02-16,3.3745
2018-03-16,4.0292
2018-04-16,4.0954
2018-05-16,4.1081
2018-06-16,3.8534
2018-07-16,3.8577
2018-08-16,3.8951
2018-09-16,3.9812
2018-10-16,3.9583
2018-11-16,3.9575
2018-12-16,3.8075
2019-01-16,3.8063
2019-02-16,3.8026
2019-03-16,3.7823
2019-04-16,3.7057
2019-05-16,3.7057
2019-06-16,3.5268
2019-07-16,3.5317
2019-08-16,3.5152
2019-09-16,3.4456
2019-10-16,3.4443
2019-11-16,3.4469
2019-12-16,3.4017
2020-01-16,3.3904
2020-02-16,3.3849
2020-03-16,3.2662
2020-04-16,3.2699
2020-05-16,3.2596
2020-06-16,2.5627
2020-07-16,2.5308
2020-08-16,2.4419
2020-09-16,1.5434
2020-10-16,1.522
2020-11-16,1.5271
2020-12-16,1.5259
2021-01-16,1.5313
2021-02-16,1.535
2021-03-16,1.5298
2021-04-16,1.6298
2021-05-16,1.6591
2021-06-16,2.3118
2021-07-16,2.3402
2021-08-16,2.3341
2021-09-16,3.4466
2021-10-16,3.4814
2021-11-16,3.4777
2021-12-16,3.7153
2022-01-16,3.726
2022-02-16,3.7309
2022-03-16,4.1878
2022-04-16,4.5372
2022-05-16,4.5556
2022-06-16,4.2089
2022-07-16,4.2252
2022-08-16,4.228
2022-09-16,4.3274
2022-10-16,4.3402
2022-11-16,4.3558
2022-12-16,4.3641
2023-01-16,4.3581
2023-02-16,4.347
2023-03-16,4.1629
2023-04-16,4.1999
2023-05-16,4.2049
2023-06-16,4.4827
2023-07-16,4.5308
2023-08-16,4.5351
2023-09-16,4.5904
2023-10-16,4.6009
2023-11-16,4.6023
2023-12-16,4.5747
2024-01-16,4.5497
2024-02-16,4.5713
2024-03-16,4.2451
2024-04-16,4.186
2024-05-16,4.1681
2024-06-16,3.9177
2024-07-16,3.9365
2024-08-16,3.8878
2024-09-16,3.7851
2024-10-16,3.8221
2024-11-16,3.8332
2024-12-16,3.9807
2025-01-16,3.9932
2025-02-16,3.9686
2025-03-16,4.049
2025-04-16,4.0667
2025-05-16,4.0648
2025-06-16,3.8209
2025-07-16,3.8506
2025-08-16,3.8252
2025-09-16,3.8853
2025-10-16,3.8521
2025-11-16,3.8573
2025-12-16,4.0495
2026-01-16,4.0473
2026-02-16,4.0573
2026-03-16,4.2391
2026-04-16,4.2488
