date,roce
2004-01-20,3.7139
2004-02-20,5.953
2004-03-20,6.4508
2004-04-20,11.2418
2004-05-20,10.0698
2004-06-20,9.7089
2004-07-20,8.5573
2004-08-20,10.9805
2004-09-20,13.4757
2004-10-20,12.7938
2004-11-20,12.784
2004-12-20,11.5541
2005-01-20,11.573
2005-02-20,12.5429
2005-03-20,12.6278
2005-04-20,13.7813
2005-05-20,13.6503
2005-06-20,13.3175
2005-07-20,12.5012
2005-08-20,13.4034
2005-09-20,14.534
2005-10-20,14.9487
2005-11-20,14.965
2005-12-20,15.5936
2006-01-20,15.4032
2006-02-20,15.4062
2006-03-20,15.5108
2006-04-20,15.0149
2006-05-20,15.0145
2006-06-20,15.1412
2006-07-20,15.6326
2006-08-20,14.4327
2006-09-20,16.2757
2006-10-20,16.4315
2006-11-20,16.4419
2006-12-20,15.264
2007-01-20,15.1258
2007-02-20,15.1721
2007-03-20,15.5642
2007-04-20,17.042
2007-05-20,17.2441
2007-06-20,17.1423
2007-07-20,17.1793
2007-08-20,17.3331
2007-09-20,18.5169
2007-10-20,18.6039
2007-11-20,18.6554
2007-12-20,18.7641
2008-01-20,18.5562
2008-02-20,18.5844
2008-03-20,18.6058
2008-04-20,17.0348
2008-05-20,17.0076
2008-06-20,16.1436
2008-07-20,16.2727
2008-08-20,16.0747
2008-09-20,15.3934
2008-10-20,15.3785
2008-11-20,15.3296
2008-12-20,13.6539
2009-01-20,13.9403
2009-02-20,13.7863
2009-03-20,12.5797
2009-04-20,7.7267
2009-05-20,7.7105
2009-06-20,6.7395
2009-07-20,6.6956
2009-08-20,6.7702
2009-09-20,4.0874
2009-10-20,4.0741
2009-11-20,4.5019
2009-12-20,6.0383
2010-01-20,6.0161
2010-02-20,6.2264
2010-03-20,5.5547
2010-04-20,8.8398
2010-05-20,9.0182
2010-06-20,10.7534
2010-07-20,10.7229
2010-08-20,10.6487
2010-09-20,11.0268
2010-10-20,11.0195
2010-11-20,11.0971
2010-12-20,12.1557
2011-01-20,12.1466
2011-02-20,12.2997
2011-03-20,12.0338
2011-04-20,12.0853
2011-05-20,12.1575
2011-06-20,12.2039
2011-07-20,12.138
2011-08-20,12.3213
2011-09-20,12.5928
2011-10-20,12.5984
2011-11-20,12.719
2011-12-20,12.2163
2012-01-20,12.1479
2012-02-20,12.0991
2012-03-20,11.2457
2012-04-20,10.8214
2012-05-20,10.5921
2012-06-20,9.7574
2012-07-20,9.7498
2012-08-20,9.7975
2012-09-20,9.7175
2012-10-20,9.7122
2012-11-20,9.6
2012-12-20,9.3928
2013-01-20,8.8291
2013-02-20,8.7778
2013-03-20,9.1875
2013-04-20,8.6508
2013-05-20,8.2912
2013-06-20,8.8064
2013-07-20,8.8465
2013-08-20,8.7424
2013-09-20,8.8065
2013-10-20,8.7948
2013-11-20,8.7399
2013-12-20,10.2087
2014-01-20,10.2024
2014-02-20,10.0854
2014-03-20,9.6514
2014-04-20,9.1953
2014-05-20,9.2433
2014-06-20,10.5936
2014-07-20,10.591
2014-08-20,10.4597
2014-09-20,10.3451
2014-10-20,10.3266
2014-11-20,10.2991
2014-12-20,9.5275
2015-01-20,9.4975
2015-02-20,9.4341
2015-03-20,9.8026
2015-04-20,9.7122
2015-05-20,9.6071
2015-06-20,9.6399
2015-07-20,9.6297
2015-08-20,9.494
2015-09-20,9.5815
2015-10-20,9.5951
2015-11-20,9.5583
2015-12-20,8.7314
2016-01-20,8.6606
2016-02-20,8.6153
2016-03-20,8.3612
2016-04-20,8.027
2016-05-20,8.0212
2016-06-20,7.0578
2016-07-20,7.0441
2016-08-20,7.0463
2016-09-20,6.6324
2016-10-20,6.6025
2016-11-20,6.6534
2016-12-20,7.6396
2017-01-20,7.6625
2017-02-20,7.636
2017-03-20,8.139
