date,div_yield
2004-01-16,0.9455
2004-02-16,0.9529
2004-03-16,0.8904
2004-04-16,0.9243
2004-05-16,1.01
2004-06-16,0.9447
2004-07-16,0.9647
2004-08-16,1.0233
2004-09-16,0.9901
2004-10-16,1.0683
2004-11-16,1.0487
2004-12-16,1.0646
2005-01-16,1.0262
2005-02-16,1.01
2005-03-16,0.9841
2005-04-16,1.1796
2005-05-16,1.2061
2005-06-16,1.1662
2005-07-16,1.14
2005-08-16,1.0868
2005-09-16,1.0129
2005-10-16,1.0393
2005-11-16,0.9761
2005-12-16,0.9171
2006-01-16,0.8768
2006-02-16,0.8973
2006-03-16,0.893
2006-04-16,0.9797
2006-05-16,1.0351
2006-06-16,1.1101
2006-07-16,1.1017
2006-08-16,1.0278
2006-09-16,1.0564
2006-10-16,1.0993
2006-11-16,1.1384
2006-12-16,1.0858
2007-01-16,1.063
2007-02-16,1.0205
2007-03-16,1.0802
2007-04-16,1.1645
2007-05-16,1.1738
2007-06-16,1.1327
2007-07-16,1.1336
2007-08-16,1.2889
2007-09-16,1.3089
2007-10-16,1.3366
2007-11-16,1.4711
2007-12-16,1.4408
2008-01-16,1.6714
2008-02-16,1.6317
2008-03-16,1.8281
2008-04-16,1.8007
2008-05-16,1.6387
2008-06-16,1.6318
2008-07-16,1.8347
2008-08-16,1.8394
2008-09-16,2.0535
2008-10-16,2.7244
2008-11-16,2.7769
2008-12-16,2.837
2009-01-16,2.8612
2009-02-16,3.0352
2009-03-16,3.158
2009-04-16,2.3917
2009-05-16,2.2479
2009-06-16,2.1642
2009-07-16,2.2514
2009-08-16,2.01
2009-09-16,2.1014
2009-10-16,1.816
2009-11-16,1.8936
2009-12-16,1.8099
2010-01-16,1.6776
2010-02-16,1.8294
2010-03-16,1.7276
2010-04-16,1.6571
2010-05-16,1.7463
2010-06-16,1.8265
2010-07-16,1.9443
2010-08-16,1.989
2010-09-16,1.9535
2010-10-16,2.115
2010-11-16,2.0643
2010-12-16,1.937
2011-01-16,1.8925
2011-02-16,1.817
2011-03-16,2.1493
2011-04-16,2.1621
2011-05-16,2.1902
2011-06-16,2.2399
2011-07-16,2.1225
2011-08-16,2.3387
2011-09-16,2.3772
2011-10-16,2.4878
2011-11-16,2.5592
2011-12-16,2.5605
2012-01-16,2.5599
2012-02-16,2.3191
2012-03-16,2.1442
2012-04-16,2.3569
2012-05-16,2.562
2012-06-16,2.5995
2012-07-16,2.5378
2012-08-16,2.494
2012-09-16,2.5052
2012-10-16,2.6001
2012-11-16,2.4988
2012-12-16,2.3432
2013-01-16,2.1371
2013-02-16,2.0056
2013-03-16,1.7991
2013-04-16,1.7846
2013-05-16,1.5906
2013-06-16,1.8756
2013-07-16,1.6548
2013-08-16,1.7414
2013-09-16,1.6778
2013-10-16,1.7749
2013-11-16,1.7104
2013-12-16,1.7331
2014-01-16,1.6454
2014-02-16,1.7936
2014-03-16,1.8246
2014-04-16,2.0034
2014-05-16,2.0133
2014-06-16,1.8876
2014-07-16,1.8335
2014-08-16,1.8377
2014-09-16,1.7829
2014-10-16,2.0455
2014-11-16,1.7462
2014-12-16,1.8026
2015-01-16,1.8123
2015-02-16,1.6932
2015-03-16,1.5876
2015-04-16,1.6742
2015-05-16,1.6633
2015-06-16,1.6306
2015-07-16,1.6215
2015-08-16,1.6165
2015-09-16,1.8293
2015-10-16,1.8946
2015-11-16,1.8125
2015-12-16,1.849
2016-01-16,2.0286
2016-02-16,2.1933
2016-03-16,2.0956
2016-04-16,2.1304
2016-05-16,2.1931
2016-06-16,2.3382
2016-07-16,2.2136
2016-08-16,2.2465
2016-09-16,2.2264
2016-10-16,2.1875
2016-11-16,2.0679
2016-12-16,1.8957
2017-01-16,1.9245
2017-02-16,1.9071
2017-03-16,1.8989
2017-04-16,2.1431
2017-05-16,1.9671
2017-06-16,1.9501
2017-07-16,1.9208
2017-08-16,1.9373
2017-09-16,1.912
2017-10-16,1.928
2017-11-16,1.8711
2017-12-16,1.8381
2018-01-16,1.755
2018-02-16,1.9105
2018-03-16,1.9123
2018-04-16,2.0418
2018-05-16,1.9679
2018-06-16,1.9801
2018-07-16,2.0613
2018-08-16,2.1108
2018-09-16,2.0625
2018-10-16,2.2155
2018-11-16,2.2927
2018-12-16,2.346
2019-01-16,2.4419
2019-02-16,2.3744
2019-03-16,2.347
2019-04-16,2.391
2019-05-16,2.5291
2019-06-16,2.5146
2019-07-16,2.4899
2019-08-16,2.63
2019-09-16,2.4264
2019-10-16,2.4391
2019-11-16,2.3495
2019-12-16,2.2957
2020-01-16,2.3129
2020-02-16,2.3481
2020-03-16,3.2468
2020-04-16,2.7611
2020-05-16,2.6991
2020-06-16,2.4658
2020-07-16,2.4581
2020-08-16,2.3892
2020-09-16,2.3537
2020-10-16,2.3117
2020-11-16,2.1598
2020-12-16,2.0787
2021-01-16,1.9904
2021-02-16,1.8654
2021-03-16,1.8425
2021-04-16,1.9543
2021-05-16,2.0329
2021-06-16,1.9453
2021-07-16,2.0123
2021-08-16,2.0161
2021-09-16,1.8579
2021-10-16,2.0659
2021-11-16,2.0516
2021-12-16,2.0909
2022-01-16,2.1502
2022-02-16,2.1841
2022-03-16,2.2967
2022-04-16,2.4995
2022-05-16,2.538
2022-06-16,2.5243
2022-07-16,2.5124
2022-08-16,2.4001
2022-09-16,2.4577
2022-10-16,2.6733
2022-11-16,2.5808
2022-12-16,2.6001
