date,ebitda_margin
2004-01-20,11.5864
2004-02-20,11.5411
2004-03-20,11.4086
2004-04-20,11.3852
2004-05-20,11.4095
2004-06-20,12.4101
2004-07-20,12.4964
2004-08-20,13.0407
2004-09-20,12.8904
2004-10-20,12.8588
2004-11-20,12.2974
2004-12-20,13.3231
2005-01-20,13.322
2005-02-20,13.3759
2005-03-20,13.1794
2005-04-20,13.1414
2005-05-20,12.3073
2005-06-20,13.7233
2005-07-20,13.4603
2005-08-20,13.5161
2005-09-20,13.4256
2005-10-20,13.433
2005-11-20,12.6907
2005-12-20,13.0669
2006-01-20,13.0677
2006-02-20,13.0257
2006-03-20,13.278
2006-04-20,13.2429
2006-05-20,13.8966
2006-06-20,14.2043
2006-07-20,14.1488
2006-08-20,14.0869
2006-09-20,13.4101
2006-10-20,13.3867
2006-11-20,13.477
2006-12-20,12.6312
2007-01-20,12.7617
2007-02-20,13.6825
2007-03-20,11.7206
2007-04-20,11.7167
2007-05-20,11.9664
2007-06-20,13.2506
2007-07-20,13.2545
2007-08-20,13.2373
2007-09-20,13.2363
2007-10-20,13.2081
2007-11-20,13.348
2007-12-20,13.0621
2008-01-20,13.0563
2008-02-20,13.0326
2008-03-20,12.7353
2008-04-20,12.7223
2008-05-20,12.7766
2008-06-20,12.9196
2008-07-20,12.9452
2008-08-20,12.9571
2008-09-20,12.5692
2008-10-20,12.5509
2008-11-20,12.3714
2008-12-20,12.1925
2009-01-20,12.2001
2009-02-20,12.2011
2009-03-20,10.976
2009-04-20,10.9504
2009-05-20,10.8446
2009-06-20,9.2687
2009-07-20,9.2966
2009-08-20,9.2979
2009-09-20,9.0233
2009-10-20,9.0003
2009-11-20,8.8329
2009-12-20,8.3662
2010-01-20,8.3583
2010-02-20,8.3634
2010-03-20,9.4338
2010-04-20,9.376
2010-05-20,9.3434
2010-06-20,10.5663
2010-07-20,10.5393
2010-08-20,10.5436
2010-09-20,11.4739
2010-10-20,11.4597
2010-11-20,11.2638
2010-12-20,11.6189
2011-01-20,11.6208
2011-02-20,11.6222
2011-03-20,11.9354
2011-04-20,11.9247
2011-05-20,12.0238
2011-06-20,11.7291
2011-07-20,11.7353
2011-08-20,11.7351
2011-09-20,11.4432
2011-10-20,11.4314
2011-11-20,11.4552
2011-12-20,11.0702
2012-01-20,11.07
2012-02-20,11.0715
2012-03-20,10.7143
2012-04-20,10.711
2012-05-20,10.7115
2012-06-20,10.4902
2012-07-20,10.5033
2012-08-20,10.5045
2012-09-20,10.3679
2012-10-20,10.36
2012-11-20,10.3182
2012-12-20,10.2231
2013-01-20,10.2211
2013-02-20,10.2182
2013-03-20,10.2875
2013-04-20,10.2872
2013-05-20,10.2828
2013-06-20,10.4774
2013-07-20,10.487
2013-08-20,10.488
2013-09-20,10.7297
2013-10-20,10.7246
2013-11-20,10.7261
2013-12-20,10.9763
2014-01-20,10.9736
