date,ev_ebit
2004-01-16,24.1614
2004-02-16,24.3425
2004-03-16,24.6989
2004-04-16,24.6114
2004-05-16,24.6176
2004-06-16,21.3055
2004-07-16,20.7987
2004-08-16,20.7769
2004-09-16,20.9535
2004-10-16,20.9482
2004-11-16,19.4157
2004-12-16,17.6809
2005-01-16,17.5162
2005-02-16,17.5089
2005-03-16,18.2227
2005-04-16,18.1853
2005-05-16,17.7847
2005-06-16,18.2754
2005-07-16,17.9994
2005-08-16,17.8366
2005-09-16,17.0989
2005-10-16,17.0653
2005-11-16,17.2223
2005-12-16,18.9721
2006-01-16,18.9398
2006-02-16,18.9547
2006-03-16,19.322
2006-04-16,19.2959
2006-05-16,19.4059
2006-06-16,20.0211
2006-07-16,19.7692
2006-08-16,19.5131
2006-09-16,18.1419
2006-10-16,18.1468
2006-11-16,18.0815
2006-12-16,18.4555
2007-01-16,18.4347
2007-02-16,18.3714
2007-03-16,19.0386
2007-04-16,19.0551
2007-05-16,19.0482
2007-06-16,19.1601
2007-07-16,19.2558
2007-08-16,19.3522
2007-09-16,19.3422
2007-10-16,19.3318
2007-11-16,19.3265
2007-12-16,17.9856
2008-01-16,17.9886
2008-02-16,17.9594
2008-03-16,17.0361
2008-04-16,17.0454
2008-05-16,17.0593
2008-06-16,15.8522
2008-07-16,15.8767
2008-08-16,15.8738
2008-09-16,17.0848
2008-10-16,17.1265
2008-11-16,17.1497
2008-12-16,16.8969
2009-01-16,16.89
2009-02-16,16.8865
2009-03-16,20.0426
2009-04-16,20.2393
2009-05-16,20.2441
2009-06-16,35.7359
2009-07-16,35.9716
2009-08-16,35.9491
2009-09-16,54.7955
2009-10-16,54.8724
2009-11-16,56.6329
2009-12-16,75.1602
2010-01-16,75.4103
2010-02-16,75.3451
2010-03-16,42.3195
2010-04-16,42.2904
2010-05-16,42.9608
2010-06-16,26.9847
2010-07-16,27.139
2010-08-16,27.1255
2010-09-16,19.6162
2010-10-16,19.6201
2010-11-16,19.9484
2010-12-16,17.8897
2011-01-16,17.9321
2011-02-16,17.9332
2011-03-16,17.6237
2011-04-16,17.6315
2011-05-16,17.6824
2011-06-16,17.6477
2011-07-16,17.7093
2011-08-16,17.6878
2011-09-16,17.8663
2011-10-16,17.8628
2011-11-16,17.9184
2011-12-16,18.395
2012-01-16,18.3753
2012-02-16,18.3726
2012-03-16,18.841
2012-04-16,18.8559
2012-05-16,18.883
2012-06-16,19.7144
2012-07-16,19.7299
2012-08-16,19.725
2012-09-16,19.0175
2012-10-16,19.0304
2012-11-16,19.0601
2012-12-16,19.0777
2013-01-16,19.0778
2013-02-16,19.0779
2013-03-16,19.5237
2013-04-16,19.525
2013-05-16,19.5373
2013-06-16,20.0349
2013-07-16,20.0149
2013-08-16,19.9916
2013-09-16,18.1336
2013-10-16,18.1353
2013-11-16,18.134
2013-12-16,17.0116
2014-01-16,17.02
2014-02-16,17.0198
2014-03-16,17.0083
2014-04-16,17.0113
2014-05-16,17.0157
2014-06-16,15.1072
2014-07-16,15.1372
2014-08-16,15.1299
2014-09-16,15.3457
2014-10-16,15.3464
2014-11-16,15.341
2014-12-16,15.6524
2015-01-16,15.6552
2015-02-16,15.6553
2015-03-16,16.1598
2015-04-16,16.1343
2015-05-16,16.1339
2015-06-16,16.1693
2015-07-16,16.466
2015-08-16,16.4778
2015-09-16,15.8441
2015-10-16,15.909
2015-11-16,15.8855
2015-12-16,14.1296
2016-01-16,14.1283
2016-02-16,14.1289
2016-03-16,14.9605
2016-04-16,14.4163
2016-05-16,14.3645
2016-06-16,12.7405
2016-07-16,12.1968
2016-08-16,12.1825
2016-09-16,11.5539
2016-10-16,11.5531
2016-11-16,11.492
2016-12-16,12.1677
2017-01-16,12.162
2017-02-16,12.1613
2017-03-16,13.5607
2017-04-16,13.6006
2017-05-16,13.6834
2017-06-16,12.6698
2017-07-16,11.9953
2017-08-16,11.8704
2017-09-16,12.2929
2017-10-16,12.295
2017-11-16,12.2857
2017-12-16,11.3821
2018-01-16,11.3888
2018-02-16,11.39
2018-03-16,11.8711
2018-04-16,11.8472
2018-05-16,11.8796
2018-06-16,11.6693
2018-07-16,10.5477
2018-08-16,10.5415
2018-09-16,10.1207
2018-10-16,10.1278
2018-11-16,10.1263
2018-12-16,10.9405
2019-01-16,10.9509
2019-02-16,10.9289
2019-03-16,8.9653
2019-04-16,8.9576
2019-05-16,8.9935
2019-06-16,9.1855
2019-07-16,9.3933
2019-08-16,9.3793
2019-09-16,9.6126
2019-10-16,9.5983
2019-11-16,9.5669
2019-12-16,10.7371
2020-01-16,10.7067
2020-02-16,10.708
2020-03-16,12.2299
2020-04-16,12.2209
2020-05-16,12.2235
2020-06-16,11.191
2020-07-16,11.4962
2020-08-16,11.4938
2020-09-16,14.3897
2020-10-16,14.386
2020-11-16,14.3707
2020-12-16,15.5826
2021-01-16,15.5815
2021-02-16,15.5826
2021-03-16,15.248
2021-04-16,15.234
2021-05-16,15.3076
2021-06-16,13.3975
2021-07-16,13.6926
2021-08-16,13.6798
2021-09-16,10.4441
2021-10-16,10.4473
2021-11-16,10.4448
2021-12-16,10.9856
2022-01-16,10.9613
2022-02-16,10.9543
2022-03-16,9.2654
2022-04-16,9.24
2022-05-16,9.2399
2022-06-16,9.416
2022-07-16,9.9393
2022-08-16,9.9283
2022-09-16,10.4472
2022-10-16,10.4501
2022-11-16,10.4534
2022-12-16,10.0186
2023-01-16,10.0215
2023-02-16,10.021
2023-03-16,9.2936
2023-04-16,9.2558
2023-05-16,9.2564
2023-06-16,8.6514
2023-07-16,9.1112
2023-08-16,9.0939
2023-09-16,10.0962
2023-10-16,10.0979
2023-11-16,10.0867
2023-12-16,10.7622
2024-01-16,10.7631
2024-02-16,10.7609
2024-03-16,9.727
2024-04-16,9.6615
2024-05-16,9.6569
2024-06-16,11.3582
2024-07-16,11.7789
2024-08-16,11.7604
2024-09-16,11.4642
2024-10-16,11.4739
2024-11-16,11.4724
2024-12-16,10.1107
2025-01-16,10.1114
2025-02-16,10.11
2025-03-16,10.5887
2025-04-16,10.5693
2025-05-16,10.5682
2025-06-16,9.5318
2025-07-16,9.9634
2025-08-16,9.935
2025-09-16,10.6826
2025-10-16,10.683
2025-11-16,10.6817
2025-12-16,11.6391
2026-01-16,11.6448
2026-02-16,11.641
2026-03-16,13.0778
2026-04-16,13.0126
