date,ev_ebitda
2004-01-16,10.1201
2004-02-16,10.1589
2004-03-16,10.3927
2004-04-16,10.3906
2004-05-16,10.3635
2004-06-16,10.3564
2004-07-16,10.2688
2004-08-16,10.273
2004-09-16,10.4056
2004-10-16,10.4205
2004-11-16,10.4192
2004-12-16,9.3819
2005-01-16,9.4146
2005-02-16,9.4223
2005-03-16,9.8598
2005-04-16,9.852
2005-05-16,9.8146
2005-06-16,9.383
2005-07-16,9.3463
2005-08-16,9.2764
2005-09-16,9.5107
2005-10-16,9.5235
2005-11-16,10.0143
2005-12-16,10.5754
2006-01-16,10.5816
2006-02-16,10.5785
2006-03-16,11.4618
2006-04-16,11.4605
2006-05-16,10.8223
2006-06-16,11.0891
2006-07-16,10.9633
2006-08-16,10.9589
2006-09-16,10.6379
2006-10-16,10.6443
2006-11-16,10.5455
2006-12-16,10.6976
2007-01-16,10.7141
2007-02-16,10.6844
2007-03-16,11.5264
2007-04-16,11.5343
2007-05-16,11.3039
2007-06-16,10.9683
2007-07-16,10.9897
2007-08-16,11.052
2007-09-16,11.2419
2007-10-16,11.2587
2007-11-16,11.1068
2007-12-16,10.2114
2008-01-16,10.214
2008-02-16,10.2405
2008-03-16,10.0087
2008-04-16,10.0123
2008-05-16,9.9275
2008-06-16,8.6998
2008-07-16,8.6779
2008-08-16,8.6687
2008-09-16,9.167
2008-10-16,9.1657
2008-11-16,9.251
2008-12-16,8.4181
2009-01-16,8.414
2009-02-16,8.4109
2009-03-16,8.9725
2009-04-16,8.9887
2009-05-16,9.0284
2009-06-16,10.4665
2009-07-16,10.4667
2009-08-16,10.4694
2009-09-16,12.5266
2009-10-16,12.5447
2009-11-16,12.6293
2009-12-16,14.0948
2010-01-16,14.0978
2010-02-16,14.1061
2010-03-16,12.8965
2010-04-16,12.9262
2010-05-16,13.0078
2010-06-16,11.6607
2010-07-16,11.7179
2010-08-16,11.7142
2010-09-16,9.7934
2010-10-16,9.7964
2010-11-16,9.9074
2010-12-16,9.5469
2011-01-16,9.5406
2011-02-16,9.5407
2011-03-16,9.744
2011-04-16,9.743
2011-05-16,9.681
2011-06-16,9.4766
2011-07-16,9.4982
2011-08-16,9.4892
2011-09-16,9.5636
2011-10-16,9.564
2011-11-16,9.5019
2011-12-16,9.4988
2012-01-16,9.4857
2012-02-16,9.4837
2012-03-16,9.4479
2012-04-16,9.4451
2012-05-16,9.45
2012-06-16,10.4683
2012-07-16,10.4749
2012-08-16,10.4749
2012-09-16,9.9043
2012-10-16,9.9071
2012-11-16,9.8853
2012-12-16,9.8191
2013-01-16,9.8183
2013-02-16,9.8184
2013-03-16,10.5532
2013-04-16,10.5528
2013-05-16,10.5584
2013-06-16,11.0361
2013-07-16,11.0256
2013-08-16,11.0216
2013-09-16,10.4483
2013-10-16,10.4462
2013-11-16,10.4387
2013-12-16,10.2497
2014-01-16,10.252
2014-02-16,10.2517
2014-03-16,10.4106
2014-04-16,10.4132
2014-05-16,10.3599
2014-06-16,9.3178
2014-07-16,9.343
2014-08-16,9.339
2014-09-16,9.4331
2014-10-16,9.4351
2014-11-16,9.4319
2014-12-16,9.7216
2015-01-16,9.7273
2015-02-16,9.7274
2015-03-16,10.1071
2015-04-16,10.0851
2015-05-16,10.0825
2015-06-16,10.058
2015-07-16,10.2845
2015-08-16,10.2864
2015-09-16,9.9384
2015-10-16,9.9597
2015-11-16,9.9525
2015-12-16,8.7602
2016-01-16,8.7624
2016-02-16,8.7628
2016-03-16,9.2255
2016-04-16,8.8907
2016-05-16,8.8943
2016-06-16,7.9511
2016-07-16,7.6051
2016-08-16,7.5946
2016-09-16,7.0653
2016-10-16,7.0657
2016-11-16,7.063
2016-12-16,7.492
2017-01-16,7.4879
2017-02-16,7.4872
2017-03-16,8.2852
2017-04-16,8.2215
2017-05-16,8.3125
2017-06-16,7.844
2017-07-16,7.3937
2017-08-16,7.3437
2017-09-16,7.6928
2017-10-16,7.6952
2017-11-16,7.6942
2017-12-16,7.2163
2018-01-16,7.2197
2018-02-16,7.2202
2018-03-16,7.5755
2018-04-16,7.5658
2018-05-16,7.5838
2018-06-16,7.5278
2018-07-16,6.8021
2018-08-16,6.7986
2018-09-16,6.5887
2018-10-16,6.5943
2018-11-16,6.5933
2018-12-16,7.0736
2019-01-16,7.0804
2019-02-16,7.0645
2019-03-16,5.7554
2019-04-16,5.7492
2019-05-16,5.7533
2019-06-16,5.862
2019-07-16,5.9906
2019-08-16,5.9789
2019-09-16,5.9819
2019-10-16,5.971
2019-11-16,5.9762
2019-12-16,6.4956
2020-01-16,6.4804
2020-02-16,6.4841
2020-03-16,7.2049
2020-04-16,7.2002
2020-05-16,7.201
2020-06-16,6.2358
2020-07-16,6.3763
2020-08-16,6.3737
2020-09-16,7.4809
2020-10-16,7.4798
2020-11-16,7.4778
2020-12-16,7.9621
2021-01-16,7.965
2021-02-16,7.9656
2021-03-16,8.1943
2021-04-16,8.1893
2021-05-16,8.2324
2021-06-16,7.8326
2021-07-16,7.977
2021-08-16,7.9713
2021-09-16,6.6318
2021-10-16,6.6356
2021-11-16,6.6345
2021-12-16,7.0682
2022-01-16,7.0518
2022-02-16,7.0482
2022-03-16,5.9463
2022-04-16,5.9254
2022-05-16,5.9261
2022-06-16,5.7899
2022-07-16,6.1026
2022-08-16,6.0994
2022-09-16,6.1983
2022-10-16,6.2021
2022-11-16,6.1988
2022-12-16,5.9593
2023-01-16,5.9621
2023-02-16,5.9614
2023-03-16,5.4104
2023-04-16,5.3863
2023-05-16,5.3823
2023-06-16,5.1879
2023-07-16,5.4475
2023-08-16,5.4342
2023-09-16,6.1275
2023-10-16,6.1327
2023-11-16,6.1273
2023-12-16,6.4633
2024-01-16,6.4649
2024-02-16,6.4633
2024-03-16,5.9973
2024-04-16,5.9527
2024-05-16,5.9484
2024-06-16,6.9256
2024-07-16,7.1705
2024-08-16,7.1625
2024-09-16,7.0134
2024-10-16,7.0206
2024-11-16,7.0186
2024-12-16,6.4795
2025-01-16,6.4797
2025-02-16,6.4759
2025-03-16,6.7267
2025-04-16,6.7077
2025-05-16,6.7064
2025-06-16,5.9983
2025-07-16,6.2382
2025-08-16,6.2253
2025-09-16,6.7913
2025-10-16,6.7919
2025-11-16,6.7897
2025-12-16,7.416
2026-01-16,7.418
2026-02-16,7.4174
2026-03-16,8.4291
2026-04-16,8.3809
