date,oper_margin
2004-01-16,4.8531
2004-02-16,4.8165
2004-03-16,4.8005
2004-04-16,4.8067
2004-05-16,4.8032
2004-06-16,6.0324
2004-07-16,6.1698
2004-08-16,6.4479
2004-09-16,6.4014
2004-10-16,6.3965
2004-11-16,6.5993
2004-12-16,7.0696
2005-01-16,7.1602
2005-02-16,7.1982
2005-03-16,7.131
2005-04-16,7.1194
2005-05-16,6.7918
2005-06-16,7.0458
2005-07-16,6.9894
2005-08-16,7.0294
2005-09-16,7.4676
2005-10-16,7.4965
2005-11-16,7.3793
2005-12-16,7.2837
2006-01-16,7.3009
2006-02-16,7.2696
2006-03-16,7.8765
2006-04-16,7.8654
2006-05-16,7.7498
2006-06-16,7.8674
2006-07-16,7.8464
2006-08-16,7.9115
2006-09-16,7.8633
2006-10-16,7.8522
2006-11-16,7.86
2006-12-16,7.3216
2007-01-16,7.417
2007-02-16,7.9574
2007-03-16,7.0959
2007-04-16,7.0923
2007-05-16,7.1013
2007-06-16,7.5854
2007-07-16,7.5646
2007-08-16,7.5598
2007-09-16,7.6931
2007-10-16,7.6922
2007-11-16,7.671
2007-12-16,7.4161
2008-01-16,7.4135
2008-02-16,7.4312
2008-03-16,7.482
2008-04-16,7.473
2008-05-16,7.4353
2008-06-16,7.0903
2008-07-16,7.0756
2008-08-16,7.0759
2008-09-16,6.7442
2008-10-16,6.717
2008-11-16,6.6734
2008-12-16,6.0744
2009-01-16,6.0776
2009-02-16,6.0772
2009-03-16,4.9137
2009-04-16,4.8633
2009-05-16,4.8364
2009-06-16,2.7147
2009-07-16,2.705
2009-08-16,2.7078
2009-09-16,2.0628
2009-10-16,2.0576
2009-11-16,1.9698
2009-12-16,1.5689
2010-01-16,1.5626
2010-02-16,1.5658
2010-03-16,2.8749
2010-04-16,2.8658
2010-05-16,2.829
2010-06-16,4.566
2010-07-16,4.5506
2010-08-16,4.5533
2010-09-16,5.7283
2010-10-16,5.7219
2010-11-16,5.5942
2010-12-16,6.2005
2011-01-16,6.1828
2011-02-16,6.1831
2011-03-16,6.599
2011-04-16,6.5895
2011-05-16,6.5829
2011-06-16,6.2984
2011-07-16,6.2941
2011-08-16,6.2957
2011-09-16,6.1254
2011-10-16,6.1206
2011-11-16,6.0745
2011-12-16,5.7164
2012-01-16,5.7146
2012-02-16,5.715
2012-03-16,5.3727
2012-04-16,5.3653
2012-05-16,5.3605
2012-06-16,5.5702
2012-07-16,5.5764
2012-08-16,5.5784
2012-09-16,5.3996
2012-10-16,5.3933
2012-11-16,5.3514
2012-12-16,5.2617
2013-01-16,5.2602
2013-02-16,5.2588
2013-03-16,5.5607
2013-04-16,5.56
