date,pb
2004-01-20,1.5986
2004-02-20,1.6075
2004-03-20,1.6676
2004-04-20,1.8147
2004-05-20,1.8243
2004-06-20,1.6812
2004-07-20,1.7538
2004-08-20,1.6774
2004-09-20,1.6585
2004-10-20,1.6165
2004-11-20,1.592
2004-12-20,1.58
2005-01-20,1.6491
2005-02-20,1.6429
2005-03-20,1.6935
2005-04-20,1.6976
2005-05-20,1.6215
2005-06-20,1.5888
2005-07-20,1.651
2005-08-20,1.6814
2005-09-20,1.7614
2005-10-20,1.9563
2005-11-20,2.0013
2005-12-20,2.0057
2006-01-20,2.1554
2006-02-20,2.2286
2006-03-20,2.0717
2006-04-20,2.1541
2006-05-20,2.1388
2006-06-20,1.8855
2006-07-20,1.9018
2006-08-20,1.8793
2006-09-20,1.9642
2006-10-20,1.9354
2006-11-20,1.9433
2006-12-20,1.8713
2007-01-20,1.9601
2007-02-20,2.0099
2007-03-20,1.9773
2007-04-20,1.9334
2007-05-20,1.9183
2007-06-20,1.9586
2007-07-20,1.9796
2007-08-20,1.9054
2007-09-20,1.7451
2007-10-20,1.7539
2007-11-20,1.7566
2007-12-20,1.6635
2008-01-20,1.6025
2008-02-20,1.4616
2008-03-20,1.4438
2008-04-20,1.3225
2008-05-20,1.4816
2008-06-20,1.6022
2008-07-20,1.4977
2008-08-20,1.479
2008-09-20,1.4089
2008-10-20,1.2208
2008-11-20,0.9734
2008-12-20,0.9593
2009-01-20,0.9874
2009-02-20,0.9124
2009-03-20,0.9376
2009-04-20,0.9585
2009-05-20,1.0378
2009-06-20,1.1894
2009-07-20,1.2311
2009-08-20,1.2582
2009-09-20,1.2405
2009-10-20,1.1689
2009-11-20,1.1494
2009-12-20,1.0712
2010-01-20,1.1571
2010-02-20,1.1489
2010-03-20,1.1381
2010-04-20,1.2455
2010-05-20,1.2564
2010-06-20,1.0942
2010-07-20,1.0451
2010-08-20,1.0552
2010-09-20,1.0143
2010-10-20,1.0456
2010-11-20,1.0222
2010-12-20,1.0727
2011-01-20,1.1199
2011-02-20,1.1339
2011-03-20,1.1748
2011-04-20,1.0731
2011-05-20,1.0513
2011-06-20,1.0397
2011-07-20,1.0537
2011-08-20,1.0432
2011-09-20,0.9523
2011-10-20,0.9405
2011-11-20,0.9441
2011-12-20,0.9101
2012-01-20,0.9106
2012-02-20,0.9439
2012-03-20,1.057
2012-04-20,1.08
2012-05-20,1.0166
2012-06-20,0.8769
2012-07-20,0.9392
2012-08-20,0.8979
2012-09-20,0.9031
2012-10-20,0.91
2012-11-20,0.9159
2012-12-20,0.9608
2013-01-20,1.057
