date,pe
2004-01-16,47.6931
2004-02-16,47.8189
2004-03-16,48.8531
2004-04-16,52.9356
2004-05-16,50.9259
2004-06-16,28.4876
2004-07-16,27.9473
2004-08-16,26.565
2004-09-16,26.5903
2004-10-16,25.9456
2004-11-16,20.0414
2004-12-16,21.374
2005-01-16,21.9408
2005-02-16,21.9209
2005-03-16,22.8417
2005-04-16,22.9321
2005-05-16,20.5103
2005-06-16,20.4642
2005-07-16,21.5905
2005-08-16,22.7096
2005-09-16,20.1361
2005-10-16,22.3782
2005-11-16,23.9124
2005-12-16,24.7362
2006-01-16,26.5692
2006-02-16,27.5601
2006-03-16,23.1953
2006-04-16,24.1308
2006-05-16,23.6623
2006-06-16,21.0273
2006-07-16,20.7981
2006-08-16,20.676
2006-09-16,19.678
2006-10-16,19.4589
2006-11-16,19.4949
2006-12-16,19.5466
2007-01-16,20.495
2007-02-16,20.9943
2007-03-16,21.7636
2007-04-16,21.281
2007-05-16,21.5187
2007-06-16,22.4303
2007-07-16,23.7934
2007-08-16,22.7936
2007-09-16,20.1322
2007-10-16,20.1895
2007-11-16,20.263
2007-12-16,18.8742
2008-01-16,18.2361
2008-02-16,16.6361
2008-03-16,16.084
2008-04-16,14.7732
2008-05-16,17.1714
2008-06-16,18.2228
2008-07-16,17.432
2008-08-16,17.0516
2008-09-16,17.3407
2008-10-16,15.0741
2008-11-16,12.0941
2008-12-16,12.836
2009-01-16,13.2206
2009-02-16,12.3228
2009-03-16,20.6201
2009-04-16,21.5388
2009-05-16,24.1455
2009-06-16,587.0816
2009-07-16,293.13
2009-08-16,282.2654
2009-09-16,282.2654
2009-10-16,282.2654
2009-11-16,282.2654
2009-12-16,282.2654
2010-01-16,282.2654
2010-02-16,282.2654
2010-03-16,124.559
2010-04-16,135.7401
2010-05-16,136.1634
2010-06-16,24.7765
2010-07-16,23.7025
2010-08-16,23.6881
2010-09-16,16.9989
2010-10-16,17.5211
2010-11-16,16.9142
2010-12-16,14.8112
2011-01-16,15.4961
2011-02-16,15.692
2011-03-16,15.457
2011-04-16,14.1195
2011-05-16,13.855
2011-06-16,14.6536
2011-07-16,14.8941
2011-08-16,14.6658
2011-09-16,14.1545
2011-10-16,13.9875
2011-11-16,14.04
2011-12-16,14.6234
2012-01-16,14.6587
2012-02-16,15.1819
2012-03-16,22.1238
2012-04-16,22.5761
2012-05-16,21.104
2012-06-16,16.918
2012-07-16,17.8355
2012-08-16,16.3701
2012-09-16,17.5155
2012-10-16,17.6949
2012-11-16,17.8086
2012-12-16,19.4086
2013-01-16,21.3686
2013-02-16,23.3751
2013-03-16,18.5402
2013-04-16,19.6528
2013-05-16,22.1548
2013-06-16,20.6405
2013-07-16,20.2964
2013-08-16,19.7691
2013-09-16,16.8506
2013-10-16,18.1928
2013-11-16,18.1955
2013-12-16,16.6302
2014-01-16,17.2087
2014-02-16,16.1159
2014-03-16,14.9172
2014-04-16,14.8038
2014-05-16,14.3056
2014-06-16,14.4456
2014-07-16,15.267
2014-08-16,15.5973
2014-09-16,15.4119
2014-10-16,15.9933
2014-11-16,16.0685
2014-12-16,16.4506
2015-01-16,16.4181
2015-02-16,16.5052
2015-03-16,17.4782
2015-04-16,17.7058
2015-05-16,18.268
2015-06-16,18.8575
2015-07-16,18.0706
2015-08-16,18.4728
2015-09-16,15.967
2015-10-16,14.7222
2015-11-16,16.2386
2015-12-16,16.6384
2016-01-16,16.2944
2016-02-16,15.0809
2016-03-16,13.7444
2016-04-16,14.2469
2016-05-16,14.174
2016-06-16,15.5785
2016-07-16,13.9116
2016-08-16,14.7574
2016-09-16,15.7531
2016-10-16,15.6795
2016-11-16,16.4827
2016-12-16,17.2044
2017-01-16,17.7742
2017-02-16,17.8083
