date,profit_margin
2004-01-16,1.3122
2004-02-16,1.3142
2004-03-16,1.3392
2004-04-16,1.3459
2004-05-16,1.3461
2004-06-16,2.4066
2004-07-16,2.5783
2004-08-16,2.7453
2004-09-16,2.7153
2004-10-16,2.7118
2004-11-16,3.2264
2004-12-16,3.1392
2005-01-16,3.2167
2005-02-16,3.2317
2005-03-16,3.2157
2005-04-16,3.2094
2005-05-16,3.2986
2005-06-16,3.3147
2005-07-16,3.2121
2005-08-16,3.1579
2005-09-16,3.7989
2005-10-16,3.8073
2005-11-16,3.6829
2005-12-16,3.6904
2006-01-16,3.6946
2006-02-16,3.6787
2006-03-16,4.0693
2006-04-16,4.0593
2006-05-16,4.0218
2006-06-16,4.4599
2006-07-16,4.4524
2006-08-16,4.4492
2006-09-16,4.7003
2006-10-16,4.6802
2006-11-16,4.677
2006-12-16,4.3016
2007-01-16,4.3492
2007-02-16,4.6582
2007-03-16,4.0114
2007-04-16,4.0133
2007-05-16,4.0515
2007-06-16,4.1413
2007-07-16,4.1208
2007-08-16,4.1173
2007-09-16,4.2739
2007-10-16,4.2789
2007-11-16,4.2487
2007-12-16,4.2009
2008-01-16,4.1867
2008-02-16,4.1871
2008-03-16,4.2288
2008-04-16,4.2157
2008-05-16,4.1932
2008-06-16,3.9013
2008-07-16,3.8897
2008-08-16,3.8914
2008-09-16,3.6639
2008-10-16,3.6479
2008-11-16,3.6179
2008-12-16,3.2162
2009-01-16,3.2103
2009-02-16,3.2043
2009-03-16,1.6505
2009-04-16,1.6112
2009-05-16,1.5687
2009-06-16,-0.5783
2009-07-16,-0.5884
2009-08-16,-0.5864
2009-09-16,-1.2835
2009-10-16,-1.2875
2009-11-16,-1.3487
2009-12-16,-1.7596
2010-01-16,-1.7677
2010-02-16,-1.7559
2010-03-16,-0.2098
2010-04-16,-0.2212
2010-05-16,-0.2348
2010-06-16,1.9004
2010-07-16,1.8832
2010-08-16,1.8912
2010-09-16,2.6262
2010-10-16,2.6254
2010-11-16,2.6145
2010-12-16,3.1747
2011-01-16,3.1663
2011-02-16,3.1671
2011-03-16,3.4466
2011-04-16,3.4403
2011-05-16,3.4395
2011-06-16,2.9495
2011-07-16,2.9298
2011-08-16,2.9309
2011-09-16,2.6274
2011-10-16,2.6245
2011-11-16,2.6169
2011-12-16,2.3567
2012-01-16,2.346
