date,roc
2004-01-16,1.0838
2004-02-16,1.0864
2004-03-16,1.1118
2004-04-16,1.1205
2004-05-16,1.1208
2004-06-16,1.933
2004-07-16,2.0843
2004-08-16,2.1248
2004-09-16,2.093
2004-10-16,2.0918
2004-11-16,2.6027
2004-12-16,2.4807
2005-01-16,2.531
2005-02-16,2.5299
2005-03-16,2.4841
2005-04-16,2.488
2005-05-16,2.7404
2005-06-16,2.5816
2005-07-16,2.5628
2005-08-16,2.5278
2005-09-16,3.0129
2005-10-16,3.0149
2005-11-16,2.9358
2005-12-16,2.9194
2006-01-16,2.9246
2006-02-16,2.9184
2006-03-16,3.1347
2006-04-16,3.1394
2006-05-16,3.1421
2006-06-16,3.2928
2006-07-16,3.4177
2006-08-16,3.4433
2006-09-16,3.7525
2006-10-16,3.7425
2006-11-16,3.7495
2006-12-16,3.6196
2007-01-16,3.6162
2007-02-16,3.6216
2007-03-16,3.4383
2007-04-16,3.4438
2007-05-16,3.4724
2007-06-16,3.3184
2007-07-16,3.2972
2007-08-16,3.2794
2007-09-16,3.3084
2007-10-16,3.3133
2007-11-16,3.2997
2007-12-16,3.3217
2008-01-16,3.3117
2008-02-16,3.3135
2008-03-16,3.3503
2008-04-16,3.3442
2008-05-16,3.3388
2008-06-16,3.3054
2008-07-16,3.3009
2008-08-16,3.3086
2008-09-16,3.1025
2008-10-16,3.0922
2008-11-16,3.0825
2008-12-16,2.7779
2009-01-16,2.7724
2009-02-16,2.768
2009-03-16,1.3804
2009-04-16,1.3502
2009-05-16,1.3212
2009-06-16,-0.4739
2009-07-16,-0.4825
2009-08-16,-0.4836
2009-09-16,-0.9759
2009-10-16,-0.98
2009-11-16,-1.039
2009-12-16,-1.2597
2010-01-16,-1.2667
2010-02-16,-1.2568
2010-03-16,-0.1441
2010-04-16,-0.1527
2010-05-16,-0.1614
2010-06-16,1.283
2010-07-16,1.3005
2010-08-16,1.31
2010-09-16,1.866
2010-10-16,1.8665
2010-11-16,1.8698
2010-12-16,2.2839
2011-01-16,2.279
2011-02-16,2.2793
2011-03-16,2.4478
2011-04-16,2.4481
2011-05-16,2.4418
2011-06-16,2.03
2011-07-16,2.0652
2011-08-16,2.068
2011-09-16,1.8769
2011-10-16,1.877
2011-11-16,1.8799
2011-12-16,1.6945
2012-01-16,1.6896
2012-02-16,1.6912
2012-03-16,1.1539
2012-04-16,1.1551
2012-05-16,1.1627
2012-06-16,1.5572
2012-07-16,1.5916
2012-08-16,1.595
2012-09-16,1.5225
