date,roce
2004-01-16,3.3582
2004-02-16,3.3686
2004-03-16,3.4328
2004-04-16,3.4423
2004-05-16,3.4439
2004-06-16,5.7709
2004-07-16,6.1442
2004-08-16,6.2476
2004-09-16,6.1677
2004-10-16,6.1612
2004-11-16,7.7736
2004-12-16,7.3502
2005-01-16,7.477
2005-02-16,7.4627
2005-03-16,7.4021
2005-04-16,7.3852
2005-05-16,8.1762
2005-06-16,7.4771
2005-07-16,7.4075
2005-08-16,7.2484
2005-09-16,8.6701
2005-10-16,8.6702
2005-11-16,8.4331
2005-12-16,8.2287
2006-01-16,8.2265
2006-02-16,8.1883
2006-03-16,8.6782
2006-04-16,8.6714
2006-05-16,8.6531
2006-06-16,9.0129
2006-07-16,9.1744
2006-08-16,9.1782
2006-09-16,10.0369
2006-10-16,10.002
2006-11-16,10.0212
2006-12-16,9.633
2007-01-16,9.6343
2007-02-16,9.6559
2007-03-16,9.1723
2007-04-16,9.1723
2007-05-16,9.2311
2007-06-16,8.5196
2007-07-16,8.4826
2007-08-16,8.4947
2007-09-16,8.6671
2007-10-16,8.6828
2007-11-16,8.6803
2007-12-16,8.7862
2008-01-16,8.7589
2008-02-16,8.7607
2008-03-16,8.9522
2008-04-16,8.9315
2008-05-16,8.9238
2008-06-16,8.7033
2008-07-16,8.6652
2008-08-16,8.7013
2008-09-16,8.1375
2008-10-16,8.111
2008-11-16,8.0962
2008-12-16,7.3594
2009-01-16,7.3448
2009-02-16,7.3331
2009-03-16,3.8538
2009-04-16,3.7574
2009-05-16,3.6978
2009-06-16,-1.4161
2009-07-16,-1.4426
2009-08-16,-1.438
2009-09-16,-2.7824
2009-10-16,-2.7949
2009-11-16,-2.9582
2009-12-16,-3.5903
2010-01-16,-3.6079
2010-02-16,-3.5974
2010-03-16,-0.4007
2010-04-16,-0.4249
2010-05-16,-0.4745
2010-06-16,3.7115
2010-07-16,3.6763
2010-08-16,3.6916
2010-09-16,5.29
2010-10-16,5.2906
2010-11-16,5.3038
2010-12-16,6.4754
2011-01-16,6.459
2011-02-16,6.46
2011-03-16,6.9358
2011-04-16,6.925
2011-05-16,6.9137
2011-06-16,5.9996
2011-07-16,5.9613
2011-08-16,5.9656
2011-09-16,5.3022
2011-10-16,5.3006
2011-11-16,5.3098
2011-12-16,4.8294
2012-01-16,4.814
2012-02-16,4.8178
2012-03-16,3.2783
2012-04-16,3.2736
2012-05-16,3.2955
2012-06-16,4.5116
2012-07-16,4.5192
2012-08-16,4.5278
2012-09-16,4.328
2012-10-16,4.3199
2012-11-16,4.3247
2012-12-16,3.9696
2013-01-16,3.9694
2013-02-16,3.9681
2013-03-16,5.4902
2013-04-16,5.4893
2013-05-16,5.4831
2013-06-16,5.3796
2013-07-16,5.3814
2013-08-16,5.3818
2013-09-16,6.5556
2013-10-16,6.5529
2013-11-16,6.5544
2013-12-16,7.5954
2014-01-16,7.591
2014-02-16,7.5919
2014-03-16,7.8655
2014-04-16,7.8618
2014-05-16,7.8619
2014-06-16,8.1832
2014-07-16,8.0949
2014-08-16,8.0956
2014-09-16,7.831
2014-10-16,7.8265
2014-11-16,7.8316
2014-12-16,7.9692
2015-01-16,7.968
2015-02-16,7.9686
2015-03-16,7.7377
2015-04-16,7.7221
2015-05-16,7.7251
2015-06-16,7.5982
2015-07-16,7.5616
2015-08-16,7.521
2015-09-16,8.1333
2015-10-16,8.0785
2015-11-16,8.0928
2015-12-16,8.0299
2016-01-16,8.03
2016-02-16,8.0299
2016-03-16,7.6228
