event_rel_time,car,ci_lo,ci_hi
0,0.11614290004290116,-0.06181343306794311,0.2940992331537454
1,0.22099536679536874,-0.29380145660091567,0.7357921901916531
2,0.31662406692406986,-0.41338318041042466,1.0466313142585644
3,0.3953956670956708,-0.5374232861261228,1.3282146203174645
4,0.4134435006435051,-0.7761606048738889,1.6030476061608991
5,0.422967567567573,-0.9877963589157501,1.8337314940508962
6,0.4444012012012076,-1.2047122919587656,2.093514694361181
7,0.5330110682110754,-1.3464070665078005,2.4124292029299514
8,0.6176638352638432,-1.5160943064309715,2.751421976958658
9,0.7470928356928445,-1.5907004625456973,3.0848861339313864
10,0.9236980694980792,-1.6078942742139306,3.455290413210089
11,1.0476462033462137,-1.7019151516225064,3.797207558314934
12,1.1626039039039144,-1.8077140549717632,4.132921862779592
13,1.4477378378378496,-1.7516565167856497,4.647132192461349
14,1.6608480051480174,-1.7756386447268986,5.097334655022934
15,1.6739344058344185,-1.9631238154152517,5.310992627084088
16,1.753230373230386,-2.088485426764436,5.594946173225209
17,1.7925692406692533,-2.2005662476160963,5.785704728954602
18,1.7648176748176876,-2.345748166327801,5.875383515963176
19,1.7755090090090215,-2.4585038448079404,6.009521862825983
20,1.6954099099099222,-2.669892827435614,6.060712647255459
21,1.5882203775203894,-2.941551535231523,6.117992290272301
22,1.4718404118404231,-3.246235172561037,6.189915996241884
23,1.4223033462033572,-3.497657247714389,6.342263940121103
24,1.3698425139425245,-3.811631374496729,6.551316402381778
