cohort,event_label,event_rel_time,coefficient,car
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-12,-0.15910875589875628,-0.15910875589875628
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-11,-0.04735454740454759,-0.20646330330330387
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-10,0.013099661089660763,-0.1933636422136431
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-9,0.04105386958386925,-0.15230977262977385
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-8,0.05770807807807765,-0.0946016945516962
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-7,0.018662286572286302,-0.0759394079794099
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-6,-0.02128350493350528,-0.09722291291291518
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-5,-0.02652929643929669,-0.12375220935221187
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-4,-0.01187508794508818,-0.13562729729730005
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-3,-0.02132087945087968,-0.15694817674817974
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-2,-0.05746667095667124,-0.21441484770485097
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-1,0.0,-0.21441484770485097
2024-02-26,Korea Value-Up Program Launch (Feb 2024),0,-0.10085825396825421,-0.3152731016731052
2024-02-26,Korea Value-Up Program Launch (Feb 2024),1,-0.11740404547404559,-0.4326771471471508
2024-02-26,Korea Value-Up Program Launch (Feb 2024),2,-0.03554983697983716,-0.46822698412698793
2024-02-26,Korea Value-Up Program Launch (Feb 2024),3,-0.03269562848562868,-0.5009226126126166
2024-02-26,Korea Value-Up Program Launch (Feb 2024),4,-0.1015414199914203,-0.6024640326040369
2024-02-26,Korea Value-Up Program Launch (Feb 2024),5,-0.07838721149721162,-0.6808512441012485
2024-02-26,Korea Value-Up Program Launch (Feb 2024),6,-0.11103300300300312,-0.7918842471042516
2024-02-26,Korea Value-Up Program Launch (Feb 2024),7,-0.22877879450879468,-1.0206630416130462
2024-02-26,Korea Value-Up Program Launch (Feb 2024),8,-0.33432458601458614,-1.3549876276276325
2024-02-26,Korea Value-Up Program Launch (Feb 2024),9,-0.2664703775203777,-1.62145800514801
2024-02-26,Korea Value-Up Program Launch (Feb 2024),10,-0.1832161690261691,-1.8046741741741794
2024-02-26,Korea Value-Up Program Launch (Feb 2024),11,-0.20126196053196088,-2.00593613470614
2024-02-26,Korea Value-Up Program Launch (Feb 2024),12,-0.17250775203775226,-2.178443886743892
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-12,0.05618466752466722,0.05618466752466722
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-11,0.07493914628914589,0.1311238138138131
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-10,0.0379936250536248,0.1691174388674379
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-9,0.00014810381810348439,0.1692655426855414
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-8,-0.002997417417417658,0.16626812526812373
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-7,0.013757061347061117,0.18002518661518485
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-6,0.006411540111539993,0.18643672672672484
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-5,-0.0276339811239813,0.15880274560274354
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-4,-0.03957950235950258,0.11922324324324096
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-3,-0.06682502359502385,0.052398219648217115
2024-05-02,Korea Value-Up Guidelines Unveiled (May 2024),-2,-0.08127054483054497,-0.02887232518232785
