cohort,event_label,event_rel_time,coefficient,car
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-12,-0.15910875589875628,-0.15910875589875628
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-11,-0.04735454740454759,-0.20646330330330387
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-10,0.013099661089660763,-0.1933636422136431
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-9,0.04105386958386925,-0.15230977262977385
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-8,0.05770807807807765,-0.0946016945516962
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-7,0.018662286572286302,-0.0759394079794099
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-6,-0.02128350493350528,-0.09722291291291518
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-5,-0.02652929643929669,-0.12375220935221187
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-4,-0.01187508794508818,-0.13562729729730005
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-3,-0.02132087945087968,-0.15694817674817974
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-2,-0.05746667095667124,-0.21441484770485097
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-1,0.0,-0.21441484770485097
2024-02-26,Korea Value-Up Program Launch (Feb 2024),0,-0.10085825396825421,-0.3152731016731052
2024-02-26,Korea Value-Up Program Launch (Feb 2024),1,-0.11740404547404559,-0.4326771471471508
2024-02-26,Korea Value-Up Program Launch (Feb 2024),2,-0.03554983697983716,-0.46822698412698793
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-12,0.06903266838266808,0.06903266838266808
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-11,0.04631162591162563,0.11534429429429371
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-10,-0.061509416559416885,0.05383487773487683
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-9,-0.1571304590304594,-0.10329558129558258
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-8,-0.07935150150150194,-0.18264708279708453
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-7,0.01382745602745572,-0.1688196267696288
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-6,0.0057064135564129925,-0.1631132132132158
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-5,0.04438537108537066,-0.11872784212784515
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-4,0.05996432861432821,-0.05876351351351694
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-3,-0.053156713856714166,-0.1119202273702311
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-2,-0.049777756327756606,-0.1616979836979877
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-1,0.0,-0.1616979836979877
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),0,0.01678015873015848,-0.14491782496782923
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),1,0.07075911625911613,-0.0741587087087131
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),2,0.06803807378807347,-0.006120634920639634
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-12,-0.004290098670099107,-0.004290098670099107
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-11,0.008098176748176256,0.0038080780780771484
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-10,-0.1082135478335482,-0.10440546975547105
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-9,-0.10802527241527282,-0.21243074217074387
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-8,-0.10773699699699724,-0.3201677391677411
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-7,-0.04784872157872189,-0.368016460746463
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-6,0.002939553839553577,-0.3650769069069094
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-5,-0.002972170742171043,-0.36804907764908046
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-4,-0.010183895323895631,-0.3782329729729761
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-3,0.1538043800943799,-0.22442859287859618
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-2,0.11609265551265513,-0.10833593736594105
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-1,0.0,-0.10833593736594105
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),0,0.34996920634920625,0.2416332689832652
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),1,0.5653574817674811,0.8069907507507463
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),2,0.5174457571857571,1.3244365079365035
