cohort,event_label,event_rel_time,coefficient,car
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-12,0.03940480909480898,0.03940480909480898
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-11,0.029114950664950567,0.06851975975975955
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-10,0.04392509223509211,0.11244485199485166
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-9,0.03033523380523373,0.1427800858000854
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-8,0.010445375375375154,0.15322546117546054
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-7,-0.06904448305448319,0.08418097812097736
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-6,-0.05453434148434155,0.029646636636635804
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-5,-0.027824199914199987,0.0018224367224358162
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-4,-0.0383140583440586,-0.03649162162162278
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-3,-0.05650391677391692,-0.0929955383955397
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-2,-0.0023937752037752613,-0.09538931359931496
2024-02-26,Korea Value-Up Program Launch (Feb 2024),-1,0.0,-0.09538931359931496
2024-02-26,Korea Value-Up Program Launch (Feb 2024),0,-0.09417349206349224,-0.1895628056628072
2024-02-26,Korea Value-Up Program Launch (Feb 2024),1,-0.0847633504933506,-0.2743261561561578
2024-02-26,Korea Value-Up Program Launch (Feb 2024),2,-0.08725320892320898,-0.3615793650793668
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-12,0.004366435006434688,0.004366435006434688
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-11,0.01603050193050165,0.02039693693693634
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-10,0.05509456885456854,0.07549150579150488
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-9,0.06925863577863545,0.14475014157014032
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-8,0.044122702702702465,0.1888728442728428
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-7,-0.015013230373230546,0.17385961389961224
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-6,-0.08064916344916373,0.09321045045044851
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-5,-0.03028509652509681,0.0629253539253517
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-4,0.06777897039897018,0.13070432432432189
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-3,0.039043037323037155,0.16974736164735904
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-2,0.07320710424710408,0.24295446589446312
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),-1,0.0,0.24295446589446312
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),0,0.15063523809523793,0.39358970398970106
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),1,0.178599305019305,0.572189009009006
2025-07-09,Mandatory Governance Disclosure Expansion (Jul 2025),2,0.08206337194337165,0.6542523809523777
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-12,-0.1023408022308025,-0.1023408022308025
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-11,-0.01003511368511395,-0.11237591591591645
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-10,-0.04452942513942526,-0.1569053410553417
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-9,-0.01612373659373678,-0.1730290776490785
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-8,-0.05461804804804832,-0.2276471256971268
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-7,0.04978764049764034,-0.17785948519948647
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-6,0.071993329043329,-0.10586615615615746
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-5,-0.03030098241098267,-0.13616713856714013
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-4,0.019304706134705862,-0.11686243243243427
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-3,0.15771039468039455,0.04084796224796028
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-2,0.08571608322608315,0.12656404547404343
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),-1,0.0,0.12656404547404343
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),0,0.41582746031746026,0.5423915057915036
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),1,0.6599331488631487,1.2023246546546524
2026-02-24,Value-Up Dividend Disclosure Rule (Feb 2026),2,0.6224388374088372,1.8247634920634896
